20201223,徐汇,斜土路,内环内，低总价三房，电梯高层，采光好，钥匙随时可看必看好房,970万,3室2厅 | 111.07平米 | 南 | 简装 | 高楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_60PxQc0aq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南采光好 楼层适中 近地铁 产权清晰,364万,2室0厅 | 47.8平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BJzceyjVK_1.jpg.296x216.jpg
20201223,徐汇,斜土路,店长推荐：闹中取静+中高区+落地窗+双轨交+诚售房主自荐,885万,2室2厅 | 101.9平米 | 东南 | 精装 | 中楼层(共19层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bbT18ev4Y_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中间楼层，精装修两房，教科院，诚意出售，配套齐全。,415万,2室0厅 | 56.51平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_63eylDhQV_1.jpg.296x216.jpg
20201223,徐汇,斜土路,枫林新村 2室1厅 南,368万,2室1厅 | 47.34平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ickfOe4Id_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环内+朝南一门关+总价低+90后房龄+六字开头,228万,1室0厅 | 33.93平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s9l3FdINB_1.jpg.296x216.jpg
20201223,徐汇,斜土路,高楼层，大三房，97年小区，看房方便。,799万,3室2厅 | 119.26平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f8TXY3P4U_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中区电梯大两房+9/12号线+99年满五唯一+教科院南洋房主自荐,1021万,2室2厅 | 102.96平米 | 东南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NAMfEm2q5_1.jpg.296x216.jpg
20201223,徐汇,斜土路,85年，精装修，朝南一室半！业主诚意出售！,325万,1室1厅 | 43.94平米 | 南 | 精装 | 中楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7124d517-fc60-4b40-9cc6-195702d0bc93.jpg.296x216.jpg
20201223,徐汇,斜土路,楼梯房+1997年房龄+一梯两户+采光充足+交通便利房主自荐,630万,3室2厅 | 103.08平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sza5Qy3ZB.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内，楼层2层，近地铁，单价低,345万,2室0厅 | 52.01平米 | 东南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c5984a95-e8b5-4c34-ae38-c464f485ea27_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,近地铁4/12号线，东边套中间楼层一门关，总价低房主自荐,175万,1室0厅 | 24.96平米 | 北 | 简装 | 中楼层(共6层) | 1969年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JCH2QfGea_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内 98年顶楼复式  原始户型3房房主自荐,890万,3室1厅 | 117.37平米 | 南 | 简装 | 高楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HBPlqFfQl_1.jpg.296x216.jpg
20201223,徐汇,斜土路,近地铁，房龄1988年，一梯三户，诚意出售，看房方便,370万,2室1厅 | 54.47平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6a4833cb-f5e3-4fa2-8d03-e182cd6ec031.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内，次新房低总价，全明户型，全新装修，交通便利,735万,2室1厅 | 89.06平米 | 东南 西北 | 精装 | 低楼层(共23层) | 2005年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-3974da67-f3d7-4d1a-a001-dee35afe70ee.jpg.296x216.jpg
20201223,徐汇,斜土路,88年小区，中间楼层，朝南采光好，小区安静，适合自住房主自荐,250万,1室1厅 | 33.32平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lYTkNPqMO_1.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南精装修一室户，一梯四户，楼道环境干净整洁,280万,1室0厅 | 35平米 | 南 | 精装 | 高楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JGFfjlNAb_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中间楼层，厅带窗户，朝南带阳台，低总价，南北通风房主自荐,290万,1室1厅 | 37.08平米 | 南 | 简装 | 中楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/310000-inspection/515b49ed-f54e-4b25-8b3b-f197eafe22ca_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内地铁口+低总价低单价+一梯四户+朝南大阳台房主自荐,290万,2室0厅 | 47.6平米 | 南 | 简装 | 高楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rgRaZznk4_1.jpg.296x216.jpg
20201223,徐汇,斜土路,房龄1988年+西边套+买进满五年+看房方便,330万,1室1厅 | 48.87平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0TsfwtzYY_1.jpg.296x216.jpg
20201223,徐汇,斜土路,小面积低总价，采光好视野佳，业主诚意出售。,225万,1室1厅 | 33.49平米 | 南 | 精装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3d43e204-55f1-40ed-87af-e05a2a5166fc_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,小户型 总价低 交通便利 业主诚意出售房主自荐,197万,1室0厅 | 28.5平米 | 北 | 简装 | 6层 | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wdX4z5Q0a_1.jpg.296x216.jpg
20201223,徐汇,斜土路,大木小区南北双阳台户型 次顶楼 采光好 售后公房,440万,2室0厅 | 54.95平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7cf1d074-999f-45f1-bd36-811422dbcc64_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,店长推荐：超低总价，精致小户型，产权干净清晰,165万,2室0厅 | 16平米 | 北 | 简装 | 低楼层(共2层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4COb87NoY_1.jpg.296x216.jpg
20201223,徐汇,斜土路,精品一门关，配套成熟，总价低。,228万,1室1厅 | 33.44平米 | 南 | 精装 | 高楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_10tMFArNp_1.jpg.296x216.jpg
20201223,徐汇,斜土路,小户型 总价低 交通便利 业主诚意出售,286万,1室1厅 | 41.78平米 | 西南 | 简装 | 7层 | 1985年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_nFCZkISPo_1.jpg.296x216.jpg
20201223,徐汇,斜土路,精装；采光无遮挡；房龄新，96年房龄；户型全明都有窗,273万,1室1厅 | 40.16平米 | 西南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7IAtAdxca_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环地铁9/12线 电梯正气两房、教科院南洋 主卧朝南,575万,2室1厅 | 63.98平米 | 南 | 简装 | 高楼层(共15层) | 1984年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_edkZ3pOro_1.jpg.296x216.jpg
20201223,徐汇,斜土路,精装低总价一室半 多面积 可拎包入住 满五唯一,298万,1室1厅 | 39.94平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ixhNkmf87_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中间楼层，朝南一室户，采光好，房东诚意出售,320万,1室1厅 | 34.81平米 | 南 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RevoKqlKR_1.jpg.296x216.jpg
20201223,徐汇,斜土路,嘉善路地铁+打浦桥日月光，近教科院,338万,1室1厅 | 41.19平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i6b9vLpg1_1.jpg.296x216.jpg
20201223,徐汇,斜土路,满五唯一，一梯三户，双南两房。,420万,2室0厅 | 56.57平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xPC1v8orF_1.jpg.296x216.jpg
20201223,徐汇,斜土路,近地铁，单价低，位置安静，看房方便,240万,1室0厅 | 41.09平米 | 南 | 毛坯 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FMeectwyh_1.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南一门关，视野好，不临街，近地铁，交通方便。,205万,1室1厅 | 33.75平米 | 南 | 毛坯 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-430ded0c-fa2a-4b55-afaf-c9c628052388.jpg.296x216.jpg
20201223,徐汇,斜土路,97年房龄，医科大分配房，户型方正，居家精装。,435万,1室1厅 | 56.03平米 | 西 | 精装 | 低楼层(共17层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_u22qvdvwp_1.jpg.296x216.jpg
20201223,徐汇,斜土路,日晖六村 1室0厅 北 西房主自荐,250万,1室0厅 | 34.76平米 | 北 西 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c9L0El4Sf_1.jpg.296x216.jpg
20201223,徐汇,斜土路,花园里小区鸟语花香 ，南北阳光大平层四房，人车分流,960万,4室2厅 | 123.79平米 | 南 北 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/03b1867a-9eb1-41a6-b628-9d60711aa76e_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,06年品质小区+精装一室户+绿化覆盖率高+南北通透户型,650万,1室1厅 | 73.51平米 | 南 北 | 其他 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2UeLNH5y9_1.jpg.296x216.jpg
20201223,徐汇,斜土路,经典南向一房 中间楼层 统一装修 品质小区,897万,1室2厅 | 78平米 | 南 | 精装 | 高楼层(共25层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a60e3677-349a-49b2-800c-365bb1c88b04.jpg.296x216.jpg
20201223,徐汇,斜土路,总价低，精装修，4/9/12号线，舒适楼层，看房方便,240万,1室1厅 | 29.96平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e9d70d09-59a7-4037-bdf2-e2091e95bab6.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内，朝南带阳台，一房一厅，户型正气，精装修,290万,1室1厅 | 37.88平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zpQ9RUaW_1.jpg.296x216.jpg
20201223,徐汇,斜土路,楼层好，厨卫全明，采光视野好。业主诚售。,293万,1室1厅 | 39.53平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ull6xN8oG_1.jpg.296x216.jpg
20201223,徐汇,斜土路,精装一室+房龄新+1梯3户+交通便利,230万,1室0厅 | 29.87平米 | 北 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kY2sUpToV_1.jpg.296x216.jpg
20201223,徐汇,斜土路,本房随时可看，视野好，不临街，低价出售,200万,1室1厅 | 31平米 | 北 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OfK0z0OiP_1.jpg.296x216.jpg
20201223,徐汇,斜土路,满五唯一，内环内，精装一房，91年房龄，近地铁房主自荐,250万,1室0厅 | 35.32平米 | 东 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rsE8MsTO9_1.jpg.296x216.jpg
20201223,徐汇,斜土路,江南新村98年南北三房一门关，精装修，满两年,570万,3室2厅 | 84.02平米 | 南 北 | 精装 | 高楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-374c7c67-63d6-4ba3-bb6c-dd835fa770ee.jpg.296x216.jpg
20201223,徐汇,斜土路,85年房龄一室一厅业主诚意出售房主自荐,280万,1室1厅 | 38.04平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4815253b-d6c7-4fb1-a1ee-cd2aaccad629_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,9/12地铁、精装电梯两房+教科院南洋+满五唯一+总价低,460万,2室1厅 | 63.57平米 | 北 | 精装 | 中楼层(共15层) | 1984年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_mHyheMNpq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,高区双南两房，采光无遮挡，业主诚意出售，价格可谈,598万,2室1厅 | 77.03平米 | 南 | 简装 | 高楼层(共15层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/27a39e28-5eb5-4129-9b6e-257ebd2c447a_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,低总价，位置好，小区环境好，健身休闲设施完备,245万,1室1厅 | 30.29平米 | 南 西南 | 其他 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_As7pmg3P7_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内+婚房装修+南北通+大两房一厅+徐汇黄浦,439万,2室1厅 | 65.43平米 | 南 | 精装 | 高楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KpIg1YGbW_1.jpg.296x216.jpg
20201223,徐汇,斜土路,正规一房一厅+满五唯一+中高楼层+采光充足+视野宽阔,298万,1室1厅 | 40.4平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JwZ9LGvTT_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中楼层  96年房龄新  1梯4户  全明户型房主自荐,275万,1室1厅 | 40.16平米 | 西南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BwiOeuGvT_1.jpg.296x216.jpg
20201223,徐汇,斜土路,97年房龄，医科大分配房，空置简装。,440万,1室1厅 | 51.49平米 | 西 | 简装 | 高楼层(共17层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kXax16HU7_1.jpg.296x216.jpg
20201223,徐汇,斜土路,枫林新村 1室0厅 南,230万,1室0厅 | 32.43平米 | 南 | 精装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mmm1ZFlQt_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内低总价，电梯一房，采光无挡,320万,1室1厅 | 48.12平米 | 北 | 精装 | 低楼层(共15层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_N5j6xak1q_1.jpg.296x216.jpg
20201223,徐汇,斜土路,日晖六村 2室1厅 南,348万,2室1厅 | 46.95平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/3617837c-b7e3-4fc6-9a3b-e19e2a893da4_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,肇嘉浜路嘉善路沿线总价低&双轨交&电梯两房,780万,2室1厅 | 111.66平米 | 东 南 | 精装 | 18层 | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-81aef83c-9e10-4625-b0a5-8447e8eb8886.jpg.296x216.jpg
20201223,徐汇,斜土路,西边套全明+满五唯一+房龄新+4/12大木桥路地铁站300米房主自荐,380万,2室1厅 | 51.19平米 | 南 北 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0b37757a-d0cb-493f-b4f5-fd6534dc29d8.jpg.296x216.jpg
20201223,徐汇,斜土路,满五唯一，99年电梯房，闹中取静环境好品质小区,880万,3室2厅 | 127.74平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170930/1dba77ef-883b-404d-843b-21e9934bbfdb.jpg.296x216.jpg
20201223,徐汇,斜土路,舒适大三房，交通便利，配套完善，业主诚意卖，随时看,1050万,3室2厅 | 151.94平米 | 南 | 简装 | 中楼层(共20层) | 1999年建 | 板塔结合,http://image1.ljcdn.com/310000-inspection/3126c23b-6ec5-4832-935a-f94e167e1aa4.jpg.296x216.jpg
20201223,徐汇,斜土路,斜土路1220号 2室1厅 南,500万,2室1厅 | 68.64平米 | 南 | 精装 | 中楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160912/5514b2ec-a231-4a2b-bf12-bc899c8f89fc.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇区日晖六村朝北一室户188万诚意出售看房提前约,187万,1室1厅 | 34.28平米 | 北 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20161210/033e1f19-3f4d-4da0-a81f-b5e76fe5a783.jpg.296x216.jpg
20201223,徐汇,斜土路,双南户型，楼层适中，光线好，近地铁,470万,2室1厅 | 57.64平米 | 南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0ee0f09b-252b-4f08-a154-5d7ca4067a0a.png.296x216.jpg
20201223,徐汇,斜土路,满五唯一，低总价一房，小区中间位置，采光通风！房主自荐,288万,1室1厅 | 45.77平米 | 南 | 精装 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ddeb1c0f3b3437f69f7bac04b9162541-008.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇区内环内，88年，总价低，朝南、近地铁，配套成熟,338万,2室0厅 | 47.74平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171116/75d3dbe9-d026-49d1-a8c6-f15e299c9e96.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内＋总价低＋近地铁＋西木北居委,208万,1室1厅 | 30.82平米 | 南 | 简装 | 中楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20161014/1f6af8d4-cc55-4926-a9f1-d1ed80eb29b2.jpg.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 西房主自荐,350万,1室1厅 | 60平米 | 西 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/f264d93d-4e2c-4bce-9d9b-f6872a24b907.png.296x216.jpg
20201223,徐汇,斜土路,清真路上闹中取静的好房子 两房朝南 一房朝东 厅朝东,1150万,3室1厅 | 139.05平米 | 南 | 简装 | 低楼层(共19层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload9fe12183-311a-477b-b030-b89c742c998d.jpg.296x216.jpg
20201223,徐汇,斜土路,金色港湾大三房+两房朝南+精装修+楼层好+位置安静,1600万,3室2厅 | 162.62平米 | 南 | 精装 | 中楼层(共33层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d7563d9da0567835811f19f5a8d7a3bd-032.jpg.296x216.jpg
20201223,徐汇,斜土路,大木小区 1室0厅 南新上,355万,1室0厅 | 37.33平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,
20201223,徐汇,斜土路,08年房龄+近地铁4/12+高区采光无遮挡+品质小区小两房新上,900万,2室2厅 | 81.57平米 | 南 | 简装 | 高楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170411/3b6e5fc5-566a-48ed-a6aa-5a0fe18674b1.jpg.296x216.jpg
20201223,徐汇,斜土路,精装修保养好，户型朝南采光好，地铁站嘉善路,375万,1室1厅 | 60.66平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-e2f59a93-dad8-435a-8cd1-132cf16fe571.png.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室0厅 西南 西,330万,1室0厅 | 60.74平米 | 西南 西 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-a82e8a16-cd30-4c59-9fc9-0a11fdbc59d7.png.296x216.jpg
20201223,徐汇,斜土路,徐汇滨江  一梯四户，房间面积较大，朝南，采光无遮挡,268万,1室1厅 | 41.01平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,http://image1.ljcdn.com/110000-inspection/0814f72a4c082e4532b6766ef5b0150e-033.jpg.296x216.jpg
20201223,徐汇,斜土路,边套带院子，可做一门关，近地铁，看房方便,270万,1室1厅 | 39.43平米 | 南 北 | 毛坯 | 低楼层(共4层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1dca3b1abecfdb91fcc4aba9f5a9177e-043.jpg.296x216.jpg
20201223,徐汇,斜土路,教科院南洋9/12号线满五唯一精装诚售“美丽家园“改造,290万,1室0厅 | 36.35平米 | 南 | 精装 | 高楼层(共5层) | 1979年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/cfcc5847-42df-46ad-bd1c-489832a1b2d0.png.296x216.jpg
20201223,徐汇,斜土路,内环内+地铁口+年轻人过渡专用两房+储物间出租收租房主自荐,319万,2室1厅 | 54.35平米 | 南 | 简装 | 高楼层(共7层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ba99edcb23a42f479668ed778f7898ab-077.jpg.296x216.jpg
20201223,徐汇,斜土路,教科院加南洋，产权清晰，小区环境好,465万,2室1厅 | 57.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4d4acdd49f9482fd307bb503ce0efb73-030.jpg.296x216.jpg
20201223,徐汇,斜土路,4/12号线层高2.95米中间楼层朝南东边套满五唯一诚售,192万,1室0厅 | 31.52平米 | 南 东 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/71bb1a76e8aa0cfe951651d6a997a800-057.jpg.296x216.jpg
20201223,徐汇,斜土路,江南新村(徐汇) 1室1厅 南,220万,1室1厅 | 32.33平米 | 南 | 其他 | 中楼层(共6层) | 1969年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f5d0235a1602b9fc82c955a14cdb961-073.jpg.296x216.jpg
20201223,徐汇,斜土路,精装修+中楼层朝南+近地铁口4/12号线+业主诚售！！！,310万,1室1厅 | 40.8平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,http://image1.ljcdn.com/110000-inspection/21d8dd6f0bd65a6ef21ef632c7c302d0-044.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇黄埔一房一厅+楼层好+南北通+对教科院+看房方便房主自荐,325万,1室1厅 | 38.69平米 | 南 | 精装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170415/08f8fc8b-6ed2-4020-9455-d25237aec5cd.jpg.296x216.jpg
20201223,徐汇,斜土路,边套全明，品质小区，人车分流，一梯两户，得房率高。房主自荐,920万,3室2厅 | 102.95平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e214d08e-e322-4e29-bb25-60e07540f080.jpeg.296x216.jpg
20201223,徐汇,斜土路,酒店式统一管理，环境优美，品质小区，可商务可。,385万,1室1厅 | 60.74平米 | 西 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 2室1厅 西南 西,538万,2室1厅 | 91.42平米 | 西南 西 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/f78d3141-1ba0-4173-a5ca-02253c6c53ec.png.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 2室2厅 南,550万,2室2厅 | 103平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-9f71fd49-55c3-478a-93d1-fa122da904b3.png.296x216.jpg
20201223,徐汇,斜土路,电梯房高区，视野真心好，单价低适合一家自住,760万,2室2厅 | 111.23平米 | 南 北 | 简装 | 高楼层(共22层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/d6829f7e-8aeb-4079-ab4b-9218b268d5e0.png.296x216.jpg
20201223,徐汇,斜土路,内环近地铁，05年小区，中高楼层，总价低，诚意出售,920万,2室2厅 | 121.05平米 | 西北 | 简装 | 中楼层(共23层) | 2005年建 | 塔楼,http://image1.ljcdn.com/x-se/310000-frame/ba4c154f-027d-4924-a189-06b6e6d110aa.jpg.296x216.jpg
20201223,徐汇,斜土路,酒店式公寓，精装修，随时可看！价格低，楼层好。,370万,1室1厅 | 60.74平米 | 东 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,酒店式公寓，精装修，随时可看！价格低，楼层好。,429万,1室0厅 | 60.74平米 | 东 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,徐汇内环内正规南北两房，满五唯一，朝南无任何遮挡,860万,2室2厅 | 87.85平米 | 南 北 | 精装 | 中楼层(共12层) | 2006年建 | 板楼,
20201223,徐汇,斜土路,满五唯一户型方正，南北通透，电梯小高层，园林品质..,1430万,3室2厅 | 146.4平米 | 南 北 | 精装 | 中楼层(共23层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20150105/a3c3fab8-b7a8-4c61-8cc8-f09d473353a6.jpg.296x216.jpg
20201223,徐汇,斜土路,低楼层一门关+东面和北面双面采光+双规交通,185万,1室0厅 | 30平米 | 东 北 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/0b897bde-faa2-42f2-9a1b-c1377bda58a7.jpg.296x216.jpg
20201223,徐汇,斜土路,双南两房+西木北居委+总价单价低+业主诚售+配套齐全,270万,2室1厅 | 43.39平米 | 南 | 简装 | 中楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/310000-inspection/a8dcd75f-dbc7-40a4-8f79-4eda00657e63.jpg.296x216.jpg
20201223,徐汇,斜土路,中间楼层一房，朝南精装修，业主诚意出售,185万,1室0厅 | 30平米 | 南 | 精装 | 中楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/lianjia_1607062070092___4e2393e1810d4c2ed92866e320406547.jpg.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 东 北,500万,1室1厅 | 83平米 | 东 北 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 东南,475万,1室1厅 | 82.1平米 | 东南 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
