20201223,浦东,北蔡,满五唯一+精装带地暖+三房2卫+有车位+高区景观必看好房,1070万,3室2厅 | 119.33平米 | 南 北 | 精装 | 中楼层(共20层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqJfQJijU_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五唯一，六楼采光好，税费少，购房成本低房主自荐,199万,1室1厅 | 46.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_whB8mv7Nv_1.jpg.296x216.jpg
20201223,浦东,北蔡,绿地集团建造， 低楼层 南北通风 一梯两户房主自荐,480万,3室2厅 | 103.47平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9fc3a51e-4bde-44d5-a5b6-7d9d141eeefa.jpg.296x216.jpg
20201223,浦东,北蔡,通风采光好，视野开阔，自住出租均适宜，业主诚意出售房主自荐,515万,1室1厅 | 54.93平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3ebe09f5-1077-4f99-a010-8a75a5c60d28.jpg.296x216.jpg
20201223,浦东,北蔡,博安苑 1室1厅 南新上,410万,1室1厅 | 53.19平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yn4wnGM6a_1.jpg.296x216.jpg
20201223,浦东,北蔡,比邻龙阳路CBD，18号线芳芯路地铁口，双南精装一居室新上,290万,1室1厅 | 45.91平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nBiavZRTN_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南双天井，一手动迁，税费少，客厅有窗。新上,345万,2室1厅 | 70.45平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FwslV5nvX_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费少，私密性好，交通方便，配套齐全。新上,320万,2室1厅 | 55.51平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QF0412h2v_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费低  采光好  交通便利 业主诚心出售  价格可议新上,275万,2室1厅 | 58.63平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XBi66uO8O_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修，西边套，客厅带窗，楼层好新上,250万,1室1厅 | 50.89平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d4bvy6Qmy_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 楼层好 得房率高 婚房自住精装修 双轨地铁房主自荐,595万,2室2厅 | 73.58平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TD8PKCniF_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修+前后无遮挡采光好+近地铁,1115万,3室2厅 | 130.28平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I277Wfiyi_1.jpg.296x216.jpg
20201223,浦东,北蔡,复式朝南，房型正气，采光好视野开阔，精装修领包入住,1480万,4室2厅 | 153.14平米 | 南 北 | 精装 | 高楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5r5vglOQY_1.jpg.296x216.jpg
20201223,浦东,北蔡,高科西路2763弄 2室1厅 南,320万,2室1厅 | 49.5平米 | 南 | 简装 | 低楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A8n9ZNXuE_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，花园洋房，精装修，小区人车分流，位置安静,1280万,4室2厅 | 201.01平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sqRdWBJAR_1.jpg.296x216.jpg
20201223,浦东,北蔡,南新六村 2室1厅 南,307万,2室1厅 | 63.15平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tN8U4FsND_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修+满五唯一+看房方便+双南户型新上,388万,2室1厅 | 63.8平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gg9HbH1xm_1.jpg.296x216.jpg
20201223,浦东,北蔡,【花木板块】2/7/16号线交汇+比邻龙阳路CBD必看好房房主自荐,220万,1室1厅 | 42.06平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b7e00363-6c30-4ef8-9357-cba86501f8ba.jpg.296x216.jpg
20201223,浦东,北蔡,北蔡优质电梯一房 纯毛坯 小区新 环境好 诚意出售,340万,1室2厅 | 59.37平米 | 南 | 毛坯 | 低楼层(共13层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MQ5ztKJzj_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南精装修中间楼层，近地铁站，税费少,400万,2室1厅 | 73.02平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UlUnDGZxS_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，南北通风采光好，业主诚意出售。,245万,2室1厅 | 55.56平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7y44fUh2r_1.jpg.296x216.jpg
20201223,浦东,北蔡,2000年商品房，满五年唯一，价位可谈，车位充足。房主自荐,395万,2室2厅 | 77.3平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jqk7gHTk1_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内+全明边套+次新房+房东置换+诚意出售。房主自荐,275万,2室1厅 | 58.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Uiyc75dPo_1.jpg.296x216.jpg
20201223,浦东,北蔡,小三房+精装修+中环内+满五唯一+诚意出售房主自荐,375万,3室1厅 | 78.15平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iMqyHVEoN_1.jpg.296x216.jpg
20201223,浦东,北蔡,售后公房+满五年唯一+非底楼 非顶楼+位置佳+户型正气房主自荐,410万,2室1厅 | 74.86平米 | 南 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dju7DJDbA_1.jpg.296x216.jpg
20201223,浦东,北蔡,（五期一居室带花园 装修保养好 业主诚售 可看房）,498万,1室1厅 | 55.77平米 | 南 | 精装 | 低楼层(共13层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vxdq3obMY_1.jpg.296x216.jpg
20201223,浦东,北蔡,健身楼层，单价低，双南户型，采光好,280万,2室1厅 | 65.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ELv573HkV_1.jpg.296x216.jpg
20201223,浦东,北蔡,13、18号线双轨交通，满五唯一，无增值税，无个税房主自荐,258万,1室2厅 | 49.73平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cW2mV89sJ_1.jpg.296x216.jpg
20201223,浦东,北蔡,满5唯1免个税！客厅主卧朝南带阳台！南北透全明2房房主自荐,380万,2室1厅 | 76.26平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v2zDqbZXz_1.jpg.296x216.jpg
20201223,浦东,北蔡,捡漏房+30天必卖+满五唯一+健身楼层房主自荐,355万,2室2厅 | 72.77平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_y86odXskv_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年唯一+一梯两户+边套户型全明+业主自住精装修房主自荐,290万,2室1厅 | 63.47平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ac6ee849-ac9c-4aec-b388-31900a4f65ef.jpg.296x216.jpg
20201223,浦东,北蔡,有车位另算+采光好+2卧朝南+7/13号线双地铁+全明通风房主自荐,969万,3室2厅 | 134.5平米 | 南 | 精装 | 低楼层(共10层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-5119ccdd-ab8f-4b99-97d6-d6feb6e66d4b.png.296x216.jpg
20201223,浦东,北蔡,十九街区顶楼复式，使用面积大，看房随时，有产权车位,998万,3室2厅 | 164.64平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mASMJT85Q_1.jpg.296x216.jpg
20201223,浦东,北蔡,2002年品质小区，飞机户型，南北飘窗落地窗，随时看房主自荐,638万,3室2厅 | 112.09平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kq4y14j7z_1.jpg.296x216.jpg
20201223,浦东,北蔡,北蔡有好房，大家住一堂；冬观盐雪落，春赏玉花张房主自荐,1380万,5室2厅 | 251.2平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Is4Eo9a7_1.jpg.296x216.jpg
20201223,浦东,北蔡,低楼层南北户型业主置换诚意出售,398万,2室1厅 | 76.27平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JRu2lUH8q_1.jpg.296x216.jpg
20201223,浦东,北蔡,框架结构正气三房，有钥匙可随时看房。,795万,3室1厅 | 110.97平米 | 北 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EdPlj4OqJ_1.jpg.296x216.jpg
20201223,浦东,北蔡,50万精装修，落地窗双阳台，满五年唯一，看房方便。房主自荐,584万,3室2厅 | 116.8平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-dc20395c-f307-4e5f-a22d-9c485033046d.jpg.296x216.jpg
20201223,浦东,北蔡,莲溪一村 2室1厅 南房主自荐,355万,2室1厅 | 74.36平米 | 南 | 毛坯 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fbf40239-a92b-441a-83a6-b07a6fc5e310.jpg.296x216.jpg
20201223,浦东,北蔡,新出迷你一室户，简单装修，看房随时，近地铁,168万,1室0厅 | 21.92平米 | 东南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2iIpCmYH7_1.jpg.296x216.jpg
20201223,浦东,北蔡,莲宏苑 1室1厅 南,368万,1室1厅 | 58.64平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bKHexHkjT_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层 南北通风 税费少 总价低 采光好 近地铁,215万,1室1厅 | 42.44平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DiLHgbtZt_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层  位置好  售后公房  税费少 看房方便 随时约,230万,1室2厅 | 39.58平米 | 南 | 毛坯 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JD8ZRjaoz_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房双轨地铁，楼层好，税费少，采光无遮挡。,272万,1室1厅 | 45.04平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FH3tYSp4C_1.jpg.296x216.jpg
20201223,浦东,北蔡,一手动迁精装修带大天井有固定车位,405万,2室1厅 | 70.61平米 | 南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FBcdD1TsO_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁 中间楼层 精装修 采光无遮挡,318万,1室1厅 | 54.2平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_301XAL0mD_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层，业主置换，诚心出售，,190万,1室1厅 | 35.8平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uM4wwbCyr_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一、税费少、通风采光好、业主诚意售,500万,2室1厅 | 81.34平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z1gzuNQBr_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 税费少 双南户型  通风采光好  地铁近房主自荐,308万,2室1厅 | 57.77平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FM2EZVcoC_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，精装修，中间楼层，全明户型。,330万,1室1厅 | 48.49平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ikFzfgFKC_1.jpg.296x216.jpg
20201223,浦东,北蔡,由由四村比邻星河湾+南北通风空气流通性好采光充足,310万,2室1厅 | 51.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KwJZZDmB0_1.jpg.296x216.jpg
20201223,浦东,北蔡,13号线一房单价4万2，满五唯一，随时待签！,210万,1室1厅 | 48.81平米 | 南 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6rE60dsTe_1.jpg.296x216.jpg
20201223,浦东,北蔡,大平层一楼带院子+户型方正+及时一楼采光也好充足,1197万,3室2厅 | 164.25平米 | 南 北 | 简装 | 低楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fd3054c3-193e-47fa-a946-96f3bc7ebe6c.jpg.296x216.jpg
20201223,浦东,北蔡,精装修，全明户型，客厅带窗，诚意出售，近地铁,315万,2室1厅 | 53.36平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCNzPDRhg_1.jpg.296x216.jpg
20201223,浦东,北蔡,由由七村 双南全明户型，总价低近地铁,385万,2室1厅 | 66.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nvlaLIqc0_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶楼 精装修 税费少 诚心出售 看房方便！房主自荐,194万,1室1厅 | 42.25平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G9TpCNoTo_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费少   配套齐全   交通便利    近地铁   精装修,251万,1室1厅 | 48.3平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z2ZhL6FWe_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内 地铁口 全明 南北通 水桶房,240万,1室1厅 | 44.98平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7cWxBl6ba_1.jpg.296x216.jpg
20201223,浦东,北蔡,双地铁口，精装修，全明户型，视野好房主自荐,318万,2室1厅 | 61.03平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OixeX828x_1.jpg.296x216.jpg
20201223,浦东,北蔡,健身楼层  简装  中环旁 视野开阔  前后无遮挡房主自荐,263万,1室1厅 | 57.23平米 | 南 北 | 简装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IBfgnrUeB_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型，次顶楼，采光、视野好。,300万,1室1厅 | 58.39平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uklJi5pZI_1.jpg.296x216.jpg
20201223,浦东,北蔡,房屋户型方正，视野好，生活配套齐全，双地铁房主自荐,460万,3室1厅 | 77.9平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6bdkGojGQ_1.jpg.296x216.jpg
20201223,浦东,北蔡,13、18号线双轨交通地铁口300米，南北通透无增值税房主自荐,239万,1室1厅 | 47平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QNXJmStnj_1.jpg.296x216.jpg
20201223,浦东,北蔡,稀有户型，边套全明，满五年，精装修，拎包入住,330万,2室1厅 | 54平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7wDp8gm3w_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，精装修，一梯两户，13号线，南北通风。房主自荐,260万,2室1厅 | 54.93平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uLapy7Ok4_1.jpg.296x216.jpg
20201223,浦东,北蔡,13、18号线双轨交通  售后公房 满五唯一房主自荐,258万,1室1厅 | 48.66平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8wQ9uPU6u_1.jpg.296x216.jpg
20201223,浦东,北蔡,南北通，采光充足，视野开阔，诚意出售,238万,1室1厅 | 45.57平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IWeqS7Q69_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内 配套成熟 南北通透 一梯两户 全明 双南房主自荐,284万,2室1厅 | 60.13平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZtXEd7Zqf_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，不靠马路，自住精装修，近地铁，看房方便房主自荐,365万,2室1厅 | 68.39平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xvSDHcm40_1.jpg.296x216.jpg
20201223,浦东,北蔡,龙阳CBD辐射区，五轨交通，满五唯一，户型方正。房主自荐,416万,2室1厅 | 80.03平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_78C2OMCXF_1.jpg.296x216.jpg
20201223,浦东,北蔡,17年自住精装修+一梯两户+满五年税费少+全明户型房主自荐,310万,2室1厅 | 59平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5TAziohrJ_1.jpg.296x216.jpg
20201223,浦东,北蔡,小户型，总价低。交通便利，看房方便，价格可谈。,225万,1室1厅 | 39.58平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VID8NjIrb_1.jpg.296x216.jpg
20201223,浦东,北蔡,高楼层无遮挡采光视野都很好，居家装修复古风房主自荐,536万,3室1厅 | 86.62平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DHEtVqKdM_1.jpg.296x216.jpg
20201223,浦东,北蔡,内环旁 双地铁  少有双南全明两房 中楼层 配套成熟,358万,2室1厅 | 57.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3AUx3dBX4_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，双南全明户型，精装修，非顶楼，地铁口,390万,2室1厅 | 71.27平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b32tXkh8e_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 小区中间位置 近地铁 业主诚意房主自荐,560万,2室1厅 | 88.19平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qgHkFvpjV_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁 满五税少 18年精装修 随时可看房主自荐,325万,1室1厅 | 46.53平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ny8ZreeBI_1.jpg.296x216.jpg
20201223,浦东,北蔡,18号线地铁口，南北通透全明两居室，一梯两户，精装修房主自荐,395万,2室2厅 | 71.26平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SEAraC9hG_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，税费少，采光无遮挡，诚意出售，双轨交通房主自荐,306万,2室1厅 | 53平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0y0fyjQg5_1.jpg.296x216.jpg
20201223,浦东,北蔡,双卧朝南，精装修，近地铁，采光通风好,293万,2室1厅 | 50.05平米 | 南 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f3FO923dp_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南两房+进才南+中间楼层+满五年+近地铁+花木街道,420万,2室1厅 | 65.71平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EkTQtvVPw_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五全明户型，两房朝南，视野宽阔，采光充足房主自荐,390万,2室1厅 | 66.38平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_POLuFrf9J_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，全明户型，看房方便，近地铁。,340万,2室1厅 | 57.27平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ESBLH9Vkp_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五税少，南北两房，看房随时，楼层好，全明户型,360万,2室1厅 | 60.66平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YmbcJzXuz_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁 对口刘诗昆 正气大两房 南北通透 采光视野好房主自荐,600万,2室1厅 | 92.04平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_crrkcIgMb_1.jpg.296x216.jpg
20201223,浦东,北蔡,小户型，低总价，产权清晰，小区中间位置，前后无遮挡,305万,2室1厅 | 56.12平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ZgQmmE1m_1.jpg.296x216.jpg
20201223,浦东,北蔡,前城一期高区两房带 车位，自住保养好，诚意出售,1100万,2室1厅 | 83平米 | 南 | 精装 | 高楼层(共24层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OMnbFpWf5_1.jpg.296x216.jpg
20201223,浦东,北蔡,惠德新邨 2室1厅 南,325万,2室1厅 | 61平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XPua8YQLR_1.jpg.296x216.jpg
20201223,浦东,北蔡,电梯高区，14年小区，自住精装修，近地铁,375万,1室1厅 | 57.55平米 | 南 北 | 精装 | 高楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uuOu7RFXz_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型，13号线，18号线，地铁口，两个卧室朝南,400万,2室1厅 | 71.88平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mmeUDrTiq_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型，13号线，18号线，地铁口，两个卧室朝南,365万,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dDpmikd1X_1.jpg.296x216.jpg
20201223,浦东,北蔡,13号线地铁口，09年小区，自住精装修。,640万,2室2厅 | 89.62平米 | 南 | 精装 | 6层 | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HM0a78SMT_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，楼层低，适合老人小孩居住。新上,475万,2室1厅 | 81平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ZAFCw99y_1.jpg.296x216.jpg
20201223,浦东,北蔡,天池一村 1室1厅 南新上,220万,1室1厅 | 39.2平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n9I6tEhu6_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 税费少 视野开阔 采光很好 中环内 近地铁,540万,3室2厅 | 128.82平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c780076e-9ae7-4876-88b2-722213dea9e6.jpg.296x216.jpg
20201223,浦东,北蔡,双天井   满五   看房方便  居家装修  双轨地铁线,465万,3室1厅 | 72.38平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gT0DTEe8m_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明东边套 户型正气 楼层佳 自住房主自荐,535万,3室1厅 | 96.34平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_coy840a29_1.jpg.296x216.jpg
20201223,浦东,北蔡,小区安静，此房满五唯一税费少，低楼层,775万,3室2厅 | 129.06平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_UxS7DhbG2_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南中间楼层，三T队小+中，13/18双轨交通，满五唯一,510万,3室2厅 | 93.53平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9JaiXhNI7_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内+15年的次新房+正常交易+房东置换+诚意出售房主自荐,575万,2室1厅 | 88.44平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qg5dCwiOO_1.jpg.296x216.jpg
