20201223,浦东,金桥,精装两房，满五唯一，不靠路，一梯两户，通风采光好！必看好房,285万,2室1厅 | 53.33平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M1rfi38zl_1.jpg.296x216.jpg
20201223,浦东,金桥,沪东新村高优质两房，楼层佳位置好，出行便捷随时看。房主自荐,235万,2室1厅 | 52.91平米 | 南 | 精装 | 中楼层(共4层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-3bc5cf18-013a-4d1b-816b-786c2cea9dc8.png.296x216.jpg
20201223,浦东,金桥,南二街坊 98年房龄 交通便利配套成熟 户型好 不靠马路新上,496万,3室2厅 | 84.27平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g7GtKRjhA_1.jpg.296x216.jpg
20201223,浦东,金桥,近地铁 视野开阔 采光充足 户型正气新上,415万,2室2厅 | 78平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cnmTvXPuI_1.jpg.296x216.jpg
20201223,浦东,金桥,张桥小区 2室1厅 南新上,320万,2室1厅 | 64.3平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_piXJjgbsL_1.jpg.296x216.jpg
20201223,浦东,金桥,中间楼层双南两房，采光好楼栋位置好新上,338万,2室1厅 | 60.33平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OlkM4yDIL_1.jpg.296x216.jpg
20201223,浦东,金桥,总价低，满五唯一，精装修，看房方便，诚意出售新上,328万,2室1厅 | 66.72平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MK20cUzlk_1.jpg.296x216.jpg
20201223,浦东,金桥,满五唯一，婚房装修，好楼层，诚意出售新上,499万,3室2厅 | 84.1平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gheYwOouB_1.jpg.296x216.jpg
20201223,浦东,金桥,9号线地铁站、商品房小区、小区环境安静新上,650万,2室1厅 | 105.16平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9s7rRVssF_1.jpg.296x216.jpg
20201223,浦东,金桥,南北小两房，客厅大，居家装修，楼层位置佳新上,299万,2室1厅 | 48.89平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23e9ClByK_1.jpg.296x216.jpg
20201223,浦东,金桥,小区花园位置，采光好，楼上做好一室一厅一卫，诚售新上,576万,4室2厅 | 81.04平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_il6ot1zUQ_1.jpg.296x216.jpg
20201223,浦东,金桥,阳光欧洲城，精装修，大开间别墅，诚心出售,1800万,3室2厅 | 236.27平米 | 东南 | 精装 | 3层 | 2002年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_krmADpY2u_3.jpg.296x216.jpg
20201223,浦东,金桥,中间楼层，精装修，拎包入住，满五唯一房主自荐,240万,2室1厅 | 50.9平米 | 南 | 精装 | 中楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ggkv5G7Cq_1.jpg.296x216.jpg
20201223,浦东,金桥,飞机户型 大三房 户型正气 业主诚心出售房主自荐,650万,3室2厅 | 104.21平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iOCmJuzvz_1.jpg.296x216.jpg
20201223,浦东,金桥,05年商品电梯两房，户型好，双南朝向，满五唯一,405万,2室1厅 | 93.17平米 | 南 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RW5yJBOQV_1.jpg.296x216.jpg
20201223,浦东,金桥,中楼层+中装修一房+一手动迁*满五唯一*诚心出售新上,425万,1室1厅 | 48.22平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rx9gLX3YB_1.jpg.296x216.jpg
20201223,浦东,金桥,正气房型无增值税，地铁步行300米房主自荐,240万,1室1厅 | 44.61平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4C7lbvROS_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修、可直接领包入住、满五唯一、中间楼层全天采光房主自荐,285万,1室1厅 | 43.26平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TmfVnXYzI_1.jpg.296x216.jpg
20201223,浦东,金桥,三年精装修小一房户型全明方正，景观健身楼层。,228万,1室1厅 | 41.79平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2EKOkE629_1.jpg.296x216.jpg
20201223,浦东,金桥,大两房，精装修，小区中间位置不靠路,320万,2室1厅 | 65.47平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_54BJ7vNO6_1.jpg.296x216.jpg
20201223,浦东,金桥,低楼层刚需小两房，诚心急售，买入价高，户型好,410万,2室1厅 | 65.99平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t3qaZy2b2_1.jpg.296x216.jpg
20201223,浦东,金桥,品质别墅，置换改善，配套完善，环境优美,2200万,5室4厅 | 489平米 | 南 北 | 简装 | 3层 | 2004年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_u5iRgN7IT_1.jpg.296x216.jpg
20201223,浦东,金桥,顶楼复式 前靠花园后临水，双商场 地铁口,1300万,4室3厅 | 210平米 | 南 | 精装 | 高楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KyRQDnzBl_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥都市花园好三房，业主诚售，地铁口房主自荐,788万,3室2厅 | 127.91平米 | 南 北 | 简装 | 11层 | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G91xb7xcw_1.jpg.296x216.jpg
20201223,浦东,金桥,东五两房诚售，采光好，位置佳，近地铁和文峰，近菜场房主自荐,278万,2室1厅 | 61.15平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1f5058d6-0727-4ff6-a26e-163d03a54ad0.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站地铁》全明户型，户型方正房主自荐,245万,1室1厅 | 48.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oRhsYkUUe_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥一街坊，南北两房中间楼层，中间位置，交通便利房主自荐,265万,2室1厅 | 52.96平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dKdjfTxlG_1.jpg.296x216.jpg
20201223,浦东,金桥,清水苑二期品质一房，次顶楼采光好房主自荐,290万,1室1厅 | 54.21平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K85S1TgpI_1.jpg.296x216.jpg
20201223,浦东,金桥,满五年，健身景观楼层，不靠路不临街，总价低房主自荐,200万,1室2厅 | 41.78平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qMQT3VRyU_1.jpg.296x216.jpg
20201223,浦东,金桥,小区央位视野宽阔，南北通风户型方正，近地铁交通便利房主自荐,240万,1室1厅 | 49.93平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4EkQD0eIG_1.jpg.296x216.jpg
20201223,浦东,金桥,此房是一梯两户，全明格局，婚房装修，近地铁！房主自荐,322万,2室1厅 | 68.22平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LOQH8yppU_1.jpg.296x216.jpg
20201223,浦东,金桥,模范小区 低楼层 双南全明户型 满五唯一 税费少房主自荐,440万,2室1厅 | 67.43平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q8of0c5ya_1.jpg.296x216.jpg
20201223,浦东,金桥,98年商品房，中环边，双轨交通，近公园、楼层佳房主自荐,455万,2室1厅 | 70.08平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PxVtsOt51_1.jpg.296x216.jpg
20201223,浦东,金桥,商品房 全明户型 采光充足 无遮挡 楼层好 自住装修房主自荐,426万,2室1厅 | 68.47平米 | 西 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U8wOXpqbm_1.jpg.296x216.jpg
