20201223,普陀,曹杨,曹杨九村 1室1厅 南必看好房,199万,1室1厅 | 36.12平米 | 南 | 精装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnf0RKIes_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装修，南北户型，电梯安装在即，满五年唯一，朝春,315万,2室0厅 | 49.96平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_KVkcboDGP_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一无个税，一楼带天井 。,380万,3室1厅 | 62.48平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vhekDFSIk_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装修满五不唯一一梯四户环球港边上看房提前预约房主自荐,322万,2室1厅 | 52.33平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b8CSJQT5o_2.jpg.296x216.jpg
20201223,普陀,曹杨,梅岭苑电梯两房精装修中间楼层景观房拎包即可入住房主自荐,418万,2室1厅 | 67.04平米 | 东南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YfBUrgfV4_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五年，南北通，厨卫明，视野宽阔，楼层好，房型正！,270万,1室1厅 | 44.2平米 | 南 | 精装 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2d0670be-7299-40bf-9c49-7ccd59cfbe82_1000.jpg.296x216.jpg
20201223,普陀,曹杨,边套全明  满五唯一  近地铁  近环球港  业主置换,235万,2室0厅 | 44.37平米 | 南 | 精装 | 高楼层(共5层) | 1966年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/d21661a0-1881-4ee5-aa27-6f5ccbf7370a_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨四村(兰花园) 1室1厅 南 北房主自荐,245万,1室1厅 | 40.87平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r6MCnxyit_1.jpg.296x216.jpg
20201223,普陀,曹杨,边套全明   近地铁  采光充足  商圈成熟  业主置换,335万,2室1厅 | 62.39平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dde6a792-4918-4228-97b0-691e24e99339_1000.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁  婚房装修  中间楼层  满五唯一,310万,2室1厅 | 49.16平米 | 南 北 | 精装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cc326512-70ad-41cb-a202-a3c6405a701c_1000.jpg.296x216.jpg
20201223,普陀,曹杨,经典一居室，烫金楼层，业主诚意,265万,1室1厅 | 45.13平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1LxbnUxdg_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 电梯双南两房！售后公房！看房方便！房主自荐,358万,2室1厅 | 69.82平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/df3a904c-f3b5-4d5f-b4b8-e098880cdb82_1000.jpg.296x216.jpg
20201223,普陀,曹杨,业主诚售-无个税增值税 人气小区,264万,1室1厅 | 41.3平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_el9KhWDli_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁  南北两房 看房方便  业主诚意出售,308万,2室1厅 | 53.95平米 | 南 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a45bd674-00e1-46fe-90c1-4866538c4ee6.png.296x216.jpg
20201223,普陀,曹杨,朝南 精装 一房一厅，楼层佳，户型正,278万,1室1厅 | 47.11平米 | 南 | 简装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8a2245e5-8187-4ae3-90d5-1cff0ad8352f.jpg.296x216.jpg
20201223,普陀,曹杨,近曹杨路站 内环沿线 双南两房 采光充足交通便利！,275万,2室1厅 | 54.38平米 | 南 | 精装 | 高楼层(共7层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-03e0f4ce-cb86-46e0-b514-412aacbd8c73.jpg.296x216.jpg
20201223,普陀,曹杨,一楼带天井+精装修+近地铁+诚意出售+配套齐全房主自荐,220万,1室1厅 | 35.1平米 | 南 | 精装 | 低楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XF1GwAqrn_2.jpg.296x216.jpg
20201223,普陀,曹杨,枫桥路地铁口  精装电梯 闲看云起 静待花落 闹中取静,345万,1室2厅 | 52.94平米 | 南 | 精装 | 低楼层(共22层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/85822d90-778d-43a6-b782-06ee7cb26926_1000.jpg.296x216.jpg
20201223,普陀,曹杨,采光好，通风好，近11号线南北两房,400万,2室1厅 | 60.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A7qLHa7d6_2.jpg.296x216.jpg
20201223,普陀,曹杨,精装南北双阳台 户型正采光好 东边套全明户型,330万,2室1厅 | 54.14平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5efXJLS2S_1.jpg.296x216.jpg
20201223,普陀,曹杨,户型方正 楼层适宜 近环球港 四条地铁 业主诚售,455万,3室1厅 | 79.17平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EN9YH9rlQ_2.jpg.296x216.jpg
20201223,普陀,曹杨,三轨交汇 出门环球港  房东诚售,350万,2室1厅 | 50.08平米 | 南 北 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HgGizCL4i_1.jpg.296x216.jpg
20201223,普陀,曹杨,婚房装修南北通，视野宽阔，楼层好，房型正，诚意售房主自荐,228万,1室1厅 | 39.21平米 | 南 | 精装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1687cdc5-87b3-48fe-8365-24a497e5beab_1000.jpg.296x216.jpg
20201223,普陀,曹杨,看这！ 一楼带花园，西边套全明，交通便利，配套齐全,265万,1室1厅 | 43.34平米 | 南 | 简装 | 低楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqdvLjSVB_1.jpg.296x216.jpg
20201223,普陀,曹杨,南北两房 精装修 4楼采光好 价格可谈,268万,2室1厅 | 46.71平米 | 南 | 精装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m6JgXNZPb_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨四村(兰花大楼) 1室1厅 南 北,323万,1室1厅 | 49平米 | 南 北 | 简装 | 低楼层(共22层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/bd506492-5daf-4c5c-b7dc-944e47e84f83_1000.jpg.296x216.jpg
20201223,普陀,曹杨,此房满五唯一，精装修，户型方正，房东诚意出售。,265万,1室1厅 | 43.02平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/846fb32e-32d3-4fcc-8559-2de6394eda7b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,三轨交汇  房东急售    近环球港 长风公园,209万,1室1厅 | 37.06平米 | 南 | 其他 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5n1Y8ZHCp_1.jpg.296x216.jpg
20201223,普陀,曹杨,格局通透 采光好 视野无遮挡 交通便利,530万,3室1厅 | 88.53平米 | 南 | 简装 | 低楼层(共22层)  | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aGXkIRTlS_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一税费少！无抵押，无查封，业主诚意卖,330万,2室1厅 | 46.7平米 | 南 | 毛坯 | 低楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JOdYmdAPD_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁，精装修，拎包入住，房东急售，，，,380万,2室1厅 | 61.68平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7qMYrQARx_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，朝南带明厅！采光无遮，户型正气,225万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/628e503a-93de-499b-ba84-ec497e6d51ba_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨四村(兰花大楼) 2室0厅 南,505万,2室0厅 | 78.6平米 | 南 | 简装 | 低楼层(共22层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/174eeab6-5ee8-48df-99c7-ae1d96972b9a_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，近地铁，高层带电梯，大两房，采光无遮挡,560万,2室1厅 | 89.09平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7PEl1OOtv_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁，南北两房，小区位置好。,280万,2室1厅 | 47.8平米 | 南 北 | 简装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af87c794-5805-4635-9306-e23e1ff60c63_1000.jpg.296x216.jpg
20201223,普陀,曹杨,楼层好，双南两房，满五不唯一，业主诚意出售,338万,2室0厅 | 50.77平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a53391d9-ca2b-4258-a092-aef628cdccd7_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨四村(兰花大楼) 2室1厅 东南,420万,2室1厅 | 70.15平米 | 东南 | 简装 | 低楼层(共22层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_61IRsthct_1.jpg.296x216.jpg
20201223,普陀,曹杨,产权清晰 视野开阔 采光无遮挡,266万,2室1厅 | 47.91平米 | 南 | 简装 | 高楼层(共7层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_36NMOPmh1_1.jpg.296x216.jpg
20201223,普陀,曹杨,南北户型，采光明媚，诚意出售，看房方便,365万,2室1厅 | 55.82平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cdb737ab-ebb6-4ba9-a725-e7aacc13ebea_1000.jpg.296x216.jpg
20201223,普陀,曹杨,内中环中间楼层一室户，近环球港和金沙江路,210万,1室1厅 | 37.07平米 | 南 | 毛坯 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0c68fd86-e17a-40a3-b4e3-4ec5e2bdd3f8_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨一村 1室0厅 东房主自荐,200万,1室0厅 | 30.36平米 | 东 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SZhMVzxRo_1.jpg.296x216.jpg
20201223,普陀,曹杨,3.4.11.13四条地铁，内环边上品质小户型，诚意出售,448万,1室1厅 | 69.91平米 | 南 | 精装 | 低楼层(共30层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5c159546-d650-483d-b8f9-356e20383488_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨二村+南北两房+满五唯一+诚意出售,285万,2室0厅 | 45.43平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2e612fa0-7808-470c-a567-a2f3cbe9e5eb_1000.jpg.296x216.jpg
20201223,普陀,曹杨,精装修一室一厅，楼层好，采光佳，近金沙江路地铁！,273万,1室1厅 | 46.92平米 | 南 | 精装 | 中楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/05d4a698-10b3-47e2-b70c-ef679ebd7046_1000.jpg.296x216.jpg
20201223,普陀,曹杨,联农大厦 1室1厅 西 西南,345万,1室1厅 | 52.94平米 | 西 西南 | 简装 | 高楼层(共22层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/b3c350aa-c2b2-4c9c-bfd6-104c66e4a215_1000.jpg.296x216.jpg
20201223,普陀,曹杨,不唯一，产权清晰，业主诚意出售,355万,2室1厅 | 50.83平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4BflDcXF4_1.jpg.296x216.jpg
20201223,普陀,曹杨,低总价两房，户型方正，诚意出售,275万,2室1厅 | 51.18平米 | 南 | 精装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-56e7731b-1fcc-4d91-b1f0-b42621d6b9a4.jpg.296x216.jpg
20201223,普陀,曹杨,楼层好 视野宽阔 采光好 出租自住都可以,195万,1室1厅 | 37.98平米 | 南 | 精装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_IjWxv6lZl_1.jpg.296x216.jpg
20201223,普陀,曹杨,四轨交汇  商圈成熟  满五唯一  采光充足  视野无遮挡房主自荐,190万,1室0厅 | 29.94平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/756141d9-e065-49be-b10a-75e83f45ee38_1000.jpg.296x216.jpg
20201223,普陀,曹杨,小户型，总价低，房龄新，业主诚意出售，看房方便！,205万,1室1厅 | 36.31平米 | 南 | 简装 | 高楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cL1lzXYWi_1.jpg.296x216.jpg
20201223,普陀,曹杨,非顶楼 满五唯一  近环球港  小区翻新  业主置换,227万,1室1厅 | 38.74平米 | 南 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7fe4d6fd-bc8d-408f-9c76-4d5a6c62600f_1000.jpg.296x216.jpg
20201223,普陀,曹杨,近曹杨商圈 一室户 采光好 满五唯一 税费少房主自荐,178万,1室1厅 | 33.72平米 | 南 | 简装 | 高楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8cDn42zJ6_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨二村 1室0厅 南,170万,1室0厅 | 29.44平米 | 南 | 其他 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EhLb16nPS_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨五村(南杨园) 2室1厅 南,330万,2室1厅 | 53.53平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1ff16c7d-6b70-4aea-ab3b-aadbb3a7c7e8.jpg.296x216.jpg
20201223,普陀,曹杨,简装南北双阳台 户型正采光好 东边套全明户型,310万,2室0厅 | 53.16平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gOl6iwuv8_1.jpg.296x216.jpg
20201223,普陀,曹杨,杏园小区，小区一室户，小区中间位置，诚意出售,210万,1室0厅 | 33.34平米 | 东 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/650c62c2-8367-4972-a3fe-da8245dbdf15_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨二村+精装修+双南两房+近地铁,288万,2室1厅 | 54.57平米 | 南 | 简装 | 高楼层(共6层) | 1963年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d62355c7-1cb0-4242-a67d-81a144905573_1000.jpg.296x216.jpg
20201223,普陀,曹杨,精装朝北一室户，近地铁，业主诚意出售,148万,1室0厅 | 25.5平米 | 北 | 精装 | 高楼层(共5层) | 1956年建 | 板楼,http://image1.ljcdn.com/110000-inspection/28123581-2c1e-4199-9f94-971405776792_1000.jpg.296x216.jpg
20201223,普陀,曹杨,小区中间朝南一室户，看房方便，非顶楼,195万,1室1厅 | 33.99平米 | 南 | 精装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AiiT79xcW_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁一室户，中间楼层，采光好通风佳,178万,1室0厅 | 33.71平米 | 南 | 简装 | 中楼层(共4层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa204080-4288-4db4-bc15-c4fd05d61d80_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨二村 1室1厅 南,215万,1室1厅 | 34.62平米 | 南 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ef253f7-43f1-47e0-a486-35cd9123cf27_1000.jpg.296x216.jpg
20201223,普陀,曹杨,小区中间位置，附大露台，边套全明,335万,2室1厅 | 51.18平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/21b338dc-d5dc-45dd-8030-383b17049f49_1000.jpg.296x216.jpg
20201223,普陀,曹杨,中间楼层+低总价一室户+3/4/13号线曹杨路站地铁口房主自荐,168万,1室0厅 | 30.2平米 | 南 | 简装 | 中楼层(共6层) | 1972年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_2BwVWWdyJ_1.jpg.296x216.jpg
20201223,普陀,曹杨,2010房龄+满五唯一+电梯中区全朝南两房+有产权车位！,780万,2室2厅 | 87.07平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aBcovDmID_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装修，边套全明户型，南北通，近地铁,315万,2室1厅 | 50.04平米 | 南 | 精装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c1257a5-eca4-488c-af36-4d29b9a70312_1000.jpg.296x216.jpg
20201223,普陀,曹杨,梅岭苑电梯两房精装修中间楼层景观房拎包即可入住,410万,2室1厅 | 66.66平米 | 东南 | 精装 | 中楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vXKn2ZWwt_1.jpg.296x216.jpg
20201223,普陀,曹杨,高品质，近金沙江，近华师大，近环球港。,190万,1室0厅 | 36.12平米 | 南 | 简装 | 中楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZDXoBXxmr_1.jpg.296x216.jpg
20201223,普陀,曹杨,户型正气 ，全明户型，小区中间位置，采光无遮挡,335万,2室1厅 | 59.6平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-bfa363b4-b126-4684-8fc7-0bde488b58ad.png.296x216.jpg
20201223,普陀,曹杨,一房一厅带天井边套全明！地铁、环球港近在咫尺,248万,1室1厅 | 39.89平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5fcc8512-f608-49c2-863e-c7681a486657_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 南北通 精装修 楼层好,245万,1室1厅 | 41.28平米 | 南 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GUCWqD9Mj_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，售后公房，东边套，全明户型，采光无遮挡,299万,2室1厅 | 49.9平米 | 东 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3380da66-a265-4b0d-81bb-8d9ec33b0c2b.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 户型方正 采光充足 交通便利 近环球港,208万,1室1厅 | 38.25平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-c055aca0-c786-4f33-9416-917a633fc99f.png.296x216.jpg
20201223,普陀,曹杨,全明一房 非顶楼 近地铁 精装修  户型通透,165万,1室0厅 | 28.68平米 | 南 | 精装 | 高楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/062bef77-7068-4cf6-9a0b-87314a7d76a9_1000.jpg.296x216.jpg
20201223,普陀,曹杨,环球港下，交通方便，配套成熟，诚意出售,215万,1室1厅 | 38.32平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CdAOvcxZw_2.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，模范小区，近地铁，房龄新,220万,1室1厅 | 44平米 | 南 | 精装 | 高楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cbd9ead3-49e2-4396-8bab-163bb5dd7cc5.jpg.296x216.jpg
20201223,普陀,曹杨,7楼，售后公房，视野开阔，好地段，值得一看,448万,2室1厅 | 74.08平米 | 东 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PvFacAWaE_2.jpg.296x216.jpg
20201223,普陀,曹杨,急急急急  11号线枫桥路，罕见双南小两房，带租约出售,276万,2室0厅 | 43.97平米 | 南 | 简装 | 中楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1be7ae2c-7149-4512-9de1-83e00970f982.jpg.296x216.jpg
20201223,普陀,曹杨,品质三楼，精装修，采光好，业主诚意出售,283万,2室0厅 | 42.93平米 | 南 | 精装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_bvJZZStb8_1.jpg.296x216.jpg
20201223,普陀,曹杨,双阳光阳台20平，满五，得房率超86%，房型正，价可谈,1270万,3室2厅 | 161.44平米 | 南 | 精装 | 中楼层(共13层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_RhbzqARbS_1.jpg.296x216.jpg
20201223,普陀,曹杨,紫气东来边套房、南北通风采光佳房主自荐,190万,1室1厅 | 35.79平米 | 南 | 简装 | 高楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ivCzpTYtv_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁 满五唯一  楼层采光优良 配套齐全 三室房,622万,3室1厅 | 88.53平米 | 南 | 精装 | 高楼层(共22层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/8e61290e-dce4-4e46-89b0-45b16c63b7a1_1000.jpg.296x216.jpg
20201223,普陀,曹杨,电梯房，采光无遮挡，地铁口，交通便捷，配套齐全,510万,2室2厅 | 84.82平米 | 南 | 简装 | 低楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_taANHvpZg_2.jpg.296x216.jpg
20201223,普陀,曹杨,边套全明南北两房，非顶楼，通风效果好,370万,2室1厅 | 62.18平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-299dfe45-b139-4756-89d8-36e548410206.png.296x216.jpg
20201223,普陀,曹杨,曹杨二村 1室1厅 南房主自荐,218万,1室1厅 | 37.64平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/7da44b69-9a3d-4e30-a132-814720519ca9_1000.jpg.296x216.jpg
20201223,普陀,曹杨,绿暗红稀出风城，暮云楼阁古今情！！！,1265万,3室2厅 | 161.44平米 | 南 | 其他 | 高楼层(共13层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbdd4c58e-e8d4-4feb-a957-e52f4c57661b.JPG.296x216.jpg
20201223,普陀,曹杨,曹杨地段3房，售后公房，全明格局房主自荐,416万,3室1厅 | 64.85平米 | 南 北 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/c4a05f67-ed62-444e-a909-1ebaaa102b75.JPG.296x216.jpg
20201223,普陀,曹杨,内环旁 金沙江路地铁站旁 电梯房 户型正 采光好 全南,725万,2室2厅 | 111.42平米 | 南 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20160928/d7d50d4c-e0fe-4f5c-8846-f578fc6400ff.jpg.296x216.jpg
20201223,普陀,曹杨,全明两房两厅，精装修，动迁房！随时可以看房！,580万,2室2厅 | 98.25平米 | 南 | 精装 | 中楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/7f8909ca-b5dc-4fb9-af29-0529faadb359.JPG.296x216.jpg
20201223,普陀,曹杨,近地铁 低总价  小户型  满五年  业主诚意出售,172万,1室0厅 | 30.96平米 | 南 | 简装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/71a00759e9d891745a66cf865f4ba9a5-061.jpg.296x216.jpg
20201223,普陀,曹杨,经典一室户，采光好，刚需投好楼盘新上,180万,1室0厅 | 29.14平米 | 南 | 简装 | 高楼层(共6层) | 1977年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/75bef012-b4dc-4945-b8d8-acd2e0e63335.png.296x216.jpg
20201223,普陀,曹杨,诚意出售，看房随时，价格可谈，商圈配套齐全,120万,1室1厅 | 40.08平米 | 南 | 简装 | 中楼层(共15层) | 2003年建 | 塔楼,
20201223,普陀,曹杨,曹杨一村 1室1厅 南,195万,1室1厅 | 36.19平米 | 南 | 其他 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fe76a2e5-06bb-4a0d-81fe-3f7c0872b9e5.png.296x216.jpg
20201223,普陀,曹杨,自如装修，低总价，业主诚意出售,298万,2室1厅 | 49.98平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,
20201223,普陀,曹杨,曹杨五村(金岭园) 1室1厅 南新上,280万,1室1厅 | 43.72平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/87d81c54-058a-4a85-ae30-6fec29dc08e1.jpg.296x216.jpg
20201223,普陀,曹杨,[急售】售后公房无增值税非顶层，高区大户型,480万,2室2厅 | 72.15平米 | 南 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0RoryCWO3_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装修全屋地暖，双南双天井搭了一半，看房方便,360万,2室1厅 | 43平米 | 南 | 精装 | 低楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vw1PwAau2_2.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁金沙江路站，采光无遮挡，环境舒适，配套完善,318万,2室1厅 | 48平米 | 南 北 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tDlSlLDnV_1.jpg.296x216.jpg
20201223,普陀,曹杨,近枫桥路地铁站，大两房，精装全明房主自荐,350万,2室1厅 | 55.2平米 | 东 东南 | 精装 | 中楼层(共5层) | 1963年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZJE2ThTEj_1.jpg.296x216.jpg
