20201223,静安,阳城,近静安大融城 行知路地铁站旁的两居室必看好房,448万,2室2厅 | 73.89平米 | 南 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WWkMZeVsT_1.jpg.296x216.jpg
20201223,静安,阳城,满五唯一一梯两户四房朝南大复式户型方正，带大露台,728万,4室2厅 | 145.65平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pOyyWC6ow_1.jpg.296x216.jpg
20201223,静安,阳城,7号线旁边  带阁楼  税费少  小区花园位置  停车方便,610万,2室2厅 | 87.85平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7aEaoomUQ_1.jpg.296x216.jpg
20201223,静安,阳城,万荣小区双朝南两房，业主诚意，满五唯一税费少,380万,2室1厅 | 66.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F4BmlN4wX_1.jpg.296x216.jpg
20201223,静安,阳城,顶楼带超大阁楼 精装修 采光极好,699万,4室3厅 | 112.43平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_G40peN89m_2.jpg.296x216.jpg
20201223,静安,阳城,静安区大融城旁，大三房，新装修，楼层好诚意出售,455万,3室1厅 | 81.34平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9lmrpA8Lc_2.jpg.296x216.jpg
20201223,静安,阳城,大宁 一梯两户 全明 诚意卖 满二,295万,1室1厅 | 53.54平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HEq8h5yhv_1.jpg.296x216.jpg
20201223,静安,阳城,空中花园顶复，带露台，带阁楼，五年唯一，房东诚意卖,1150万,5室3厅 | 240.46平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-7a45b480-ab30-4671-838a-b22e616ec94f.png.296x216.jpg
20201223,静安,阳城,高区边套全明户型，诚意出售，看房方便，一手税费低。新上,490万,2室1厅 | 67.51平米 | 南 北 | 精装 | 高楼层(共15层) | 2011年建 | 板楼,
20201223,静安,阳城,荣和苑 2室1厅 南新上,385万,2室1厅 | 68.91平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fad933b5-761c-4fda-b584-3e4977348042.png.296x216.jpg
20201223,静安,阳城,大融城旁 玉峰花园 也出诚意出售 到家签字 近地铁房主自荐,631万,3室2厅 | 115.15平米 | 南 北 东 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b4296f10-1d1b-4e54-ab6a-f11d3e1419ec.jpeg.296x216.jpg
20201223,静安,阳城,万荣小区 2室1厅 南新上,395万,2室1厅 | 66.64平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/eb83f22f-a32e-41fc-bf5b-1909a17da82f.png.296x216.jpg
20201223,静安,阳城,满五税少，诚意出售，产权清晰，,310万,2室1厅 | 60.93平米 | 南 北 | 简装 | 6层 | 1996年建 | 板楼,
20201223,静安,阳城,七号线行知路地铁次新小区永和雅园顶楼复式,1000万,5室2厅 | 153.95平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/07ec1db8-79ca-4129-ab34-c9b71e80689f.jpeg.296x216.jpg
20201223,静安,阳城,此房满五唯一，一手动迁，位置佳，单价低,900万,4室3厅 | 192.38平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,
