20201223,虹口,鲁迅公园,虹口花苑+边套全明一室+配套成熟+一梯两户+商品房必看好房,249万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq0hNQU3z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,龙之梦边上+正宗一房一厅+非顶楼+精装修+诚意出售！！房主自荐,263万,1室1厅 | 42.6平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lxDOmKVdw_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一+中高区+足球场3/8双轨+品质小区+近龙之梦新上,868万,3室2厅 | 126.26平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_DqaGQD5Xx.jpg.296x216.jpg
20201223,虹口,鲁迅公园,低价格的 南北通，全明户型，正规中间楼,254万,1室1厅 | 46.49平米 | 南 | 简装 | 中楼层(共4层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6bSTUtodj_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装一房，双轨交通，龙之梦鲁迅公园配套，诚意出售房主自荐,180万,1室0厅 | 35.02平米 | 北 | 精装 | 低楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mss6ztNVE_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,朝南电梯两房，满五唯一，高区采光充足，内环配套完善房主自荐,332万,2室1厅 | 42.93平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e63da3d-7269-48a4-8fcb-154e3bb0bdd1_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园旁，双轨地铁，朝南一门关。,215万,1室1厅 | 33.23平米 | 东 | 毛坯 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_DYfAFDkAJ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,此房全精装修一房一厅，给孩子独立的空间免增值税,220万,1室1厅 | 36平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_zJzhP2U3Y.jpg.296x216.jpg
20201223,虹口,鲁迅公园,朝北一门关+精装修+随时看+3/8号线虹口足球场旁！房主自荐,143万,1室0厅 | 25.94平米 | 北 | 精装 | 低楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_MQMTnLepy_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,双轨交汇 给你一个温暖的家 内环内 总价低,340万,2室0厅 | 53.5平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gTsaaqORy.jpg.296x216.jpg
20201223,虹口,鲁迅公园,自如装修，临地铁，近商超，鲁迅公园+虹口足球场房主自荐,405万,2室0厅 | 59.14平米 | 东南 | 精装 | 低楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/d07d3eef-708e-4681-bcf8-589c2eb222e4_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,朝南一房，采光视野无遮挡，位置佳，环境安静房主自荐,227万,1室1厅 | 36.41平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5nlOE4Gkg_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,中间楼层，1988年房龄，美丽家园小区，看房方便,223万,1室0厅 | 36.91平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YHzFXkW8e_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,天然氧吧，双轨交汇，采光充足，凯德龙之梦房主自荐,230万,1室1厅 | 34.72平米 | 南 | 简装 | 高楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dec8646f-ffc6-4ecd-ac43-a45424ccb033_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内税少总价低，近地铁3.8号线，鲁迅公园四川北路,200万,1室0厅 | 34.5平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e115d34-bcfb-4648-891d-0c737390154d_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近鲁迅公园+中间楼层双南户型+售后公房业主诚意出售,368万,2室1厅 | 52.15平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WG40mQjrL_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,美丽家园，边套全明好两房，拎包入住，店长强推,375万,2室1厅 | 49.9平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_noY5HIzwi_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,此房满二唯一，双南两房，中高层采光好，全明户型。房主自荐,315万,2室2厅 | 44.8平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DQk9CaCGn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,3/8号线地铁口+西边套全明+中间楼层+随时看！房主自荐,183万,1室0厅 | 35.61平米 | 西 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7OhncXp9J_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,3楼小户型，诚意出售，采光好，正朝南房主自荐,230万,1室1厅 | 34.48平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZAzHEHx1Z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,南北通+近8号西藏北路站+虹口龙之梦+鲁迅公园,330万,2室1厅 | 51.1平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ez0hJEoKP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,业主置换，诚意出售，看房方便，,230万,1室0厅 | 32.43平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cce5icCMB_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,《环线双轨覆盖》虹口足球场 交通便利 采光优质房主自荐,213万,1室0厅 | 35.36平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_800SYk8rf_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,紧挨鲁迅公园！配套成熟，出行方便！采光充足无遮挡！,168万,1室0厅 | 26.49平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PNrOATHOU_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,好房呀呀呀   近地铁  低总价    朝南一门关房主自荐,195万,1室0厅 | 31.1平米 | 南 | 简装 | 高楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fvBblq8ms_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,临平板块，经典三房两卫，全明户型，有钥匙，随时可看房主自荐,746万,3室2厅 | 120平米 | 东南 | 简装 | 低楼层(共26层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_6Bd1MA2vD_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁，采光不遮挡，不靠马路不靠高架房主自荐,242万,1室1厅 | 40.16平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xKEE0ab0i_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园板块中楼层朝东偏南一室一厅，满五唯一，90年房主自荐,220万,1室1厅 | 37.51平米 | 东南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/82f76433-805d-4526-83cb-8f49c46fc9b8_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,朝南一门关、双轨交站、出行方便、钥匙房、看房随时,183万,1室1厅 | 34.83平米 | 南 | 简装 | 中楼层(共5层) | 1956年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7heQw0E81_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,绿洲紫荆花园 2室2厅 南新上,625万,2室2厅 | 74.62平米 | 南 | 精装 | 低楼层(共15层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dNtBdFSpF_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,97年房龄，朝南中区全明，10号线邮电新村站，精装修,540万,2室1厅 | 81.46平米 | 南 北 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v6aAPPkyk_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场站 3号线 8号线 朝南一室户 采光好 税费少,172万,1室0厅 | 29.32平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_brunyThhg_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,小户型，满五年，邻鲁迅公园，小区中间位置，闹中取静,215万,1室1厅 | 36.93平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/93a653aa-c1ba-4b88-a260-e83a7aa6f455_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,大阳台+精装修拎包入住+双规交通+边套全明 +满五房主自荐,223万,1室0厅 | 36.04平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JWLW3LsS7_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内小户型+地段优越+双轨交通3/8号线+生活方便,230万,1室1厅 | 35.3平米 | 南 | 简装 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0Qfu5Q2be_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,位置很好，装修很不错， 可以直接拎包入住房主自荐,179万,1室1厅 | 28.4平米 | 南 | 简装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ab746a79-fdd6-4fdd-a0b2-6026424d7695_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园板块南北通户型，业主诚意出售房主自荐,305万,1室1厅 | 49平米 | 南 | 精装 | 高楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9lmpvBhdO_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,业主诚意度高 楼层好 户型好 美丽家园房主自荐,218万,1室0厅 | 31.19平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UOnNkFxgS_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁8号线+满五唯一+精装修+全明户型+生活便利,235万,1室1厅 | 34.6平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DeDll0Vhn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁+美丽家园+非底层+全明户型+生活便利+闹中取静,230万,1室0厅 | 30.76平米 | 南 | 毛坯 | 低楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4658bc17-8eb4-46d6-b37d-0a3f2e09b6f9_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装一室户，满五唯一税费少，生活方便，近地铁房主自荐,230万,1室1厅 | 36.16平米 | 南 | 精装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EvbUQXbmH_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场旁，低总价一房，楼层好，房龄新，诚意出售,183万,1室0厅 | 26平米 | 北 | 简装 | 低楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e6ee48a-2d95-4bfa-8008-c302ff36ff31_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,东边套 南北两房 厨卫全明 满五唯一 1梯3户,460万,2室1厅 | 62.29平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6ee1ce1a-f6e6-4c5e-931f-0bfcf53081d5.jpg.296x216.jpg
20201223,虹口,鲁迅公园,正朝南一室户 全明户型 中区楼层 房东诚意出售房主自荐,205万,1室0厅 | 29.52平米 | 南 | 毛坯 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vr0tVY5AK_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,祥德路25弄 2室0厅 南,350万,2室0厅 | 50.93平米 | 南 | 简装 | 中楼层(共5层) | 1976年建 | 板楼,http://image1.ljcdn.com/310000-inspection/585c1bec-22b6-4332-b8c3-f296315f7417_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,诚心出售低总价低单价的必看好房,215万,1室1厅 | 36.25平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L3yoK1b9h_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,建设新村 1室1厅 南,300万,1室1厅 | 49.27平米 | 南 | 其他 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4mRkqQLL4_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,安静小区大三房，南北通，满五唯一税费少,1100万,3室2厅 | 151.09平米 | 南 | 精装 | 低楼层(共26层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QmSIJBtXK_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园带独立花园，近地铁500米一梯两户房主自荐,700万,2室2厅 | 110.13平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BXHGuAsdM_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内近地铁公园足球场+边套全明满五唯一楼栋位置好,575万,2室2厅 | 89.05平米 | 东 西 南 | 简装 | 中楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-6d665b7f-431a-4438-a1ae-ba951c3717ad.png.296x216.jpg
20201223,虹口,鲁迅公园,龙之梦边上+正宗复式房+楼层好+视野开阔+随时看！房主自荐,950万,3室2厅 | 138.19平米 | 南 北 | 简装 | 低楼层(共28层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MuhUrQeUA_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,经典洋房，品质社区，闹中取静，店长推荐,340万,2室0厅 | 52.38平米 | 南 北 | 精装 | 低楼层(共5层) | 1973年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KNsKcW4lP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,南面带10平左右露台，南北通透，1梯两户，阳光充足,695万,2室2厅 | 103.21平米 | 南 北 | 简装 | 低楼层(共11层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TRyaRgIqe_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园旁，全明小两房，3,8号线双轨交汇，出行便利房主自荐,570万,2室1厅 | 77.01平米 | 东南 | 简装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YSrFqpi41_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内，双轨地铁，近公园，可直接拎包入住,858万,3室2厅 | 136.61平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kDfliPlhR_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，看房方便，带天井，配套成熟，环境好,330万,2室1厅 | 52.45平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_64ABk9bJN_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,中间楼层，闹中取静，交通便捷，位置优越。房主自荐,340万,2室0厅 | 51.92平米 | 南 | 简装 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m0RKESgMp_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,户型正气，视野开阔，配套齐全，交通便利,880万,3室2厅 | 138.16平米 | 南 | 精装 | 低楼层(共15层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-906098f2-458a-4801-9ee3-7587f31f6820.png.296x216.jpg
20201223,虹口,鲁迅公园,售后公房，因为位置好，前面多层，低区比高区阳光好！房主自荐,845万,3室1厅 | 127.76平米 | 南 | 简装 | 18层 | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Z64DFe1zB_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,吉祥苑 2室2厅 南,920万,2室2厅 | 122.1平米 | 南 | 简装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5GTMPdwM6_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,建玮公寓3房中区，全明户型，满五年税少，配套齐全,850万,3室2厅 | 118.66平米 | 南 | 精装 | 中楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170903/ee7515ef-2052-43d0-8c9e-9998cc0ea66c.jpg.296x216.jpg
20201223,虹口,鲁迅公园,板式南北通飞机户型+满五年+虹口区 三 中 心+产权车位,1390万,3室2厅 | 158.31平米 | 南 北 | 精装 | 低楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171107/2e714f06-5a3b-4135-b31e-36763aaaf7fa.jpg.296x216.jpg
20201223,虹口,鲁迅公园,宏城公寓 2室2厅 南,1000万,2室2厅 | 133.27平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,http://image1.ljcdn.com/shfdfs-image/20170329/dc2eeceb-aee6-456c-b1d5-7ff56dc780dc.jpg.296x216.jpg
20201223,虹口,鲁迅公园,繁华地段，双轨交通，高区观景小三房，低总价！,650万,3室2厅 | 98.96平米 | 北 东北 | 简装 | 中楼层(共26层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_DbDnBjbvq_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧四小区 2室0厅 南房主自荐,285万,2室0厅 | 46.07平米 | 南 | 精装 | 中楼层(共6层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/53e8bcacf12a94131e4a671874c83a79-054.jpg.296x216.jpg
20201223,虹口,鲁迅公园,华清名苑，鲁迅公园，品质三房，总价低，诚意出售！,840万,3室2厅 | 125.02平米 | 南 | 简装 | 低楼层(共17层) | 2003年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20161002/95aa2fd2-e13e-4193-b9fd-f7591f5db13c.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口花苑 复式高区景观房 四房朝南 两厅朝西 户型正气,999万,4室3厅 | 182.34平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170820/fa4dff96-486d-4809-a63a-10ce13076975.jpg.296x216.jpg
20201223,虹口,鲁迅公园,恒通公寓 2室2厅 南,750万,2室2厅 | 97.54平米 | 南 | 精装 | 高楼层(共18层) | 2000年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/9b511d61-09c8-4ec3-bcad-88e08525f9f6.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁，鲁迅公园旁，南北通，楼层好，视野开阔,598万,3室1厅 | 94.72平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170828/7b54677f-8522-4d03-b6f2-d0ca47d7c268.jpg.296x216.jpg
20201223,虹口,鲁迅公园,一手未入住-视野开阔-看陆家嘴-看老洋房-近4/10海路站新上,1247万,3室2厅 | 138.54平米 | 南 北 | 简装 | 高楼层(共23层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/31299c1c-92d5-460a-b9bb-74339dcab4d5.png.296x216.jpg
20201223,虹口,鲁迅公园,虹口super好房现世，烫金地段，次新小区，超低总价！新上,1040万,3室2厅 | 131.06平米 | 南 北 | 简装 | 低楼层(共28层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ad190d5f-5392-442a-aefa-5bba5994a152.png.296x216.jpg
20201223,虹口,鲁迅公园,四开间朝南，复式房源，1996年一梯两户，带露台房主自荐,930万,4室2厅 | 167.81平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20201223,虹口,鲁迅公园,同心路正规两房一厅，户型方正，全明户型。,390万,2室1厅 | 66.16平米 | 南 | 简装 | 低楼层(共29层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/94ba29c91c997d0e566f5ea64f937602-095.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧四小区 2室0厅 南,310万,2室0厅 | 47.58平米 | 南 | 精装 | 低楼层(共6层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8b6f3bd1cad15e02d7c1a298bdd47950-077.jpg.296x216.jpg
20201223,虹口,鲁迅公园,双南带阁楼的房子，老上海地段，3轨交通！,340万,2室1厅 | 50.82平米 | 南 | 简装 | 高楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d4a1645e5b58b924ca19067c0911eded-091.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场  低总价中间楼层 边套全明户型 鲁迅公园,155万,1室0厅 | 31.16平米 | 西北 | 精装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0ab83f666bb442a6707109bd13aa4fde-032.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁+小户型+虹口龙之梦+++,210万,1室0厅 | 35.32平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_3c4cedfe-7997-44a1-b363-5b34c4869a4c.png.296x216.jpg
20201223,虹口,鲁迅公园,房龄新，双南户型，高区景观，采光好，位置佳,790万,1室2厅 | 81.15平米 | 南 | 精装 | 高楼层(共32层) | 2010年建 | 塔楼,
20201223,虹口,鲁迅公园,低楼层，双南两房，精装修，拎包入住，美丽家园小区,345万,2室1厅 | 45.87平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,
20201223,虹口,鲁迅公园,近3/8号线虹口足球场站+满五唯一+采光无遮挡+一梯三户,205万,1室0厅 | 31.64平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_19d56dbb-152a-4fcb-a646-e66c5a8c4ecc.png.296x216.jpg
20201223,虹口,鲁迅公园,山阴路鲁迅公园旁整幢新里，三开间，优秀历史保护建筑,2100万,5室4厅 | 219.5平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,
20201223,虹口,鲁迅公园,建设新村 1室1厅 东 东北,230万,1室1厅 | 42.2平米 | 东 东北 | 简装 | 中楼层(共5层) | 1978年建 | 板楼,
20201223,虹口,鲁迅公园,3/8号地铁沿线，双南户型 楼层好 房东诚意出售,308万,2室1厅 | 50.11平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e44f6f01-0274-451c-a38f-a71d86a9bb0b.png.296x216.jpg
20201223,虹口,鲁迅公园,内环内 龙之梦旁，双轨交汇，全明户型，房型正气,595万,2室2厅 | 95.02平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-df355eb5-f295-472a-aa79-798149132abc.png.296x216.jpg
20201223,虹口,鲁迅公园,售后公房，精装修，一梯三户，91年小区，近龙之梦。,212万,1室1厅 | 36.1平米 | 南 | 精装 | 中楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/98f8f92c-0425-48e1-a1e9-20dabcd49453.png.296x216.jpg
20201223,虹口,鲁迅公园,内环内+低总价电梯三房+户型方正全明+ 诚意出售,800万,3室2厅 | 131.16平米 | 南 | 简装 | 中楼层(共11层) | 1998年建 | 板楼,
20201223,虹口,鲁迅公园,南北通飞机户型的三房+3/8号线双轨道交汇+近龙之梦,755万,3室1厅 | 95.35平米 | 南 | 精装 | 低楼层(共7层) | 2001年建 | 板楼,
20201223,虹口,鲁迅公园,高区电梯房视野和采光好，小区内部环境清幽,550万,1室1厅 | 73.17平米 | 西南 | 简装 | 高楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-5a3aa7cd-fcfc-4e3d-b5b8-f4b32f0147b2.png.296x216.jpg
20201223,虹口,鲁迅公园,虹仪小区，94年，双南，精装修，地铁四，十，八，三线,495万,2室2厅 | 66.44平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,
20201223,虹口,鲁迅公园,业主回国之前谢绝看房，新信息我会更新的，谢谢配和,799万,3室2厅 | 125.38平米 | 南 | 简装 | 24层 | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_C9CV2ycIx_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,何家宅小区 2室1厅 南新上,405万,2室1厅 | 62.18平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GkkHpitwF_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,《环线双覆盖》虹口足球场，交通便利，边套全明房主自荐,275万,1室0厅 | 39.95平米 | 西南 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZHXptVjBL_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,何家宅两房 总价低 视野好 采光好 近地铁3/8号线,290万,2室0厅 | 49.02平米 | 南 | 简装 | 高楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q9m28nDXl_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场站  3号线8号线 南北通两房 精装修房主自荐,338万,2室0厅 | 54平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZrMpEnYI4.jpg.296x216.jpg
20201223,虹口,鲁迅公园,祥德路139弄 2室0厅 东,320万,2室0厅 | 53.41平米 | 东 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9X4sqzsIN_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,售后公房，全明三房户型，中间楼层，地段好！,540万,3室2厅 | 86.23平米 | 南 | 毛坯 | 中楼层(共5层) | 1951年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xSPlVyI3Z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口龙之梦地铁口四百米 高品质一房一厅 拎包入住,212万,1室1厅 | 37.93平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e3a6d5bb-a9c0-4a3e-8cc4-5d7afa0bf1e5.jpg.296x216.jpg
