20201223,宝山,大华,全明南北通， 低于市场价十万，安静位置  随时看房必看好房,349万,2室1厅 | 71.39平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZHl9NNwn8_1.jpg.296x216.jpg
20201223,宝山,大华,一手买入，无抵押，无贷款，精装修 可以拎包入住。房主自荐,425万,2室2厅 | 83.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_apE0luYwV_1.jpg.296x216.jpg
20201223,宝山,大华,户型方正，交通配套设施齐全，地铁口2房房主自荐,358万,2室2厅 | 68.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qko5wXx7l_1.jpg.296x216.jpg
20201223,宝山,大华,非顶楼！2加1户型，满五唯一，省税费！看房方便！房主自荐,450万,3室2厅 | 85.96平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_77uahkNGk_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一。户型正气，视野开阔，采光充足，交通便利。房主自荐,319万,2室1厅 | 63.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ags3e0V1M_1.jpg.296x216.jpg
20201223,宝山,大华,中环品质小区，南北户型，带花园地下室，种花养草房主自荐,750万,3室2厅 | 137.97平米 | 南 北 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8uWkMp0Ti_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，位置好 ，小复式，居住舒适，可做婚房房主自荐,410万,2室2厅 | 77.43平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1IBxGn4SN_1.jpg.296x216.jpg
20201223,宝山,大华,一楼花园大三房，诚意出售，位置采光好。,715万,3室2厅 | 135.68平米 | 南 北 | 简装 | 低楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vYf1LirEF_1.jpg.296x216.jpg
20201223,宝山,大华,双南两房 满五唯一 看房方便 随时可签  不靠马路房主自荐,340万,2室1厅 | 68.14平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X0Ytq2ska_1.jpg.296x216.jpg
20201223,宝山,大华,中环边次新房 满五唯一税费低 精装南北两房 产权清晰,539万,2室2厅 | 97.05平米 | 南 北 | 精装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ggBtupadD_1.jpg.296x216.jpg
20201223,宝山,大华,双南全明，精装修拎包入住，采光时长全天，位置安静房主自荐,353万,2室1厅 | 68.33平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yfpCarzR6_1.jpg.296x216.jpg
20201223,宝山,大华,南北通透，近地铁，精装修，采光好，交通方便,535万,2室2厅 | 86.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V65o2UfMI_1.jpg.296x216.jpg
20201223,宝山,大华,双南两房，位置好，税费少，配套成熟，你值得拥有！！房主自荐,410万,2室2厅 | 79.35平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IAl6Bw0gF_1.jpg.296x216.jpg
20201223,宝山,大华,非顶楼，精装修，满五唯一，拎包入住,285万,1室1厅 | 51.61平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l2mRxvBXo_1.jpg.296x216.jpg
20201223,宝山,大华,中间复式，中间楼层，业主诚意出售,450万,1室2厅 | 74.13平米 | 南 | 毛坯 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rnpsLm8gr_1.jpg.296x216.jpg
20201223,宝山,大华,中环一期炙手可热的房型又来了南北通透的小三房,570万,3室2厅 | 98.34平米 | 南 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VCmrDHuQo_1.jpg.296x216.jpg
20201223,宝山,大华,电梯顶复 空中花园 满五年唯一 产权车位 精装修 笋盘房主自荐,780万,3室2厅 | 95.18平米 | 北 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BmAyt35Lj_1.jpg.296x216.jpg
20201223,宝山,大华,看房有钥匙，到价签字，小区车位充足，环境好房主自荐,515万,3室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2CX11jofd_1.jpg.296x216.jpg
20201223,宝山,大华,非顶层地铁口，户型正气，看房方便，无个税房主自荐,225万,1室1厅 | 46.39平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DpVwGEOOe_1.jpg.296x216.jpg
20201223,宝山,大华,双南两房 ，满五唯一，近地铁，近商圈房主自荐,343万,2室1厅 | 68.12平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ma4zZpWEM_1.jpg.296x216.jpg
20201223,宝山,大华,满二年，南北通透，精装修，位置佳，电梯高区,880万,4室2厅 | 128.95平米 | 南 北 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8utoKJdQ6_1.jpg.296x216.jpg
20201223,宝山,大华,随时可看 带拐角大阳台 采光好 视野开阔 地铁站上面房主自荐,395万,2室1厅 | 75.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_zdtx1ZWNJ_1.jpg.296x216.jpg
20201223,宝山,大华,带产权车位，两房价格买三房，家具家电全留下拎包入住房主自荐,590万,3室2厅 | 114.76平米 | 东南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OHxyTt2p6_1.jpg.296x216.jpg
20201223,宝山,大华,带车位出售，水岸蓝桥，南北通两房，税费少，不靠马路房主自荐,688万,2室2厅 | 93.11平米 | 南 北 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l1peMEmus_1.jpg.296x216.jpg
20201223,宝山,大华,顶楼复式，满五唯一，拎包住，带露台房主自荐,600万,3室2厅 | 119.56平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wpbSnzei5_1.jpg.296x216.jpg
20201223,宝山,大华,中环边次新小区，满五唯一，税费少，婚房装修，拎包住房主自荐,535万,2室2厅 | 85.03平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jYoOyMZBr_1.jpg.296x216.jpg
20201223,宝山,大华,一手动迁房，无增值税，电梯高区，采光好，精装修。房主自荐,765万,3室2厅 | 125.29平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4DHSgYQWq_1.jpg.296x216.jpg
20201223,宝山,大华,中环一号大三房两卫，楼层好位置佳，业主诚意出售。,740万,3室2厅 | 128.38平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0E79ESYmO_1.jpg.296x216.jpg
20201223,宝山,大华,南北直通双阳台，装修的很好，税费很好，诚意出售。房主自荐,580万,2室2厅 | 99.28平米 | 南 北 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Hxv14Fn1_1.jpg.296x216.jpg
20201223,宝山,大华,电梯房，两房南北通，公园旁，大华核 、心板块房主自荐,560万,2室2厅 | 118.46平米 | 南 北 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yOUgUFMwP_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，电梯大三房，小区安静位置，邀您品鉴,780万,3室2厅 | 136.25平米 | 南 | 精装 | 低楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fzYR6BtqJ_1.jpg.296x216.jpg
20201223,宝山,大华,精装修2房，户型方正，业主诚心出售房主自荐,450万,2室2厅 | 90.64平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_864urbvqm_1.jpg.296x216.jpg
20201223,宝山,大华,电梯房；满五唯一，税费少；精装修，业主自住；有车位房主自荐,585万,2室2厅 | 91.76平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_URUuaLjYW_1.jpg.296x216.jpg
20201223,宝山,大华,琉樽尚品经典二加一 楼层好视野采光都很棒房主自荐,655万,3室2厅 | 93平米 | 南 北 | 精装 | 14层 | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zl7dLZXmd_1.jpg.296x216.jpg
20201223,宝山,大华,刚出炉四户，户型方正，业主诚意出售房主自荐,718万,4室2厅 | 130.08平米 | 南 西南 北 | 简装 | 低楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CYrqC2Sji_1.jpg.296x216.jpg
20201223,宝山,大华,此房满五唯一，双南卧室，采光好，近地铁，人车分流房主自荐,435万,2室1厅 | 82.09平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uyiCbyHJN_1.jpg.296x216.jpg
20201223,宝山,大华,水岸蓝桥电梯两房，南北通透，满五年，有产权车位,565万,2室2厅 | 91.2平米 | 北 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s5dZnueQV_1.jpg.296x216.jpg
20201223,宝山,大华,采光充足，大露台，满五唯一，可使用面积大，视野开阔房主自荐,515万,3室1厅 | 88.14平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_akEvSeyqe_1.jpg.296x216.jpg
20201223,宝山,大华,复式大宅 满五唯一 业主诚意出售 看房方便房主自荐,690万,4室2厅 | 136.46平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xv1rzD7bw_1.jpg.296x216.jpg
20201223,宝山,大华,此房业主诚意出售，南北通的大三房、满五唯一,655万,3室2厅 | 122.15平米 | 南 北 | 毛坯 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fpsQPA5kB_1.jpg.296x216.jpg
20201223,宝山,大华,大华公园世家康华苑 3室2厅 南 北,638万,3室2厅 | 127.63平米 | 南 北 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_anqltFxbJ_1.jpg.296x216.jpg
20201223,宝山,大华,花园洋房 南北直通 景观楼层 精装两房房主自荐,610万,2室2厅 | 84.13平米 | 南 | 精装 | 中楼层(共10层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vacAQW6h_1.jpg.296x216.jpg
20201223,宝山,大华,南北通，采光好，高层，视野好，精装，有车位,760万,3室2厅 | 119.94平米 | 南 北 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GMjzIdVlO_1.jpg.296x216.jpg
20201223,宝山,大华,电梯高区 全南户型 采光好 视野好 看房方便 VR好房,750万,3室2厅 | 121.35平米 | 南 | 简装 | 高楼层(共18层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GaKvag37Q_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一 西边套全明 带天井 低楼层好户型,285万,1室1厅 | 47.75平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_acZoOTkKO_1.jpg.296x216.jpg
20201223,宝山,大华,视野宽阔,采光充足,配套设施齐全,交通便利房主自荐,445万,3室1厅 | 86.53平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_EUHElLMcB_2.jpg.296x216.jpg
20201223,宝山,大华,梧桐四房，经典温馨，管理好。环境优美，拎包入住。房主自荐,880万,5室3厅 | 188平米 | 南 北 | 精装 | 低楼层(共7层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qH4yXU5mp_1.jpg.296x216.jpg
20201223,宝山,大华,业主精装修+采光充足+买进价高+有产权车位房主自荐,820万,4室2厅 | 139.89平米 | 南 北 | 其他 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TtIoPdaGb_1.jpg.296x216.jpg
20201223,宝山,大华,中环大平层 精装修 拎包入住 小区中间,750万,4室2厅 | 134.45平米 | 西南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E8B1t95nl_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，南北直通四房两卫，中环内，近地铁房主自荐,560万,4室2厅 | 127.48平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wedrBymA4_1.jpg.296x216.jpg
20201223,宝山,大华,100万精装修，拎包入住，业主诚意，到价签字房主自荐,710万,4室2厅 | 117.57平米 | 南 北 | 精装 | 高楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u7QV6Vnz3_1.jpg.296x216.jpg
20201223,宝山,大华,顶楼复式+南北两露台+二手卖进差额增值税少+看房方便房主自荐,985万,4室2厅 | 147.77平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yv5CZpSyb_1.jpg.296x216.jpg
20201223,宝山,大华,户型方正，除露台还有可利用面积，小区在装电梯,580万,3室2厅 | 105.73平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VyzT9Iqmt_1.jpg.296x216.jpg
20201223,宝山,大华,久华佳苑 3室2厅 南,695万,3室2厅 | 120.33平米 | 南 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d4c007c8-9091-4941-af38-4aafa01bec77.jpg.296x216.jpg
20201223,宝山,大华,水岸高楼层一房，税费少，总价低,490万,1室1厅 | 59.68平米 | 南 | 简装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_759rBK16T_1.jpg.296x216.jpg
20201223,宝山,大华,此房源满五唯一，随时可看，交通便利，配套齐全房主自荐,220万,1室1厅 | 42.56平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_0gezvqhOo_1.jpg.296x216.jpg
20201223,宝山,大华,别墅社区，环境幽静，自由装修，看房方便,410万,2室1厅 | 60.17平米 | 南 | 毛坯 | 中楼层(共4层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2VDckJlxS_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，诚心卖，商圈成熟，出行快房主自荐,330万,2室1厅 | 65.25平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ruGZSPW6q_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一  税费少  采光比较好   业主诚意出售,300万,1室1厅 | 52.77平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qtOTSxNSY_1.jpg.296x216.jpg
20201223,宝山,大华,一楼带花园 近地铁 南北户型 总价低,622万,2室2厅 | 103平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nv5hiJ9F0_1.jpg.296x216.jpg
20201223,宝山,大华,中环旁，毛坯房，南北通，楼层好房主自荐,716万,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pVA9aTCF0_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一+经典大四房，视野采光好房主自荐,700万,4室2厅 | 131.95平米 | 东南 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/565050dd-72bf-4b10-829f-bcb189bea8f2.jpg.296x216.jpg
20201223,宝山,大华,地铁口，精装修的全明大三房，小区的中间位置,598万,3室2厅 | 110.86平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bK2Qhd7TE_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村经典一房 近地铁 交通便利 居家装修房主自荐,279万,1室1厅 | 52.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2w1Z6Kv4x_1.jpg.296x216.jpg
20201223,宝山,大华,电梯三房，飞机户型，精装修，南北通，近地铁，诚售房主自荐,608万,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共12层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SIBIx6lDu_1.jpg.296x216.jpg
20201223,宝山,大华,双南户型 2016年 婚房精装修 温馨两居  满五年唯一房主自荐,505万,2室2厅 | 90.48平米 | 南 西 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ftFSy7DqB_2.jpg.296x216.jpg
20201223,宝山,大华,馨华苑 2室2厅 南,690万,2室2厅 | 101.42平米 | 南 | 简装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_nvqlnyBHY_2.jpg.296x216.jpg
20201223,宝山,大华,多层顶复5复6复7空中小别墅双露台近70平米露台房主自荐,900万,4室3厅 | 163.69平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aMhbK8chm_1.jpg.296x216.jpg
20201223,宝山,大华,多层顶复，小区中间位置，6复7房主自荐,710万,3室2厅 | 141.79平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_iQAWEOuyT_1.jpg.296x216.jpg
20201223,宝山,大华,客厅大，九成新，中间位置正气三房房主自荐,689万,3室2厅 | 122.46平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GupXgLFaF_1.jpg.296x216.jpg
20201223,宝山,大华,顶层复式，近地铁，满五暂不唯一。房主自荐,686万,3室2厅 | 120.58平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vE0p5isfV_1.jpg.296x216.jpg
20201223,宝山,大华,电梯复式，实际使用面积大，小区车位充足，户型方正房主自荐,710万,4室2厅 | 82.07平米 | 南 北 | 精装 | 高楼层(共7层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p90o47OgJ_1.jpg.296x216.jpg
20201223,宝山,大华,地铁口别墅社区 动迁房 价格可议 使用面积大！房主自荐,1280万,5室3厅 | 217.29平米 | 南 北 | 精装 | 3层 | 1999年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_ou2hkE271_1.jpg.296x216.jpg
20201223,宝山,大华,联排别墅，西边套，有车位，精装修，ZY空调加地暖！房主自荐,1850万,4室2厅 | 317平米 | 南 北 | 精装 | 3层 | 2010年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_yCCC7l88j_1.jpg.296x216.jpg
20201223,宝山,大华,婚房装修高楼层大三房两卫，视野开阔，采光充足,760万,3室2厅 | 132.98平米 | 东南 | 精装 | 高楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UxbwnnWk7_1.jpg.296x216.jpg
20201223,宝山,大华,梧桐三期，精装修独栋别墅，前后大花园，有车位,4000万,5室3厅 | 380平米 | 南 | 精装 | 2层 | 2010年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_TLSsnOQnw_1.jpg.296x216.jpg
20201223,宝山,大华,30平米花园，双层复式，次新房，拎包入住，诚意出售,760万,3室2厅 | 139.26平米 | 南 北 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QgpDW9nGG_1.jpg.296x216.jpg
20201223,宝山,大华,空中别墅，空调加地暖，诚意出售！房主自荐,1099万,4室2厅 | 174.28平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_acChccJdA_1.jpg.296x216.jpg
20201223,宝山,大华,三分之二唯一  税少  双南户型  采光无遮挡  不沿街,340万,2室1厅 | 64.39平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0zGnjBElE_1.jpg.296x216.jpg
20201223,宝山,大华,大华二村 1室1厅 南,263.5万,1室1厅 | 48.86平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G1KP90Ilw_1.jpg.296x216.jpg
20201223,宝山,大华,精装修一居室，采光无遮挡，视野开阔房主自荐,349万,1室1厅 | 56.91平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0C9VW5tLY_1.jpg.296x216.jpg
20201223,宝山,大华,16年买进新装修+拎包入住+小区中间位置+诚意出售房主自荐,352万,2室1厅 | 60.39平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CsAxBqttg_1.jpg.296x216.jpg
20201223,宝山,大华,全明户型，采光良好，交通便利，配套完善房主自荐,278万,2室1厅 | 50.49平米 | 东 西 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U7X6irmvp_1.jpg.296x216.jpg
20201223,宝山,大华,2013年次新房，精装电梯房，有车位，业主诚心出售。房主自荐,780万,3室2厅 | 132.21平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4229a29c-3b6b-410f-906a-1546628d09bd.jpg.296x216.jpg
20201223,宝山,大华,楼层较好，视野相对开阔，配套齐全，交通便利房主自荐,610万,3室2厅 | 94.6平米 | 北 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X6Ue84Pc8_1.jpg.296x216.jpg
20201223,宝山,大华,板式南北通、精装两房，有车位（另算）到价签字房主自荐,600万,2室2厅 | 93.82平米 | 南 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dCBk8xWyz_1.jpg.296x216.jpg
20201223,宝山,大华,小区花园位置，采光视野俱佳，南北板式飞机户型,860万,3室2厅 | 122.98平米 | 南 北 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eY6ELJNuG_1.jpg.296x216.jpg
20201223,宝山,大华,商圈旁正气大两房，不靠马路，商品房，位置近地铁房主自荐,490万,2室2厅 | 85.13平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PsnSLB7oR_1.jpg.296x216.jpg
20201223,宝山,大华,中环全明两房，婚房装修，采光好，停车方便，税费少！房主自荐,423万,2室2厅 | 84.06平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_THGJxPi9N_1.jpg.296x216.jpg
20201223,宝山,大华,电梯高区，户型方正大四房，采光通风效果好看房方便。房主自荐,870万,4室2厅 | 154.31平米 | 东南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_teEEqfFgf_1.jpg.296x216.jpg
20201223,宝山,大华,房子满五产权唯一， 省税费！位置好，近地铁口，房主自荐,245万,1室1厅 | 51.91平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cSdmpgDWA_1.jpg.296x216.jpg
20201223,宝山,大华,中环内，地铁口，全明格局，学xiao边房主自荐,469万,2室1厅 | 86.59平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YhZEmOhcm_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村  步行到地铁360米 小区位置佳,370万,2室1厅 | 68.7平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5g3GiLYSa_1.jpg.296x216.jpg
20201223,宝山,大华,怡华苑 5室3厅 南,799万,5室3厅 | 187.43平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G0T1EzJ6J_1.jpg.296x216.jpg
20201223,宝山,大华,满五年唯一，精装修，视野好，采光好，随时看房,1279万,4室2厅 | 185.96平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jirlZKSRe_1.jpg.296x216.jpg
20201223,宝山,大华,精装修大三房， 采光好！非底楼， 满五唯一， ！！,845万,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dZymu8qfw_1.jpg.296x216.jpg
20201223,宝山,大华,文华苑(宝山) 3室1厅 北 南房主自荐,514万,3室1厅 | 90.6平米 | 北 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MWXr1ud92_1.jpg.296x216.jpg
20201223,宝山,大华,全明户型采光好，满五唯一，精装修房主自荐,360万,2室1厅 | 71.39平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UuyXzzejc_1.jpg.296x216.jpg
20201223,宝山,大华,双南户型，精装修，采光充足！！！房主自荐,365万,2室1厅 | 67.99平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D4H83OX3H_1.jpg.296x216.jpg
20201223,宝山,大华,精装修，中间楼层，南北通透，采光好房主自荐,286万,1室1厅 | 49.93平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gYZSEklVb_1.jpg.296x216.jpg
20201223,宝山,大华,降价8万！满五唯一，看房方便，小区安静位置好。房主自荐,477万,3室1厅 | 91.04平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_liSfszdpS_1.jpg.296x216.jpg
