20201223,嘉定,江桥,近地铁万达出行购物方便 业主诚心出售看中价格可谈必看好房,365万,2室2厅 | 73.2平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c60a864a-bc80-4c0e-a118-9ea2b12f7d94_1000.jpg.296x216.jpg
20201223,嘉定,江桥,近地铁近万达 税费少，南北通房型好 业主诚意出售,320万,2室1厅 | 72.98平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iOKYpAig5_1.jpg.296x216.jpg
20201223,嘉定,江桥,南北通，视野宽阔，通风好，满五唯一,315万,2室2厅 | 72.36平米 | 北 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C95dVNqgN_1.jpg.296x216.jpg
20201223,嘉定,江桥,近地铁13号线，近万达，南北通透房主自荐,335万,2室2厅 | 78.79平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ed9c64a4-b25d-4805-8687-17f3ef7dcdd2_1000.jpg.296x216.jpg
20201223,嘉定,江桥,南北通透户型两年，精装修，万达广场，地铁13号线房主自荐,365万,2室2厅 | 80.61平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ac5138f4-9a65-4c1f-892b-77861288703c_1000.jpg.296x216.jpg
20201223,嘉定,江桥,电梯房税费少户型好近13号线金运路地铁万达华泰商圈房主自荐,242万,1室1厅 | 55.7平米 | 南 | 简装 | 中楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f40baf01-f08b-42b6-aca3-86ebc26fe7a8_1000.jpg.296x216.jpg
20201223,嘉定,江桥,中房公寓，动迁房，满五唯一，户型好，诚心出售,328万,2室2厅 | 74.77平米 | 南 北 | 简装 | 高楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ab0b19d7-fe90-42fa-8bf1-1fc66f5cbc54_1000.jpg.296x216.jpg
20201223,嘉定,江桥,真实在售+户型方正+干湿分离+精装修+房东诚意出,215万,2室1厅 | 58.22平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VolfBE5Gx_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁房无增值税，买房成本低，出行方便，价格可谈。。,305万,2室2厅 | 72.36平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jfVk8xtJo_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥二村地铁14双轨交地铁口，总价低两房，边套南北通,236万,2室1厅 | 56.9平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jyqPcdsuj_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装修，格局无改动，双南，前后无遮挡，视野好，河边房主自荐,313万,1室1厅 | 63.99平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c5y9jTuUJ_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块两房，带车位，配套地铁教育资源丰富齐全房主自荐,390万,2室2厅 | 79.57平米 | 南 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6NeNG8bX9_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁满五唯一，无增值税，无个税,245万,1室2厅 | 53.53平米 | 南 | 毛坯 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o7QahUOw4_1.jpg.296x216.jpg
20201223,嘉定,江桥,锦华稀有南北通两房 带产权车位 户型正 业主诚售,400万,2室1厅 | 85.51平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7lZ6kdLhQ_1.jpg.296x216.jpg
20201223,嘉定,江桥,一梯两户+两房朝南南北通透+全明户型+满五税少房主自荐,205万,2室1厅 | 58.22平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pwPprqSyV_1.jpg.296x216.jpg
20201223,嘉定,江桥,房子里面产权清晰，户口无，采光无遮挡，没有任何抵押房主自荐,285万,2室2厅 | 72.36平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7b51a7e2-7f61-4abc-b4d6-bf0073dc2706_1000.jpg.296x216.jpg
20201223,嘉定,江桥,江桥.满五唯一，南北通透，全明户型。。房主自荐,287万,3室1厅 | 82.69平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oLJE3Ie7n_1.jpg.296x216.jpg
20201223,嘉定,江桥,南北双阳台双通透原始动迁税少楼层高区无遮挡看房方便房主自荐,320万,2室2厅 | 75.28平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6a7e3a8d-6ee2-4f4e-b198-fca4cbc36e29_1000.jpg.296x216.jpg
20201223,嘉定,江桥,14号线+南北通+楼层佳+阁楼精装+采光好，视野好房主自荐,435万,2室2厅 | 93.33平米 | 南 | 精装 | 高楼层(共4层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xc1fnxC7M_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+精装修+双轨交通+房东诚意出售+看房随时。房主自荐,328万,3室2厅 | 92.12平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D22DuFwo6_1.jpg.296x216.jpg
20201223,嘉定,江桥,房型好，楼层佳，近地铁，出行购物方便，自带公园房主自荐,343万,2室2厅 | 74.4平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/23f26060-b1e2-4ff6-a995-be58fbcba00c_1000.jpg.296x216.jpg
20201223,嘉定,江桥,地铁口  正气大三房  南北通透格局好  业主诚意出售房主自荐,467.5万,3室2厅 | 101.67平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8ef92315-b063-4acc-8275-171c82d9f197_1000.jpg.296x216.jpg
20201223,嘉定,江桥,未来14号沿线 交通方便 全南户型 总价低 楼层好,423万,2室1厅 | 69.42平米 | 南 | 精装 | 高楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PXnekwv59_1.jpg.296x216.jpg
20201223,嘉定,江桥,满二年，带地下产权车位，精装修房主自荐,600万,3室2厅 | 131.56平米 | 南 北 | 精装 | 低楼层(共11层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HJWZpttdY_1.jpg.296x216.jpg
20201223,嘉定,江桥,万达大三房 户型好格局好 满五唯一  诚意出售房主自荐,650万,3室2厅 | 129.91平米 | 南 | 简装 | 低楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8c95feaa-abc1-433e-bf1a-538a84a78e0e_1000.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+江桥+M14嘉怡路600米+精装修+南北通透房主自荐,750万,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PlowR77ld_1.jpg.296x216.jpg
20201223,嘉定,江桥,外环小两居室，邻14号线轨交，700米沃尔玛。全朝南房主自荐,238万,2室1厅 | 60.64平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MooFxeq52_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥扩展区，14号沿线户型方正三居室，精装房,510万,3室2厅 | 122.61平米 | 南 | 精装 | 低楼层(共9层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0CJvkgEes_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装修，南北两房，近地铁和万达广场，大虹桥板块房主自荐,320万,2室2厅 | 78.38平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AOWOm5mxO_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，精装修两房，边套全明户型，房东诚售房主自荐,300万,2室1厅 | 67平米 | 东 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3820c8b1-e7f4-4ca8-9220-bd9bb2d7f8c1_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥 14号沿线 带大花园 二加二户型 里面面积大房主自荐,728万,4室2厅 | 99.2平米 | 南 北 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iGlNw11hg_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，采光日照充足，配套成熟，地铁14号线,528万,3室2厅 | 127.49平米 | 南 | 精装 | 中楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Lbi6bqSU_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥双轨交，好楼层，满五唯一随时可看，随时签字,280万,2室1厅 | 67.45平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u1reUhLwN_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+14号线地铁口+双轨交+满五唯一+15平方天井,228万,1室1厅 | 49平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aeoiiXzVY_1.jpg.296x216.jpg
20201223,嘉定,江桥,带超大花园，南北通大3房距离14号线800m，业主急售！,560万,3室2厅 | 119.07平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7caea153-05c3-4be1-bb18-22cac9318943_1000.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一，带产权车位，一梯两户精装小三房房主自荐,450万,3室1厅 | 90.65平米 | 南 北 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V9I0mEZkw_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥装修3房 中间层 南北通透 拎包住 诚意出售！房主自荐,436万,3室2厅 | 95.6平米 | 南 北 | 精装 | 中楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_csRAvt5tD_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号线+总价低+江桥沃尔玛+中间楼层+采光通风好房主自荐,173万,1室1厅 | 42.68平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fJvud9t0i_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块、品质小区、户型好楼层好房主自荐,435万,2室2厅 | 92.36平米 | 南 | 简装 | 中楼层(共21层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rwGqvc2GE_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+北虹桥+M14嘉怡路站+南北通透+精装修,380万,2室2厅 | 83.59平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ojnjTiaXb_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥，地铁口，万达旁，出行生活交通方便房主自荐,378万,2室2厅 | 72.91平米 | 南 北 | 精装 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/aeb15c2b-ad17-4162-9ca8-1479fc706a69_1000.jpg.296x216.jpg
20201223,嘉定,江桥,此房满五唯一，精装修，户型很好，大一房房主自荐,246万,1室1厅 | 57.25平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c8590b16-71cc-4354-9ee2-641f35a025c8_1000.jpg.296x216.jpg
20201223,嘉定,江桥,双轨交汇+2012年次新房+低总价+万达广场商圈+近地铁,222万,1室1厅 | 56.15平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KD53b1JCr_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号线 北虹桥 江桥沃尔玛 两房两厅带院子 精装修房主自荐,365万,2室2厅 | 87.29平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZEZ9bL9WX_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁房，一房两厅，简单装修，楼层中间位置，采光好,300万,1室2厅 | 63.99平米 | 南 | 简装 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kjGEjI3wk_1.jpg.296x216.jpg
20201223,嘉定,江桥,近13号线，满五唯一，房型方正，带小阁楼，前后无遮挡,230万,1室1厅 | 51.78平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/33074592-64f5-4687-abba-45733eb6e4cc_1000.jpg.296x216.jpg
20201223,嘉定,江桥,婚房精装修 户型正气，采光通风好，正对中间花园房主自荐,335万,2室2厅 | 95平米 | 西南 北 | 精装 | 高楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ng9zIWqvu_1.jpg.296x216.jpg
20201223,嘉定,江桥,新装未住一房，近万达，近地铁，交通方便，配套齐全,245.7万,1室1厅 | 52.93平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/471c426f-cabb-47ec-8fef-e7bc1b090006_1000.jpg.296x216.jpg
20201223,嘉定,江桥,顶楼电梯复式，三阳台，户型正气，可三代同堂入住,1100万,5室3厅 | 249.59平米 | 南 | 精装 | 高楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eb8114f4-13a7-43df-938f-02ed16b59629_1000.jpg.296x216.jpg
20201223,嘉定,江桥,此房毛坯别墅，带产权车位，地铁400米，房间大采光好房主自荐,1400万,4室1厅 | 204.31平米 | 南 | 毛坯 | 低楼层(共1层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_91eEzxeXu_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥、3轨交、车位充足、配套、医院、公园、税费少,500万,3室2厅 | 127.49平米 | 南 | 简装 | 高楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d9U5tbUZQ_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥近地铁，人车分流小区，环境好带车位房主自荐,480万,2室2厅 | 84.23平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KS6jxC2oK_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁满五年，电梯高层，视野开阔，看房方便房主自荐,232万,1室1厅 | 52.82平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UV4ZkcE64_1.jpg.296x216.jpg
20201223,嘉定,江桥,近14号线嘉怡路站，高品质小区，楼层位置佳，婚房精装房主自荐,345万,1室2厅 | 69.89平米 | 南 | 精装 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G1L9ytCUY_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥，14号线沿线、带大花园，全南户型，精装房主自荐,435万,2室2厅 | 90.54平米 | 南 | 精装 | 低楼层(共21层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Tb7J5b9BG_1.jpg.296x216.jpg
20201223,嘉定,江桥,南北通一房，满五年唯一，近13号线地铁，配套成熟。房主自荐,245万,1室2厅 | 62.32平米 | 南 北 | 毛坯 | 低楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p16CJVraw_1.jpg.296x216.jpg
20201223,嘉定,江桥,小区位置，低楼层，原始户型，带阳台，,329万,2室2厅 | 82.84平米 | 南 | 简装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BEqaOTPPF_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥万达商圈+金运路地铁口+采光充足+位置好房主自荐,330万,2室2厅 | 73.41平米 | 南 北 | 简装 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z9o7q52kb_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号地铁，拎包入住，南北通，满五唯一，采光好房主自荐,440万,3室2厅 | 101.18平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6CaDUZ5OX_1.jpg.296x216.jpg
20201223,嘉定,江桥,近万达地铁，交通便利，中间楼层，诚意售,242万,1室1厅 | 51.32平米 | 南 | 精装 | 高楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2037acb7-c1c5-46f3-88d7-1f92f09043da_1000.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+双轨交+地铁800米+精装修+满五唯一房主自荐,390万,2室2厅 | 84.87平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_30rqdx9rM_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁房+毛坯+随时可看+不临街+非顶楼房主自荐,326万,2室2厅 | 95.87平米 | 南 | 毛坯 | 高楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ErUM6ysvQ_1.jpg.296x216.jpg
20201223,嘉定,江桥,此房满五唯一 地铁+万达 南北通风 看房方便,350万,2室2厅 | 73.9平米 | 南 北 | 毛坯 | 高楼层(共4层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BAlyI1oOu_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号+13号+大虹桥 中间楼层的小三房房主自荐,386万,3室1厅 | 97.54平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dZhE1dEUR_1.jpg.296x216.jpg
20201223,嘉定,江桥,邻万达地铁，毛坯房，采光充足，随时看房，到价签字,233万,1室1厅 | 54.01平米 | 南 | 毛坯 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af8d7532-74dd-43d8-8c2a-daf0bc0e57ef_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+三轨相交+江桥医院+户型正气+诚意出售新上,223万,1室1厅 | 56.2平米 | 南 | 毛坯 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yNfAI6hjQ_1.jpg.296x216.jpg
20201223,嘉定,江桥,中房公寓 3室1厅 南新上,398万,3室1厅 | 96.96平米 | 南 | 其他 | 低楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Tv8Zi8iF2_1.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一+采光好+随时可以看房+业主诚心出售。房主自荐,226万,2室1厅 | 61.36平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_B2vpwYRFm_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号线 沃尔玛 江桥高档小区，三开间朝南，配套成熟房主自荐,740万,3室2厅 | 124.05平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tFyxTwWis_1.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一，精装修，带阁楼，视野好,360万,2室1厅 | 72.01平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/359cd43f-9dd3-4705-ab30-d4d3ed174f5e_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+14号线+满五唯一+品质小区+飞机户型,540万,3室2厅 | 110.45平米 | 南 | 精装 | 低楼层(共22层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BnZ6vqcNk_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号嘉怡路地铁口 沃尔玛商圈 双南南北通户型 采光好房主自荐,410万,2室2厅 | 86.78平米 | 南 北 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pNLhuQ6o4_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，13号线地铁，精装修中间楼层，满五唯一。,310万,2室1厅 | 73.18平米 | 南 北 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03fea7e1-899f-4c6c-8c81-af89c329b84c_1000.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥板块+双轨交地铁+双南两房房主自荐,239万,2室2厅 | 64.48平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s7EnDs5RG_1.jpg.296x216.jpg
20201223,嘉定,江桥,虹桥板块稀出次新大三房+近地铁站300米+满五唯一房主自荐,500万,3室2厅 | 126.52平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_omyWGaUdF_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号地铁，南北通，视野开阔，采光好,380万,2室2厅 | 84.12平米 | 南 北 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1yvfpTqeo_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号地铁，南北通，满五唯一，采光好,270万,1室1厅 | 55.66平米 | 南 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M39U8awsW_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥 沃尔玛 14号线 商品房小区 满五唯一 税费少,390万,2室2厅 | 84.12平米 | 南 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nCOeU6tou_1.jpg.296x216.jpg
20201223,嘉定,江桥,中间楼层南北通两房+小区中间位置不临街+税少房主自荐,310万,2室2厅 | 73.31平米 | 南 北 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/53525d0b-a9c2-4f01-a5f4-c04e2c4a213e_1000.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥，居住板块，人车分流，精装修中高层，14号线,465万,2室1厅 | 81.31平米 | 南 | 精装 | 中楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hNHTakMHN_1.jpg.296x216.jpg
20201223,嘉定,江桥,格局好，南北通户型，满五年唯一，精装修房主自荐,410万,3室2厅 | 98.64平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uKi1bYRHR_1.jpg.296x216.jpg
20201223,嘉定,江桥,楼层好，位置好，精装修，近地铁，近万达广场,329万,2室2厅 | 74.8平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/55505423-6d50-49ac-9dec-a8bbfee5f65e_1000.jpg.296x216.jpg
20201223,嘉定,江桥,动迁满五唯一 双飘窗  配套设施齐全 交通便利,410万,3室2厅 | 98.65平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/369b8484-c568-4fda-af3c-783cf07574a0_1000.jpg.296x216.jpg
20201223,嘉定,江桥,全世界上醉好吃的面 都不如见你一面,216万,1室2厅 | 56.47平米 | 南 | 简装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qw8H2Ghge_1.jpg.296x216.jpg
20201223,嘉定,江桥,本小区所在位置是江桥居中区域，近万达近交通，房主自荐,254万,1室1厅 | 53.04平米 | 南 | 其他 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cfc6cf28-2860-4d0b-ac36-7f1fca7b83af_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+双交轨+满五唯一+精装修拎包入住看房方便房主自荐,389万,2室2厅 | 91.41平米 | 南 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4aDoJ1Jh2_1.jpg.296x216.jpg
20201223,嘉定,江桥,品质小区，景观楼层，连廊大的阳台，看房提前预约房主自荐,480万,2室2厅 | 96.84平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1733a452-955c-4643-a82a-1cae6e2f69ae_1000.jpg.296x216.jpg
20201223,嘉定,江桥,13号线+万达，精装修两房带院子，动迁满五唯一房主自荐,315万,2室2厅 | 74平米 | 北 南 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SxKa7DkTg_1.jpg.296x216.jpg
20201223,嘉定,江桥,地铁口原始三房+沃尔玛+老街+交通配套方便+户型方正房主自荐,280万,3室1厅 | 81.68平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y1a4oAnYU_1.jpg.296x216.jpg
20201223,嘉定,江桥,嘉旺苑大两房，朝西大客厅带阳台，户型好。房主自荐,405万,2室2厅 | 101.38平米 | 南 北 | 毛坯 | 低楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OPZVo7CcC_1.jpg.296x216.jpg
20201223,嘉定,江桥,南北两房  双天井 满五唯一  小区住宅中间位置房主自荐,260万,2室1厅 | 67.13平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vUphFs6Eo_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+双轨交+动迁商品房+大三房+业主诚心出售房主自荐,539万,3室2厅 | 141.52平米 | 南 | 毛坯 | 低楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CwAMZYwgC_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥高品质小区，花园位置中间楼层，精装修交付房主自荐,765万,3室2厅 | 117.86平米 | 南 北 | 精装 | 中楼层(共18层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xGt2XqueW_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+双轨交+精装带3个院子+满五唯一+诚意出售房主自荐,490万,3室2厅 | 131.73平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GGrR67g9A_1.jpg.296x216.jpg
20201223,嘉定,江桥,此房满五年税费少，精装修三房，可以直接入住房主自荐,303万,3室2厅 | 82.82平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1d4f641d-4a5d-4961-b7bf-2669c97540ce_1000.jpg.296x216.jpg
