20201223,宝山,通河,目前房子是1房1厅 楼层1楼带天井，还是不错的必看好房,195万,1室1厅 | 42.26平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f2f8ad3c-058d-442f-8d5c-f0e42a77fdf6_1000.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，低楼层，看房方便，产权清晰，诚意出售,305万,1室1厅 | 55平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/019f8773-86a7-4e4e-ae8a-78bdc1d2fc53_1000.jpg.296x216.jpg
20201223,宝山,通河,小两房，采光好，配套设施齐全，交通方便，诚心出售！房主自荐,232万,2室1厅 | 57.32平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jcAJKyPza.jpg.296x216.jpg
20201223,宝山,通河,中间楼层，双南两房户型方正，业主诚意出售房主自荐,310万,2室1厅 | 62.84平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f2f67b9c-3ee4-4916-b2ab-8f6c124e79da_1000.jpg.296x216.jpg
20201223,宝山,通河,急售，通河新村地铁口，满五年唯一税少，看房随时方便,375万,1室2厅 | 69.27平米 | 西南 | 简装 | 中楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZOwQAAxxH_1.jpg.296x216.jpg
20201223,宝山,通河,户型正气，精装修，一梯两户，采光好，业主诚心卖房主自荐,273万,2室2厅 | 60.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-ec43cf8f-98b3-4faa-9b54-dfd21ae9ffcc.png.296x216.jpg
20201223,宝山,通河,通河六村，满五唯一，全明户型，总价低，业主诚心卖房主自荐,197万,1室1厅 | 42.15平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-bdd3a311-4cb6-40c0-b10b-e801272f7368.jpg.296x216.jpg
20201223,宝山,通河,通河新四村 非顶楼 视野开阔 出行方便 地铁一号线房主自荐,190万,1室1厅 | 41.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QCL1XGsMw_1.jpg.296x216.jpg
20201223,宝山,通河,户型正气，诚意出售 中等楼层  看房方便房主自荐,180万,1室0厅 | 36平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5r0bMutU9.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，户型正气，采光好，业主诚心出售房主自荐,188万,1室1厅 | 45.12平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_fmWnHy99U_1.jpg.296x216.jpg
20201223,宝山,通河,非顶层，采光好，南北两房，交通便利，业主诚心卖房主自荐,245万,2室1厅 | 56.36平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lWyqFdYYl_1.jpg.296x216.jpg
20201223,宝山,通河,通河七村 2室2厅 南 北房主自荐,308万,2室2厅 | 72.99平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HAyfhzoVr_2.jpg.296x216.jpg
20201223,宝山,通河,Lianjia优选+万达广场+家乐福+1号线通河新村+满五唯一新上,422万,2室1厅 | 72.04平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_adQfblEoS.jpg.296x216.jpg
20201223,宝山,通河,近万达地铁一房 位置好 非顶楼 居家出租都可以选,170万,1室1厅 | 35.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c26f546d-f385-47bf-aa68-fe301f6ad6cb_1000.jpg.296x216.jpg
20201223,宝山,通河,一号线＋婚房装修＋万达商圈＋位置好＋价格可谈房主自荐,209万,1室1厅 | 42.84平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6915e917-91dc-4d23-b3d1-38a44630ad32_1000.jpg.296x216.jpg
20201223,宝山,通河,链家优选：一号线＋万达商圈＋稀有一楼＋价格可谈房主自荐,198万,1室1厅 | 40.73平米 | 南 | 毛坯 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8bEh9h1e7_1.jpg.296x216.jpg
20201223,宝山,通河,非顶楼，配套设施齐全，交通便利,227万,2室1厅 | 52.01平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OnbrQkavY_1.jpg.296x216.jpg
20201223,宝山,通河,笋盘推荐，通河模范小区，户型方正，可重新装修设计!房主自荐,159万,1室1厅 | 35.9平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bkGsnXt11.jpg.296x216.jpg
20201223,宝山,通河,正气两房 全明户型  小区位置佳 视野开阔,268万,2室1厅 | 55.89平米 | 东南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/142b7ade-4b0d-40e3-98ab-c5954c0b62f2_1000.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，户型方正，视野宽阔，采光充房主自荐,275万,2室1厅 | 64.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ePapVcwDL_1.jpg.296x216.jpg
20201223,宝山,通河,1号线家乐福万达商圈，边套全明房主自荐,255万,1室1厅 | 51.85平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GBndeEJxs_1.jpg.296x216.jpg
20201223,宝山,通河,楼层好，视野佳，配套设施齐全。,205万,1室1厅 | 45.24平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/88750ed9-beb5-4cc9-95b7-a3ae2372c087_1000.jpg.296x216.jpg
20201223,宝山,通河,优质户型，正气通透，拎包入住，家乐园特有02年商品房房主自荐,455万,2室2厅 | 95.71平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yxId18us7_1.jpg.296x216.jpg
20201223,宝山,通河,宝山万达 轨交正户型变两房 精装领包入住 满五1/2唯一房主自荐,343万,3室1厅 | 76.72平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-dc7ef859-381c-4c83-8885-8ce3cfec2e25.jpg.296x216.jpg
20201223,宝山,通河,精装修 近地铁 拎包入住 配套齐全 业主诚心出售房主自荐,300万,2室1厅 | 64.64平米 | 东 西 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/acbb641e-970b-486b-b03d-f8f486d3a289_1000.jpg.296x216.jpg
20201223,宝山,通河,电梯现房，满五唯一，小户型，总价低，小区中间位置,165万,1室0厅 | 31.8平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5b44bedc-a824-4e37-9ef0-a3917e41d567.jpg.296x216.jpg
20201223,宝山,通河,全明三房，南北直通，中间楼层，视野开阔,600万,3室1厅 | 110.05平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_qJw9dyGk0_1.jpg.296x216.jpg
20201223,宝山,通河,通河八村 2室2厅 南新上,269万,2室2厅 | 60.19平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aZpFFPjV3_1.jpg.296x216.jpg
20201223,宝山,通河,南北通透格局，户型正气采光充足，配套设施齐全,550万,2室2厅 | 92.27平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/03c47367-97a4-49d8-a7e9-adf21c5cb4d2.jpg.296x216.jpg
20201223,宝山,通河,双南户型，一梯两户，满五唯一，通风视野好房主自荐,272万,2室1厅 | 64.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12a659c7151dedf28165876f0889bfbc-077.jpg.296x216.jpg
20201223,宝山,通河,顶楼复式，板式户型，采光通风佳，精装，拎包入住房主自荐,810万,5室2厅 | 176.72平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160416/3407f3f5-f2ce-46ca-a34e-87f5f2ec1345.jpg.296x216.jpg
20201223,宝山,通河,昌鑫协和园 3室2厅 南新上,515万,3室2厅 | 96.61平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/dbf7c9bb-b942-402b-8ffa-31992ac4e281.jpg.296x216.jpg
20201223,宝山,通河,错层格局 大三房 前后阳台 大花园 小区中间位置新上,710万,3室2厅 | 133.03平米 | 南 | 简装 | 低楼层(共9层) | 2001年建 | 板楼,
20201223,宝山,通河,近地铁！精装一房！通透格局，业主诚售！新上,235万,1室1厅 | 47.5平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3afe1bb5-eb09-4cfb-9e14-a9fd33d1ee15.png.296x216.jpg
20201223,宝山,通河,低楼层大两房 全明户型 近地铁1号线万达家乐福房主自荐,460万,2室2厅 | 78.97平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,
20201223,宝山,通河,满五唯一，近地铁配套齐全，业主诚意出售,268万,2室1厅 | 54.3平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/969bc666-8c2f-487e-a0d4-ffe1086b7267.png.296x216.jpg
20201223,宝山,通河,银和家园，居家装修，拎包入住，近地铁房主自荐,268万,2室1厅 | 59.59平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/a7142be9-db03-48da-899f-c61776b135c8.jpg.296x216.jpg
20201223,宝山,通河,中间楼层，南北通两室。适宜居住,250万,2室1厅 | 54.82平米 | 南 | 毛坯 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9662988a-bf10-475c-93b4-8b3e0273fec8.png.296x216.jpg
20201223,宝山,通河,中间楼层 小区中区位置南北两房 诚意出售房主自荐,278万,2室1厅 | 60.85平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/200166d1-5ffc-477c-9663-d473e24f1875.png.296x216.jpg
20201223,宝山,通河,宝山万达轨交旁  出入方便 诚心出售 看中在谈价,730万,4室2厅 | 148.49平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,
20201223,宝山,通河,顶楼复式，全明户型，精致装修，环境优美，买一得二,830万,4室2厅 | 163.28平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5f17ae00-da9c-4866-9d3c-4fda8d6cbe9e.png.296x216.jpg
20201223,宝山,通河,满五唯一税费少，万达旁，近1号线，户型正气随时看！房主自荐,288万,2室1厅 | 64.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/326d9791-20e0-48df-be3c-2db61f34421c.png.296x216.jpg
20201223,宝山,通河,万达旁，低楼层，配套齐全，户型正气，诚意出售,580万,3室2厅 | 110.44平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,
