20201223,普陀,真光,此房满五年唯一，楼层低采光充足，适合老人居住 。必看好房,255万,1室1厅 | 49.8平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1faO9rPU_1.jpg.296x216.jpg
20201223,普陀,真光,精装 通风效果好 视野宽阔 采光充足 配套完善房主自荐,338万,3室2厅 | 72平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a4d1b583-b6e6-4af8-9726-9e098efa1df7_1000.jpg.296x216.jpg
20201223,普陀,真光,楼层好，采光好，位置好，看房提前约房主自荐,239万,1室1厅 | 49.77平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8c974bb6-fc16-4d5f-b133-7d65835bb76c.jpg.296x216.jpg
20201223,普陀,真光,温馨小两居，双南户型，中层，交通便利，视野开阔！,290万,2室1厅 | 62.74平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-44d388ec-3ef9-4acc-a746-5085d2a0aa01.png.296x216.jpg
20201223,普陀,真光,低总价全明户型1T2户一房 诚心出售  交通便利近14号线房主自荐,214万,1室1厅 | 49.88平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6fdc4e8b-bacd-47d7-bcb4-b7d412118fe0.jpg.296x216.jpg
20201223,普陀,真光,真光低楼层一房 近14号线  采光好  随时可看,250万,1室1厅 | 50.7平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NajqEcR91_1.jpg.296x216.jpg
20201223,普陀,真光,中等装修-朝南一房-户型好-空间大-14号线,240万,1室1厅 | 47.54平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f05249e-0619-4e02-a9ec-903695a67ada_1000.jpg.296x216.jpg
20201223,普陀,真光,满五年 诚心出售 中高区采光好视野好房型独特房主自荐,310万,1室2厅 | 72.28平米 | 南 | 简装 | 中楼层(共19层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-16dd2ab2-3c6f-4614-9c9d-0c932acb5127.jpg.296x216.jpg
20201223,普陀,真光,满五唯一（免个税），南北三房，一梯两户，户型好,360万,3室1厅 | 74.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ee6fab62-d5ab-47bd-90a6-602d8d438d42.jpg.296x216.jpg
20201223,普陀,真光,采光好，一梯两户，互不打扰，得房率高房主自荐,350万,2室1厅 | 73.11平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5de1ad59-5d26-4a6c-9608-9219a95deaa9.jpg.296x216.jpg
20201223,普陀,真光,品质小区，花园小洋房，户型正气，全明户型 空气新鲜,734万,3室2厅 | 139.11平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_D27E70X1g_1.jpg.296x216.jpg
20201223,普陀,真光,真光四街坊 南北两房 采光充足 诚意出售,338万,2室1厅 | 70.75平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TtEXa3LiE_1.jpg.296x216.jpg
20201223,普陀,真光,户型正气+布局紧凑+采光无遮挡+诚意出售房主自荐,490万,2室2厅 | 101.66平米 | 南 | 简装 | 低楼层(共26层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12dac06a-c16e-4283-a7d3-77d1c85d3cef_1000.jpg.296x216.jpg
20201223,普陀,真光,满五唯一税费少小区位置优越出门就是14号线真光路站,345万,2室1厅 | 68.53平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mx89pIP9n_1.jpg.296x216.jpg
20201223,普陀,真光,店长推荐：此房一梯两户 满五唯一 急售！手慢无房主自荐,370万,2室1厅 | 65.51平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f433c2e-1bb1-4986-a534-7ad14af3a959_1000.jpg.296x216.jpg
20201223,普陀,真光,精装修20万，小区中间，前后无遮挡，自住可拎包入住,284万,2室1厅 | 56.67平米 | 西北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f45ddcf-e3ed-466c-85b3-6876967a9303_1000.jpg.296x216.jpg
20201223,普陀,真光,小区自带两个花园+全明户型+不靠马路+一梯两户,308万,2室1厅 | 73.08平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NYyJ1Xx9x_1.jpg.296x216.jpg
20201223,普陀,真光,2房一厅 精装修 拎包入住 一梯两户 房型正气 非顶楼,310万,2室1厅 | 59.17平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RJHBnvbij_1.jpg.296x216.jpg
20201223,普陀,真光,小区位置优越，出门就是14号线真光路站,378万,2室1厅 | 72.82平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hYseZbrq6_1.jpg.296x216.jpg
20201223,普陀,真光,满五年 产权清晰  小区位置好  采光不档 房东诚意出售房主自荐,388万,1室2厅 | 74.87平米 | 西 南 | 精装 | 低楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JPmxgAGfV_1.jpg.296x216.jpg
20201223,普陀,真光,此房满五年唯一，普陀区一梯两户，带院子，采光充足,340万,3室2厅 | 65.29平米 | 南 北 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H0Mdqafn4_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户 中层  双南户型 全明格局  装修扎实 诚意售,395万,2室1厅 | 70.51平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sZdkpiqnN_1.jpg.296x216.jpg
20201223,普陀,真光,便宜的 南北通两房 南北双阳台 满五唯一 税费低房主自荐,460万,2室2厅 | 97.39平米 | 南 北 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6oXcYMZvJ_1.jpg.296x216.jpg
20201223,普陀,真光,双南两房+中间楼层+近地铁口+安静,480万,2室2厅 | 83.16平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cm5fOs6gF_1.jpg.296x216.jpg
20201223,普陀,真光,地铁14号线 南北朝向 前后双阳台 视野好采光无遮挡,520万,2室2厅 | 96.56平米 | 南 | 简装 | 中楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pdIRUAaj0_1.jpg.296x216.jpg
20201223,普陀,真光,14号线地铁 配套比较成熟 北门有105,165,743路公交,174万,1室1厅 | 37.39平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eONDYACCs_1.jpg.296x216.jpg
20201223,普陀,真光,品质小区，安家优选 适宜各个年龄段人居住，舒适度高,202万,1室1厅 | 40.85平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3QokMeZKC_1.jpg.296x216.jpg
20201223,普陀,真光,真光九 总价低 钥匙房+诚意出售+价格可谈+看房方便,169万,1室0厅 | 37平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sVdxan3A2_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户+全明户型+客厅带窗+通风采光俱佳房主自荐,325万,2室1厅 | 65.6平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jBjPjIixC_1.jpg.296x216.jpg
20201223,普陀,真光,全明高层电梯房 视野开阔 普陀区错过将会惋惜之地房主自荐,318万,1室1厅 | 61.4平米 | 西南 | 精装 | 中楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YOM3Vv6PG_1.jpg.296x216.jpg
20201223,普陀,真光,总价低，楼层好，视野宽阔，采光充足，配套设施齐全房主自荐,230万,1室1厅 | 48.65平米 | 南 西 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ef4cd5c8-9b6a-4908-a5d6-a61a97071b76_1000.jpg.296x216.jpg
20201223,普陀,真光,看房方便 诚意出售 采光好 税费少房主自荐,210万,1室1厅 | 45.19平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L2bxYY29T_1.jpg.296x216.jpg
20201223,普陀,真光,真光一房+单价低+非顶楼+采光棒房主自荐,241万,1室1厅 | 51.05平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sJYZ7x7zB_1.jpg.296x216.jpg
20201223,普陀,真光,真光低总价1房  满五唯一  一梯两户 近14号线 随时看,231万,1室1厅 | 42.68平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vprnuiLjS_1.jpg.296x216.jpg
20201223,普陀,真光,真光一房+房价低+中间楼层+欢迎看房房主自荐,240万,1室1厅 | 46.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fjKLuKwTo_1.jpg.296x216.jpg
20201223,普陀,真光,全明1房1厅+采光好位置佳+满五无费+看房方便，诚出售房主自荐,218万,1室1厅 | 48.12平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CJcq7aytu_1.jpg.296x216.jpg
20201223,普陀,真光,近地铁近商圈 中间楼层  业主诚心出售 价格可谈,240万,1室1厅 | 43.33平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZtMOjE2aI_1.jpg.296x216.jpg
20201223,普陀,真光,小区环境优美 一梯两户 精装南北两房 全明 满五唯一房主自荐,310万,2室1厅 | 67.83平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KSfKTfkji.jpg.296x216.jpg
20201223,普陀,真光,香樟苑 一梯俩户  精装 1房1厅 1卫  小区中间位置房主自荐,212万,1室1厅 | 47.35平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/98ee84f0-33bf-4897-8520-b1d840f5ea19_1000.jpg.296x216.jpg
20201223,普陀,真光,长征家苑，紧靠中环，动迁房 无增值税 2015年新小区。,380万,1室1厅 | 52.7平米 | 南 | 简装 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MJQajxJtW_1.jpg.296x216.jpg
20201223,普陀,真光,税费省+边套全明+诚意置换+一梯两户+楼层好,268万,1室1厅 | 49.16平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vB1wbxv6g_1.jpg.296x216.jpg
20201223,普陀,真光,真光八街坊 1室1厅 南,250万,1室1厅 | 49.68平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EAcwl7jm5_1.jpg.296x216.jpg
20201223,普陀,真光,真光新村第二小区 1室0厅 南,199万,1室0厅 | 37.73平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BkkW92I4w_1.jpg.296x216.jpg
20201223,普陀,真光,清涧三街坊 1室2厅 南房主自荐,315万,1室2厅 | 72.37平米 | 南 | 简装 | 中楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_cG9Re2RVF_1.jpg.296x216.jpg
20201223,普陀,真光,满五年，诚心出售，视野宽阔.。房主自荐,585万,2室2厅 | 98平米 | 南 | 简装 | 高楼层(共8层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-85d1a261-bca7-4c7f-8169-0f383ba4c008.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，南北通三房两卫，诚心出售房主自荐,686万,3室2厅 | 132.19平米 | 南 北 | 精装 | 中楼层(共22层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J5n6aVZgJ_1.jpg.296x216.jpg
20201223,普陀,真光,低总价一房   中间楼层   精装修  随时可看房主自荐,228万,1室1厅 | 46.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_49VR3XrYN_1.jpg.296x216.jpg
20201223,普陀,真光,精装自住南北通一房，楼层好，全明户型。,319万,1室1厅 | 58.46平米 | 南 北 | 简装 | 高楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hcgmbQ90p.jpg.296x216.jpg
20201223,普陀,真光,低总价  满五唯一  近中环  业主置换  商圈繁华房主自荐,205万,1室1厅 | 47.03平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5dZmi3L7M_1.jpg.296x216.jpg
20201223,普陀,真光,一梯四户+96年的商品房+满五唯一+14号线真光路,255万,1室1厅 | 54.93平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gGDBcy9ze_1.jpg.296x216.jpg
20201223,普陀,真光,此房满五年，普陀区一梯两户，全明户型，采光充足,335万,2室1厅 | 64.71平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8fTc7igDf_1.jpg.296x216.jpg
20201223,普陀,真光,精装修 拎包入住 业主诚意出售 满五不唯一房主自荐,350万,2室1厅 | 68.53平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RYEEb3iRv_1.jpg.296x216.jpg
20201223,普陀,真光,南北通透+满五唯一+电梯中层+产权清晰+诚意出售房主自荐,530万,2室2厅 | 100.69平米 | 南 北 | 精装 | 低楼层(共26层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4bcdaac9-6e74-4fff-9aaa-39829e1e37b6_1000.jpg.296x216.jpg
20201223,普陀,真光,此房户型方正，近中环 花园小区品质高！,479万,2室2厅 | 86.45平米 | 南 | 简装 | 低楼层(共10层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sozmJjEaA_1.jpg.296x216.jpg
20201223,普陀,真光,近地铁，南北通户型，满五年，精装修，诚意出售，好看,517万,2室2厅 | 104.89平米 | 南 北 | 精装 | 低楼层(共20层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9b6b7b40-4fcc-405d-b98e-ff1a4bb0f041_1000.jpg.296x216.jpg
20201223,普陀,真光,真光第四小区 1室1厅 南 北,265万,1室1厅 | 52平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bdCVDeoOy_1.jpg.296x216.jpg
20201223,普陀,真光,清涧二街坊  业主诚心出售  主卧带大阳台  看房方便,200万,1室1厅 | 45.01平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7ee4fc9c-f324-4daf-aabf-bf878cf6c9e6_1000.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，低楼层，全明户型，精装修，业主诚心出售,248万,1室1厅 | 51.88平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ttY8GOptH.jpg.296x216.jpg
20201223,普陀,真光,近中环，美丽家园小区，商圈繁华，看房方便房主自荐,180万,1室0厅 | 37.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZA04MuduG_1.jpg.296x216.jpg
20201223,普陀,真光,清涧四街坊 一梯两个户  正气3房2厅2卫  采光好,498万,3室2厅 | 125.52平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-235d8043-2c92-4e6d-b3b9-16e1a55d5f2e.jpg.296x216.jpg
20201223,普陀,真光,精装修，随时可看，交通便利，拎包即可入住！房主自荐,255万,1室1厅 | 50.7平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iaXrfGUMi_1.jpg.296x216.jpg
20201223,普陀,真光,真光低价一房+ 业主诚意 +欢迎看房,155万,1室0厅 | 29.97平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4CuJLNtlq_1.jpg.296x216.jpg
20201223,普陀,真光,急售真光二街坊 中等楼层一梯两户大两房满五唯一,333万,2室1厅 | 75.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0d8e5bb3-dd4b-44ca-96b9-6af3cfad0172.jpg.296x216.jpg
20201223,普陀,真光,房子小区位置好，采光充沛，一梯两户全明，房型好。房主自荐,243万,2室1厅 | 49.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-06aea687-e75b-490f-9f12-3014176f501e.jpg.296x216.jpg
20201223,普陀,真光,满五年唯一+诚心出售+低价大三房,520万,3室2厅 | 124.5平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9eab310c-ef50-49c9-b1a4-e98b8ad2fb89_1000.jpg.296x216.jpg
20201223,普陀,真光,低单价+低总价+浪费面积少+诚意出售+满五唯一,263万,2室1厅 | 61.85平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KYGAKzbhu_1.jpg.296x216.jpg
20201223,普陀,真光,小区中间，总价低，税费少，近中环，商圈繁华房主自荐,220万,1室1厅 | 45.19平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_8xN7jCSWr_1.jpg.296x216.jpg
20201223,普陀,真光,高层采光无遮挡通风好 满五唯一房主自荐,486万,2室2厅 | 91.99平米 | 南 | 简装 | 高楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q0cW6ql6J.jpg.296x216.jpg
20201223,普陀,真光,品质大三房，大飞机户型，全明南北通，满五,545万,3室2厅 | 124.74平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/10cb8ec0-b085-429a-83e0-2e0a5cadbbd2_1000.jpg.296x216.jpg
20201223,普陀,真光,楼层好，视野宽阔，采光充足，交通便利！房主自荐,315万,1室1厅 | 61.16平米 | 西南 | 毛坯 | 高楼层(共20层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3de4899e-3f32-44ee-9d2f-e0a75c951095.jpg.296x216.jpg
20201223,普陀,真光,近中环，商品房，小区优美，大飞机户型房主自荐,520万,3室2厅 | 124.93平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/700b6436-03e2-490f-a2f2-807a8b479ca6_1000.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，低单价，一梯四户，业主置换，诚心出售,245万,1室1厅 | 51.05平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P99b6KO1M_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，14号线，精装自住，通透宜居，随时可看可签房主自荐,498万,2室2厅 | 95.6平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_P8iEfJOLz_1.jpg.296x216.jpg
20201223,普陀,真光,小区中间！满五唯一！普！通！住！宅！房主自荐,338万,1室2厅 | 78.14平米 | 南 | 简装 | 低楼层(共20层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oW1JqBQKh_1.jpg.296x216.jpg
20201223,普陀,真光,精装修低正气两房 全明通透户型 采光无遮挡品质小区,325万,2室1厅 | 67.83平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vGT5suniK_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，楼层好，采光足，交通方便房主自荐,235万,1室1厅 | 44.27平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7eKvIOsAO_1.jpg.296x216.jpg
20201223,普陀,真光,品质小区 宜居楼层 老少皆宜，居家优选,264万,1室1厅 | 47.18平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AZB9Hqr1u_1.jpg.296x216.jpg
20201223,普陀,真光,此房位置佳，楼层好，宽敞大客厅，采光通风效果极好房主自荐,610万,2室2厅 | 104.58平米 | 南 | 简装 | 高楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/42fdfbdf23ede9cb86a70ea2f89e301f-090.jpg.296x216.jpg
20201223,普陀,真光,真光九街坊 3室1厅 南,400万,3室1厅 | 71.32平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170808/6573e50d-b8db-477a-8225-e97ac80f4a5e.jpg.296x216.jpg
20201223,普陀,真光,南北户型 配套齐全 交通便利 可拎包入住,622万,3室2厅 | 97.46平米 | 南 | 精装 | 低楼层(共22层) | 2003年建 | 板塔结合,http://image1.ljcdn.com/shfdfs-image/20171211/220c324d-e84c-4bf1-8729-690811c10255.jpg.296x216.jpg
20201223,普陀,真光,带前后双院子 +精装修+满五唯一+实用面积大房主自荐,1370万,4室2厅 | 180.27平米 | 南 北 | 精装 | 3层 | 2009年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/310000-inspection/164ff0a9-c1bb-4c09-afa5-bfef73c78a98.jpg.296x216.jpg
20201223,普陀,真光,边套联排别墅，花园大，前面无遮挡，采光充足,1600万,4室3厅 | 240.97平米 | 南 北 | 毛坯 | 3层 | 2008年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/9b66dc7776d220a52648915ea5339b73-065.jpg.296x216.jpg
20201223,普陀,真光,精装修 房型正气 诚意出售 价格可谈 看房方便房主自荐,1560万,6室4厅 | 227.81平米 | 南 北 | 精装 | 3层 | 2008年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/26d3ae321e3cc8c97b65b079b60fda2a-058.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，精装修大两房，中间楼层，视野宽阔房主自荐,495万,2室2厅 | 96.63平米 | 西南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/864c79a47b7bde819268f60b1429033d-065.jpg.296x216.jpg
20201223,普陀,真光,长征家苑，紧靠中环，动迁房 无增值税 2015年新小区。新上,390万,1室1厅 | 63.11平米 | 南 | 简装 | 中楼层(共20层) | 2015年建 | 板楼,
20201223,普陀,真光,阳光威尼斯(三期) 2室2厅 东南,460万,2室2厅 | 90.49平米 | 东南 | 简装 | 高楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/92ed93ab-f939-4e32-bfdc-5af8a115e9e8.png.296x216.jpg
20201223,普陀,真光,户型正气，自如装修，采光好，客厅宽敞。房主自荐,449.5万,2室2厅 | 102.26平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/0172682a-925a-46bc-8722-a91a80b4e215.png.296x216.jpg
20201223,普陀,真光,两房的价格买三房 精装修 前面没遮挡 业主急售,576万,3室2厅 | 131.49平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/f0a84448-8c52-4fd4-865b-9ca5158abe41.jpg.296x216.jpg
20201223,普陀,真光,双南两房+满五年+采光通风好+诚意出售,320万,2室1厅 | 64.78平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f375bc82-e242-458e-a562-e838b1e90ba2.jpeg.296x216.jpg
20201223,普陀,真光,富颐星成公馆 1室1厅,197万,1室1厅 | 55.31平米 | 暂无数据 | 精装 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 1室2厅 西,225万,1室2厅 | 60平米 | 西 | 其他 | 11层  | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1fc8134c-40c8-441d-8afa-3b49972e7908.png.296x216.jpg
20201223,普陀,真光,此房为动迁房 无增值税 2015年小区 地铁口300米,560万,2室1厅 | 83.87平米 | 南 | 简装 | 中楼层(共25层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/8b7a63a3-0f55-4203-9fac-b8c8701d6b8d.jpg.296x216.jpg
20201223,普陀,真光,中间楼层   南北两房  满五唯一,278万,2室1厅 | 49.05平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/be91cedf-ce29-46db-8d4d-4c34ed46b13d.png.296x216.jpg
20201223,普陀,真光,一梯两户+置顶层+采光充足+视野宽阔+预约看房+厅有窗,295万,2室1厅 | 60.32平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/db4921f6-de9c-4f60-836e-cb7c97f926b7.png.296x216.jpg
20201223,普陀,真光,正南户型，简单装修，诚意出售，看房联系！,405万,3室1厅 | 83.16平米 | 南 | 简装 | 低楼层(共22层) | 2005年建 | 板楼,
20201223,普陀,真光,楼层好，采光好，位置佳。通风效果好,260万,1室1厅 | 52.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/53d05639-18bf-42e1-9eb4-7e802d90a3bc.png.296x216.jpg
20201223,普陀,真光,近地铁14号线，满五年唯一，全明方正户型，看房随时新上,410万,2室1厅 | 76.41平米 | 南 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a2d5db62-5144-4ea7-97fc-803e14d9d2b3_1000.jpg.296x216.jpg
20201223,普陀,真光,税费少，精装修，交通便利，随时可以看房！,216万,1室1厅 | 48.11平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v9V1lEXFI_1.jpg.296x216.jpg
20201223,普陀,真光,好楼层 南北通透 前面无遮挡 满五唯一税费少 无抵押,310万,2室1厅 | 61.39平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/46cde4c2-6b6a-4fe2-8695-b1736be44d3f_1000.jpg.296x216.jpg
20201223,普陀,真光,富颐星成公馆 1室1厅 东,188万,1室1厅 | 55.31平米 | 东 | 其他 | 11层  | 板楼,
