20201223,静安,闸北公园,主推优选+闸北公园+配套齐全，交通便利+业主诚意出售必看好房,185万,1室0厅 | 29.22平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QkKI0qFSV_1.jpg.296x216.jpg
20201223,静安,闸北公园,申地苑 8号线地铁 一梯两户 次顶楼 南北通户型,900万,3室1厅 | 116平米 | 南 | 简装 | 高楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-7a57d913-7c2a-45c4-8d7d-2a8526675f85.png.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室1厅 南,355万,1室1厅 | 75.29平米 | 南 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,和源大楼 1室0厅 东,142万,1室0厅 | 32.05平米 | 东 | 精装 | 低楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,顶楼复式 带楼梯 8号线200米 精装修4房 南北通房主自荐,870万,4室2厅 | 172.15平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0dcb2887-18d8-42e3-8b2f-2697f26176d2.jpg.296x216.jpg
20201223,静安,闸北公园,近1号线地铁、双南户型、售后公房税费少，采光充足,380万,2室0厅 | 48.18平米 | 南 | 简装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rOqpoDPyK_1.jpg.296x216.jpg
20201223,静安,闸北公园,仁和恬园 3室2厅 南,960万,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共32层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vHltDH2gt_1.jpg.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室1厅 南,206万,1室1厅 | 53.16平米 | 南 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/12ddd0af-bbfa-4c50-a9d7-07a9c2403666.png.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室0厅 东新上,115万,1室0厅 | 23.55平米 | 东 | 其他 | 高楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,此房为一房一厅的标准，全明户型，一房一厅。,239万,1室2厅 | 38平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160306/277fd22a-30e9-4524-8bde-bae3ba703753.jpg.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室0厅 西,125万,1室0厅 | 28.85平米 | 西 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,和福花苑 双轨交纵 配套齐全 近大润发,849万,3室2厅 | 140.73平米 | 南 | 简装 | 中楼层(共18层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/5ac6588fbd08437a3c7883e6f44ba0f6-002.jpg.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室1厅 东南,230万,1室1厅 | 53.17平米 | 东南 | 精装 | 高楼层(共9层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-b85f1bab-1615-482b-bea1-733776648851.png.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室1厅 东 西,230万,1室1厅 | 30.5平米 | 东 西 | 精装 | 高楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,和源大楼 2房间1卫 160万,160万,1室1厅 | 35.24平米 | 西南 | 精装 | 高楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,和源大楼 1室1厅 东南,215万,1室1厅 | 53.16平米 | 东南 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-915ba792-e94a-4bbb-b367-77295ce91e0e.png.296x216.jpg
20201223,静安,闸北公园,近地铁8号线，近闸北公园，近大润发超市 民和路菜市场,250万,1室0厅 | 30.95平米 | 南 | 简装 | 低楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4928849c-5dcf-4fe3-8f07-87d3d59ac202.png.296x216.jpg
20201223,静安,闸北公园,和源大楼 2房间1卫 300万,300万,1室1厅 | 32.05平米 | 北 | 其他 | 高楼层(共9层) | 2010年建 | 板楼,
20201223,静安,闸北公园,和源大楼 1室0厅 西,139万,1室0厅 | 30.5平米 | 西 | 精装 | 中楼层(共9层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-dea1dccd-c952-40e9-bd63-566f3458e5aa.png.296x216.jpg
20201223,静安,闸北公园,和源大楼 1室1厅 东南,132万,1室1厅 | 32.05平米 | 东南 | 其他 | 中楼层(共9层) | 2010年建 | 板楼,
