20201223,静安,永和,精装修，南北通透，楼层佳，视野开阔，采光充足必看好房,470万,2室2厅 | 76.61平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3gpGi8Mqc_1.jpg.296x216.jpg
20201223,静安,永和,顶楼复式，五房，户型正气，单价低,850万,5室3厅 | 180.98平米 | 南 | 简装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8668374a-49e8-4366-b10f-72f2de33a1e6.jpg.296x216.jpg
20201223,静安,永和,2004年房龄新 精装南北通 配套设施齐全 看中价格可谈,391万,2室1厅 | 70.94平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m1y2cN233_1.jpg.296x216.jpg
20201223,静安,永和,永和三村低楼层南北通两房，业主诚意出售。,350万,2室1厅 | 59.39平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2vsohvNTG_1.jpg.296x216.jpg
20201223,静安,永和,房源双南两房 前无遮挡，采光好，近地铁交通方便。,255万,2室1厅 | 50.01平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2AMXYU2eZ_1.jpg.296x216.jpg
20201223,静安,永和,满五唯一，全明，户型正气，可以看看房主自荐,302万,2室1厅 | 60.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-dd799624-a0e1-42f6-83b8-350323960138.jpg.296x216.jpg
20201223,静安,永和,静安区 高区电梯房 前面没遮挡 税费少诚意出售房主自荐,530万,2室2厅 | 93.31平米 | 南 北 | 精装 | 高楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_8TUJ24Ep0_1.jpg.296x216.jpg
20201223,静安,永和,两室一厅  双南 税少 一梯两户 采光日照充足房主自荐,395万,2室1厅 | 64.47平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_fOBcknHzP_1.jpg.296x216.jpg
20201223,静安,永和,精装南北两房一厅/满五唯一/无遮挡不靠马路/随时看！,280万,2室1厅 | 54.57平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-65d7fe95-2981-4ebf-8707-56fb651f5fb1.jpg.296x216.jpg
20201223,静安,永和,近地铁 满五唯一 精装修 拎包入住 看房方便房主自荐,439万,2室1厅 | 71.3平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pDclwLWtG_1.jpg.296x216.jpg
20201223,静安,永和,满五唯一，采光通风好，交通便利，小区环境好房主自荐,300万,2室1厅 | 58.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/68d8513b-627d-44c4-96cb-9a585bab1e88.JPG.296x216.jpg
20201223,静安,永和,静安区近地铁 错层 三房 小区安静 商品房房主自荐,595万,3室2厅 | 111.57平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171002/378d652c-8081-4585-a21d-704d17215f6f.jpg.296x216.jpg
20201223,静安,永和,绿雅苑 3室3厅 南,600万,3室3厅 | 128.75平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160724/64c48b10-25b9-41c3-ae7b-a8cb6f1cbbd9.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 3室2厅 南,650万,3室2厅 | 109.95平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160805/63ba972c-f085-44d6-bc51-7b601f01eb1e.jpg.296x216.jpg
20201223,静安,永和,彭浦新村98年电梯房，精装修，环境优美，看房约维护人房主自荐,380万,2室1厅 | 72.15平米 | 南 | 精装 | 低楼层(共14层) | 1998年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/6DC3B8CC2276475B9ACDA7E10F91CF9E___1cc43932281f04d757445f751b5903cd.jpg.296x216.jpg
20201223,静安,永和,小区位置好，楼层好，采光足，户型优质，到价签字！,163万,1室1厅 | 31.43平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0cf932139956dc76b5c259a18bd3f6ae-084.jpg.296x216.jpg
20201223,静安,永和,小户型 低总价 看房提前预约 采光好 户型通透新上,168万,1室0厅 | 31.43平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/63646202-1e8f-4e15-a218-a59f631e23e8.png.296x216.jpg
20201223,静安,永和,永和一村 1室2厅 南,368万,1室2厅 | 62.01平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,
20201223,静安,永和,小区花园位置，新出南北通四房，带朝南露，诚意出售,480万,4室1厅 | 113.91平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,
20201223,静安,永和,满五唯一，近地铁，电梯房，大面积三房，配套成熟房主自荐,610万,3室1厅 | 119.37平米 | 南 | 简装 | 中楼层(共15层) | 1995年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/24a87104-85bb-42db-aa29-f249262ad8e0.png.296x216.jpg
20201223,静安,永和,静安中环-近地铁-中层-户型全明方正-宽敞大一房房主自荐,259万,1室1厅 | 47.1平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9ae92818-48fc-454d-ba73-f5b7bf47e5e3.png.296x216.jpg
20201223,静安,永和,永和三村 0室0厅 南新上,330万,0室0厅 | 60.94平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_boQZIfGnB_1.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 2室2厅 南,482万,2室2厅 | 92.28平米 | 南 | 精装 | 低楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e5HilSzzJ_1.jpg.296x216.jpg
20201223,静安,永和,静安区  售后公房  三年精装修  满五唯一  地铁边,364万,2室1厅 | 65.62平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FgSjYexkb_1.jpg.296x216.jpg
20201223,静安,永和,静安中环 中间楼层 错层房型 得房率高 居住舒适度高,560万,2室2厅 | 100平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gDrHsnP1D_1.jpg.296x216.jpg
20201223,静安,永和,场中路3308弄 1室1厅 南,190万,1室1厅 | 42.32平米 | 南 | 其他 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YYBdwXVvR_1.jpg.296x216.jpg
20201223,静安,永和,翔前小区 2室1厅 南,285万,2室1厅 | 59.11平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload9b5dc7e9-8096-487a-b6de-9aa3d065d811.jpg.296x216.jpg
20201223,静安,永和,翔前小区 1室1厅,170万,1室1厅 | 40.55平米 | 暂无数据 | 其他 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0c0b8f09-a208-4f42-a1b5-4271500f3f70.png.296x216.jpg
20201223,静安,永和,低楼层-双南户型好-诚意出售-欢迎看房,330万,2室1厅 | 67.53平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20161108/86f8f660-a4d2-440b-91a4-783829a4ad92.jpg.296x216.jpg
