20201223,静安,彭浦,格局好 楼层好 视野宽阔 采光充足 一手动迁必看好房,465万,2室1厅 | 81.32平米 | 南 | 毛坯 | 高楼层(共34层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GJZzEZTn7_1.jpg.296x216.jpg
20201223,静安,彭浦,品质小区+精装南北全明户型+诚意出售+满五不唯一房主自荐,505万,2室1厅 | 87.9平米 | 东南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8PhVxjkHJ_1.jpg.296x216.jpg
20201223,静安,彭浦,正规一室一厅，精装修拎包入住，位置出行方便，诚售房主自荐,230万,1室1厅 | 53.08平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xf0B3o1Yc_1.jpg.296x216.jpg
20201223,静安,彭浦,靠一号线和中环，中间楼层， 95年房龄，一梯三户房主自荐,220万,1室1厅 | 41.26平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZQND9TcxC_1.jpg.296x216.jpg
20201223,静安,彭浦,和源名城 一手动迁没有增值税 婚房精装修  南北全明,458万,2室1厅 | 76.85平米 | 南 北 | 精装 | 低楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4WJ6ZJ59Z_1.jpg.296x216.jpg
20201223,静安,彭浦,满五年唯一+1994年+小区中间+产权清晰,195万,1室1厅 | 40.16平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t6pJOK0B9_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修+近地铁+诚意出售，拎包入住，风景好，房主自荐,615万,2室2厅 | 109.2平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f48f5268-2233-4689-89fa-088a7a36ea2a_1000.jpg.296x216.jpg
20201223,静安,彭浦,满五年唯一，电梯房，视野好，采光好房主自荐,619万,2室2厅 | 103.3平米 | 南 | 简装 | 低楼层(共16层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SDzfYmDhE_1.jpg.296x216.jpg
20201223,静安,彭浦,精装双南全明户型+满五唯一+视野宽阔+采光充足,650万,2室2厅 | 94.12平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I1uofdJsx_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安正规两室一厅，全明户型，精装修，一梯两户房主自荐,305万,2室1厅 | 64.96平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cbKdZT8Gv_1.jpg.296x216.jpg
20201223,静安,彭浦,彭浦新村低楼层精装修两房，近地铁，配套齐全。房主自荐,281万,2室0厅 | 51.16平米 | 南 | 精装 | 中楼层(共5层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R5LxvbsVu_1.jpg.296x216.jpg
20201223,静安,彭浦,全屋精装定制 正气双南两房 满五唯一 税费少房主自荐,390万,2室1厅 | 74.63平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zZUVoxd4_1.jpg.296x216.jpg
20201223,静安,彭浦,店长推荐+满五唯一，飞机户型，看房方便,775万,3室2厅 | 129.2平米 | 南 | 简装 | 低楼层(共15层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dX34SaRDx_1.jpg.296x216.jpg
20201223,静安,彭浦,1公里3公寓+看小区花园，品牌精装+全明税少，拎包入住房主自荐,350万,2室1厅 | 72.08平米 | 东南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_siB1QKO5f_1.jpg.296x216.jpg
20201223,静安,彭浦,南北两房，楼层好，精装修，一梯两户房主自荐,427万,2室1厅 | 79.23平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oOO4Jhjob_2.jpg.296x216.jpg
20201223,静安,彭浦,品质小区，高楼层，非顶楼。采光好，看房方便诚心出售,185万,1室1厅 | 44.06平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CDJ7xtjN6_1.jpg.296x216.jpg
20201223,静安,彭浦,双南两房+采光好+满五唯一+税费少房主自荐,295万,2室1厅 | 57.46平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EqZn4vayq_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修拎包入住 小区近地铁 好出租 总价低房主自荐,209万,1室1厅 | 42.39平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DWrggORWP_1.jpg.296x216.jpg
20201223,静安,彭浦,一号线 彭浦新村站 新静安 户型南北通 装修好房主自荐,280万,2室1厅 | 58.03平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fan015VMG.jpg.296x216.jpg
20201223,静安,彭浦,新静安区+二楼+满五唯一+无浪费面积+业主诚意出售,195万,1室1厅 | 38.23平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ywwicrTEr_1.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，满五唯一，精装修，诚心售，看房联系维护人房主自荐,181万,1室1厅 | 34.9平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hq0MHCCnV_1.jpg.296x216.jpg
20201223,静安,彭浦,彭浦四季公园边套全明精装修，带飘窗采光好房主自荐,338万,2室1厅 | 64.93平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KVxDtD12R_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区，户型方正，19号线旁，一手动迁无大额税费，房主自荐,469万,2室2厅 | 80.33平米 | 南 | 简装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8saQD7Wge_1.jpg.296x216.jpg
20201223,静安,彭浦,兴泉小区+两房一厅+边套全明+业主诚意+看房方便+急急,295万,2室1厅 | 64.91平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AONUA3yc6_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安中间楼层+精装三年+南北两房+诚意出售,285万,2室1厅 | 54.37平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dC6HAAG6f_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户户型好，南北两房，精装修，采光好，视野宽阔,430万,2室1厅 | 76.53平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_omqmGpG1i_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁1号线彭浦新村站，配套齐全，南北通风，看房约,205万,1室1厅 | 42.39平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F2ZMdJZ5o_1.jpg.296x216.jpg
20201223,静安,彭浦,精装一楼小三房+满五年唯一+得房率高+业主诚心卖房,305万,3室1厅 | 52.22平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gT1xTgP68_1.jpg.296x216.jpg
20201223,静安,彭浦,位置安静 全明两房一厅 全明带窗 诚意出售 看房方便,265万,2室1厅 | 55.17平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9l2dGU3y6_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一，南北全明户型，带露台，楼层好，采光通风好房主自荐,380万,2室1厅 | 64.14平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OzCGR0rGc_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安 近地铁一号线 中间楼层 通透户型 满五唯一房主自荐,288万,2室1厅 | 55.66平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O8bspgsCc_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁中间楼层一梯两户3房诚意出售新上,490万,3室1厅 | 95.41平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_odFfrVIAu_1.jpg.296x216.jpg
20201223,静安,彭浦,紧靠一号线 中间楼层 厨卫全明 产证满五年 好房不等人新上,218万,1室1厅 | 39.99平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cva3KSUQb_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁，精装修，采光好，业主很诚意！！新上,205万,1室1厅 | 37.18平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_18sCYZVW3.jpg.296x216.jpg
20201223,静安,彭浦,总价低两房，业主诚意出售，满五年，全明户型新上,218万,2室1厅 | 47.1平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dskjdx5iv_1.jpg.296x216.jpg
20201223,静安,彭浦,好停车，好出租近地铁，1公里3公园，居住舒适房主自荐,238万,1室1厅 | 48.75平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gdFuvrhQg_1.jpg.296x216.jpg
20201223,静安,彭浦,采光佳 精装临地铁 拎包入住税费少房主自荐,296万,2室1厅 | 63.14平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-81046bf3-d3be-47a7-9843-10e7983ff4c0.jpg.296x216.jpg
20201223,静安,彭浦,新静安临汾路高层中区电梯房，双南户型，业主诚售,360万,2室0厅 | 61.36平米 | 西南 | 简装 | 中楼层(共13层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_HRAsDiVMB.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一税费少，近地铁，配套齐全，业主诚意出售房主自荐,485万,2室2厅 | 87.86平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9cjK0sDf0_1.jpg.296x216.jpg
20201223,静安,彭浦,商圈内少有正规一房一厅诚意出售房主自荐,195万,1室1厅 | 43.85平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7ymlMHHd7_1.jpg.296x216.jpg
20201223,静安,彭浦,恒安小区南北两房，边套全明，满五唯一税费少,350万,2室1厅 | 70.3平米 | 南 北 | 简装 | 低楼层(共14层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FS2i1Pubq.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，前后楼间距大，采光无遮挡房主自荐,255万,1室1厅 | 48.53平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DsbbF24wJ_1.jpg.296x216.jpg
20201223,静安,彭浦,临地铁 满五唯一  采光好 交通便利房主自荐,170万,1室0厅 | 30.27平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2MnwGV3HZ.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，近地铁，看房有钥匙，小区中间位置。,230万,1室1厅 | 43.29平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tJq1uw5NQ_1.jpg.296x216.jpg
20201223,静安,彭浦,产权清晰，精装修边套全明一房。房主自荐,195万,1室1厅 | 36.52平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cqzS2BMiR_1.jpg.296x216.jpg
20201223,静安,彭浦,看房方便，户型方正，满五唯一，产权1个，没有户口,217万,1室1厅 | 42.86平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6d6a9105-e243-4ee6-827c-2773656069bf.jpg.296x216.jpg
20201223,静安,彭浦,全明户型商品房，一梯两户，少见户型，配套齐全房主自荐,430万,3室1厅 | 92.99平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XFBQgUBa2_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一，2005年商品房，一梯两户，南北直通全明户型房主自荐,520万,2室2厅 | 91.17平米 | 北 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mDTbDictO_1.jpg.296x216.jpg
20201223,静安,彭浦,静安彭浦一号线一楼双南双天井户型方正无浪费面积,310万,2室1厅 | 60.86平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3VYMdtw3Q_1.jpg.296x216.jpg
20201223,静安,彭浦,西边套全明两房+12平天井+小区自带公园+满五唯一房主自荐,298万,2室1厅 | 55.43平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y01X9RJ5I_1.jpg.296x216.jpg
20201223,静安,彭浦,电梯房高区，美丽家园改造，可看东方明珠房主自荐,370万,2室1厅 | 65.96平米 | 南 | 简装 | 高楼层(共14层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_LxBXTo4vc_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安 非顶楼  一梯两户  精装修  近地铁共康站房主自荐,410万,2室1厅 | 83.2平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lpoNBcnhz_1.jpg.296x216.jpg
20201223,静安,彭浦,昌林公寓 2室1厅 南,388万,2室1厅 | 71.25平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BtEVG8sQ9_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安区次顶楼，双南两房一厅，名厨明卫，一梯两户房主自荐,315万,2室1厅 | 58.38平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UYh2xtnl2_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁1号线，小区环境好，出入方便，看房提前预约房主自荐,230万,1室1厅 | 44.65平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WNujIGZWy_1.jpg.296x216.jpg
20201223,静安,彭浦,商品房，满两年，一梯两户，全明户型房主自荐,220万,1室1厅 | 49.81平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UYsXKTDLQ_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一房型正气罕见三楼价格可议随时可看房房主自荐,226万,1室1厅 | 44.94平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-441309be-23f7-4530-a906-4b778fa8f734.jpg.296x216.jpg
20201223,静安,彭浦,静安中环近地铁-低单价-精装复式大户-通风采光好,780万,5室2厅 | 186.36平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_WwZC0Tokn_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一税费少，户型方正，一号线共康路配套齐全,580万,2室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5g1O5rNvk_2.jpg.296x216.jpg
20201223,静安,彭浦,店长强烈推荐！非顶楼商品房，三开间三房，业主诚售！房主自荐,620万,3室2厅 | 115.54平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D2cuJ2WoY_1.jpg.296x216.jpg
20201223,静安,彭浦,高层视野采光好，近地铁出行便利，业主诚意出售,598万,2室2厅 | 103.79平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XDngwRS7L_3.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，飞机户型，罕见双阳台视野开阔房主自荐,679万,3室2厅 | 125.89平米 | 南 北 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ynKEkmrD6_2.jpg.296x216.jpg
20201223,静安,彭浦,满五不唯一，大三房，厅朝南带双天井，商品房一梯两户房主自荐,620万,3室2厅 | 103.98平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HLrVk5waf_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯2户，全明户型，采光充足，近地铁交通方便,490万,2室2厅 | 102.73平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0mG05CWcr_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户+顶楼复式+婚房装修+全明户型+诚意出售房主自荐,700万,3室2厅 | 169.16平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yHdxxsWT9_1.jpg.296x216.jpg
20201223,静安,彭浦,此房满五唯一，双南两房两厅，中间楼层，采光充足房主自荐,435万,2室2厅 | 87.9平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AsfuQ7dTf_1.jpg.296x216.jpg
20201223,静安,彭浦,临汾名城顶楼复式，满五年，带产权车位。,938万,4室3厅 | 173.91平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OFtcTlX9f_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安，房龄新，采光好，配套全，交通便利,793万,3室2厅 | 178.52平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SKjSi2fRW_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户商品房，正规三室两厅，复式，诚意出售。房主自荐,680万,3室2厅 | 141.55平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uCyd3esKi_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修2房2厅，地段热闹便捷，出行方便适合居住房主自荐,630万,2室2厅 | 113.44平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cPTQ8FcRE_1.jpg.296x216.jpg
20201223,静安,彭浦,一号线彭浦新村站 中间楼层 板式结构 得房率高房主自荐,606万,3室2厅 | 114.34平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FM0vSMiOe_1.jpg.296x216.jpg
20201223,静安,彭浦,南北通2房1厅，全明有窗，近地铁，，产权清晰房主自荐,275万,2室1厅 | 52.57平米 | 南 | 简装 | 低楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pdNNqYZXq_1.jpg.296x216.jpg
20201223,静安,彭浦,房近地铁，西边套，采光充足，交通便利房主自荐,870万,3室2厅 | 108.44平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6fZk7DS5f.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户，顶楼复式，全明户型，有阳光房，诚意出售房主自荐,800万,3室2厅 | 176.69平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZnYjENbDb_1.jpg.296x216.jpg
20201223,静安,彭浦,店长推荐  一梯两户南北两房视野开阔俯瞰东方明珠,770万,3室2厅 | 133.64平米 | 南 北 | 简装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qJFiBiowN_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修，得房率高，格局好使用面积大，采光通风好房主自荐,745万,3室2厅 | 166.73平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_akZQh6TKH_2.jpg.296x216.jpg
20201223,静安,彭浦,此房南北通，全明两房，带天井，拎包入住,315万,2室1厅 | 55.72平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H5fJWa14b_2.jpg.296x216.jpg
20201223,静安,彭浦,近地铁，小区环境优美，业主诚意出售，低梯户比,865万,3室2厅 | 145平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_18QHJmHjE_1.jpg.296x216.jpg
20201223,静安,彭浦,欧美风三年超精装 售后公房仅契税，双南方正户型房主自荐,460万,2室1厅 | 71.32平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lbBsDV0ku_1.jpg.296x216.jpg
20201223,静安,彭浦,房东急售，中间楼层，近地铁，全明无遮挡，。,225万,1室1厅 | 43.29平米 | 南 | 毛坯 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fwhhf0BUb_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安！彭浦新村！全明一房一厅！,200万,1室1厅 | 50.17平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jna5pYVjC_1.jpg.296x216.jpg
20201223,静安,彭浦,一室户小户型，朝南，诚心出售，自住，看房方便。,168万,1室0厅 | 34.68平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lchKZ5zDQ_1.jpg.296x216.jpg
20201223,静安,彭浦,边套全明，视野好，采光充足，一梯两户，精装修,180万,1室1厅 | 35.83平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vC9v44qJo_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安 紧靠一号线 一楼带天井 实用面积大 总价低,260万,2室1厅 | 48.43平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1xYyYDeke_1.jpg.296x216.jpg
20201223,静安,彭浦,边套全明，中间楼层，近地铁，配套完善,263万,2室0厅 | 48.6平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k7CaPcke0_1.jpg.296x216.jpg
20201223,静安,彭浦,近一号线和中环 婚房装修半年 可拎包即住 满五唯一房主自荐,205万,1室1厅 | 41.26平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nEe5xQl5j_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修一房+采光好无遮挡+小区内有公园房主自荐,168万,1室1厅 | 35.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4EeWOYDOZ_1.jpg.296x216.jpg
20201223,静安,彭浦,小户型一室半，小区中间位置顶好，精装修拎包住。房主自荐,177万,1室1厅 | 37.04平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uF4Ij6Lcu_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安区 近地铁 全明户型东边套 房东诚心出售价可谈,220万,1室1厅 | 44.88平米 | 南 北 | 毛坯 | 高楼层(共5层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ERetAOeWU_1.jpg.296x216.jpg
20201223,静安,彭浦,和源名城+户型好+楼层好+诚心卖房房主自荐,345万,1室1厅 | 58.32平米 | 南 | 简装 | 中楼层(共34层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CtbuzWlmT_1.jpg.296x216.jpg
20201223,静安,彭浦,示范小区+精装修一室户+全明户型+采光好+看房方便房主自荐,209万,1室1厅 | 38.59平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XqDgGv5ws_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安精装修低楼层的边套一室户,194万,1室1厅 | 35.35平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l2EH7Y3Pi_1.jpg.296x216.jpg
20201223,静安,彭浦,东边套全明，南北2房，精装修，满五唯一，地铁1号线房主自荐,238万,2室0厅 | 48.24平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oqlE65Wgc_1.jpg.296x216.jpg
20201223,静安,彭浦,此房次顶楼，南北全明格局好，采光充足，配套成熟房主自荐,208.8万,1室1厅 | 43.77平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AdEAJy9sP_1.jpg.296x216.jpg
20201223,静安,彭浦,品质小区，南北户型，总价低，看房方便房主自荐,489万,2室2厅 | 88.14平米 | 南 | 简装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YeCxosvCs_1.jpg.296x216.jpg
20201223,静安,彭浦,近中环，双南户型，精装修，业主诚意出售房主自荐,195万,1室1厅 | 38.44平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2u7X4U5Cj_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安平保美丽家园 全明无遮挡 中间楼层 带装修房主自荐,206万,1室1厅 | 37.84平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JgNd6sPNB_1.jpg.296x216.jpg
20201223,静安,彭浦,1号线彭浦新村地铁站 带装修一居室 厨卫朝北 业主诚售房主自荐,230万,1室1厅 | 42平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OPRfY9rjW_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一无个税+高区采光好+产权清晰随时拉产调房主自荐,270万,2室1厅 | 59.89平米 | 西北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OIORDEfT3_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁1号线彭浦新村站，全明户型，厨房对外，看房约房主自荐,238万,1室1厅 | 45.72平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nbqVndMaB.jpg.296x216.jpg
