20201223,徐汇,康健,2000年电梯三房  飞机户型   看房有钥匙随时可看必看好房,1245万,3室2厅 | 139.43平米 | 南 北 | 简装 | 中楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfGrrxVsn.jpg.296x216.jpg
20201223,徐汇,康健,此房是满五唯一的三房，无个税，南北通透,视野好,520万,3室1厅 | 63.55平米 | 南 北 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rJPPLlaO4_1.jpg.296x216.jpg
20201223,徐汇,康健,好楼层 好位置 看房随时 户型正气,375万,1室1厅 | 42.55平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y19GthkvK_1.jpg.296x216.jpg
20201223,徐汇,康健,健安坊惊现大户型，客厅宽敞采光好，看房方便有钥匙新上,430万,1室1厅 | 59.05平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Yx5owT2k_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，近地铁，小区环境好，采光通风俱佳,438万,2室1厅 | 50.21平米 | 南 北 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cdec4c83-4bd7-4116-8a6c-d91d145c16e2_1000.jpg.296x216.jpg
20201223,徐汇,康健,新出中间楼层一房，看房提前联系，位置好房主自荐,342万,1室1厅 | 44.9平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QvRJAtQXn_1.jpg.296x216.jpg
20201223,徐汇,康健,此房五年唯一，近花园位置，视野开阔，精装修拎包住。房主自荐,334万,1室1厅 | 44.9平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KV8jZiq9z_2.jpg.296x216.jpg
20201223,徐汇,康健,桂花园低楼三房，超大天井，户型少,525万,3室1厅 | 76.2平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DFQpIdgWy_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，满五唯一，中间楼层，康外好房，看房方便,370万,1室1厅 | 42.64平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qYQXQycGE_1.jpg.296x216.jpg
20201223,徐汇,康健,业主诚意出售，随时可签，楼层很好,420万,2室1厅 | 58.88平米 | 东 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ypxy9ianl_1.jpg.296x216.jpg
20201223,徐汇,康健,07年次新房，税费各付，开发商精装修，交通便利，诚售房主自荐,660万,2室0厅 | 76.42平米 | 西南 | 精装 | 高楼层(共21层) | 2007年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zpscLxYqm.jpg.296x216.jpg
20201223,徐汇,康健,近康健公园  闹中取静  房型正气  看房方便房主自荐,550万,2室1厅 | 63.18平米 | 南 西 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FO4NOnCLa_1.jpg.296x216.jpg
20201223,徐汇,康健,刚上 1年精心装修 拎包入住 风格别致，非一般视觉感房主自荐,478万,2室1厅 | 74.55平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_raJvNVxKw_1.jpg.296x216.jpg
20201223,徐汇,康健,全南的两房，采光视野没有可以对比的，售后公房税费少,560万,2室1厅 | 77.67平米 | 南 | 简装 | 高楼层(共19层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/1afdf0b5-660b-4bd8-a7ee-f2ac89b28e32_1000.jpg.296x216.jpg
20201223,徐汇,康健,户型正气大三房，沿河景观安静地，配套齐全很便利,900万,3室2厅 | 126.22平米 | 南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_stIqcngYu_1.jpg.296x216.jpg
20201223,徐汇,康健,师大新村三房，装修不错，楼间距大，采光不错房主自荐,475万,3室1厅 | 61.65平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tFMEouk5S_1.jpg.296x216.jpg
20201223,徐汇,康健,此房格局通透，采光好，楼层好，80万精装修，带地暖房主自荐,1450万,3室2厅 | 134.94平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PXN9vkY2k_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，近地铁，楼层好，配套齐全房主自荐,420万,2室1厅 | 58.88平米 | 东 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jv5J2SG7Q_1.jpg.296x216.jpg
20201223,徐汇,康健,楼层好，视野宽阔，采光充足，配套设施齐全,505万,2室1厅 | 74.64平米 | 东南 南 | 精装 | 中楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FfuDbRdQc_1.jpg.296x216.jpg
20201223,徐汇,康健,特级奢华装修！ 珍藏版双南！中Y空调带地暖！链家看房,498万,2室1厅 | 61.49平米 | 南 西南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bMr5EQNO5_1.jpg.296x216.jpg
20201223,徐汇,康健,新上好房：双南精装两房，实际使用面积大，位置安静房主自荐,405万,2室1厅 | 54.81平米 | 南 | 精装 | 6层 | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HYqZvPZ9P_1.jpg.296x216.jpg
20201223,徐汇,康健,双南户型  小区中间位置 非顶楼 诚意出售,430万,2室1厅 | 59.4平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XiBsv25rI_1.jpg.296x216.jpg
20201223,徐汇,康健,此房满五年唯一 双东两房 户型正气 中间楼层新上,385万,2室1厅 | 60.6平米 | 东 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a8d425ef-63f5-42ed-b621-c5a5fb88997c_1000.jpg.296x216.jpg
20201223,徐汇,康健,楼层好 面积大 单价低 近地铁配套齐全 随时看 诚意卖房主自荐,900万,3室2厅 | 154.84平米 | 南 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_AWAMEqyzb_2.jpg.296x216.jpg
20201223,徐汇,康健,精装，楼层好，设计合理，大客厅，小三房，居住舒适房主自荐,598万,2室2厅 | 82.45平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ly2RMk2XD_1.jpg.296x216.jpg
20201223,徐汇,康健,房型南北，户型正气，小区安静不嘈杂，适合居住房主自荐,755万,2室2厅 | 102.2平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c1c6f969-652f-4fc2-9f52-3c3664f310fa.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一，小区花园位置，中间楼层，看房方便拎包入住,338万,1室1厅 | 46.54平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/393b3228-0843-4934-aadf-97c67ff6e93a_1000.jpg.296x216.jpg
20201223,徐汇,康健,普通住宅，满五年唯一税费少，看房方便房东诚意卖房房主自荐,320万,1室2厅 | 47.64平米 | 南 | 简装 | 6层 | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ddf59e29-24b1-4fe0-8736-a5c11bbb9f27.jpg.296x216.jpg
20201223,徐汇,康健,满五年不唯一，中间楼层大两房带装修，带阳台采光好！,450万,2室1厅 | 61.36平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bmlhU4hKW_1.jpg.296x216.jpg
20201223,徐汇,康健,有钥匙随时看、房型正气、南北通风、近1号线锦江乐园房主自荐,239万,1室1厅 | 41平米 | 南 | 简装 | 高楼层(共4层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X40mfP0Nq_1.jpg.296x216.jpg
20201223,徐汇,康健,大一房，客厅明窗，位置好,户型好，看房方便房主自荐,360万,1室1厅 | 45.56平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bOdoqnhs3_1.jpg.296x216.jpg
20201223,徐汇,康健,全明户型，税费少，业主诚意出售，看房方便 户型美房主自荐,378万,2室1厅 | 53.14平米 | 东南 | 简装 | 6层 | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bxE2qvJAa_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房 全明户型 诚意出售 售后公房 环境优雅宜居房主自荐,480万,2室1厅 | 73.81平米 | 南 | 简装 | 高楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FkH4PXo0y_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：精装修，小区安静位置，中间楼层，满五年,400万,2室1厅 | 57.33平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KksIXvW3w_1.jpg.296x216.jpg
20201223,徐汇,康健,近锦江乐园站、满五年唯一、沿河景观、一梯两户。房主自荐,305万,1室1厅 | 52.06平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_19Ts3icBx_1.jpg.296x216.jpg
20201223,徐汇,康健,全明户型 满五唯一 看房随时 位置安静,550万,2室2厅 | 85.36平米 | 南 | 简装 | 低楼层(共18层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_w90BIvpGQ_1.jpg.296x216.jpg
20201223,徐汇,康健,不靠马路顶楼复式，安静采光好。,1250万,4室2厅 | 189.29平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qiiigVVWv_1.jpg.296x216.jpg
20201223,徐汇,康健,近1号线锦江乐园+户型方正+天井+沿河景观+环境安静房主自荐,388万,2室1厅 | 57.4平米 | 东 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2XPCeaes9_1.jpg.296x216.jpg
20201223,徐汇,康健,此房业主精装修，南北格局，视野宽阔，采光充足房主自荐,322万,1室1厅 | 45.47平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_16Axs1sp2_1.jpg.296x216.jpg
20201223,徐汇,康健,近世界外国语 电梯房中区  满五年 多数居民世外家庭,950万,4室2厅 | 156.2平米 | 南 | 简装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MuXFlHwTV_1.jpg.296x216.jpg
20201223,徐汇,康健,高品质外销房，楼层很好，采光无遮挡，小区环境优美新上,800万,3室2厅 | 141.15平米 | 东南 | 简装 | 24层 | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_LhTM7pWty_1.jpg.296x216.jpg
20201223,徐汇,康健,满五年不唯一，户型方正，南北透气，采光无遮挡新上,325万,1室1厅 | 47.1平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ac6eXaUvK_1.jpg.296x216.jpg
20201223,徐汇,康健,徐汇独栋别墅 带大花园 好种花养鱼，小区靠河景,3250万,4室2厅 | 245.92平米 | 南 | 简装 | 2层 | 1998年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_fiGmuBvgg_1.jpg.296x216.jpg
20201223,徐汇,康健,月河别墅 品质小区，房型正气，精装修，带车库双车位,3300万,5室2厅 | 260.73平米 | 南 | 精装 | 低楼层(共3层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SBpVdhzDs_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，满五唯一，业主诚售，对口求知。房主自荐,410万,2室1厅 | 49.37平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J8bIJfal7_1.jpg.296x216.jpg
20201223,徐汇,康健,面积大 单价低 近地铁配套齐全 随时看 诚意卖,650万,3室2厅 | 140.43平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ufUHetW5f_1.jpg.296x216.jpg
20201223,徐汇,康健,一楼有花园，小区安静位置，大一房一厅，随时看房房主自荐,340万,1室1厅 | 46.73平米 | 南 | 毛坯 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TwrkPSBT9_1.jpg.296x216.jpg
20201223,徐汇,康健,漕宝路地铁，对口求知，中国，电梯房，诚心卖,630万,2室2厅 | 113.7平米 | 南 | 精装 | 低楼层(共18层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HTh685K61_1.jpg.296x216.jpg
20201223,徐汇,康健,小面积+低总价+中楼层+近地铁,298万,1室0厅 | 40.49平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IzF89QIwD_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：三房一厅，低楼层，出行方便，诚意出售房主自荐,440万,3室1厅 | 66.17平米 | 南 北 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-517267e1-0c6d-4298-97c1-854c2757c3bc.jpg.296x216.jpg
20201223,徐汇,康健,长海必看三房  一南两北又何妨  阳光楼层 采光无遮挡房主自荐,490万,3室1厅 | 70.46平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/6c6dd492-913b-46dc-a290-5625e30058bc_1000.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：南北直通，一梯两户，中间位置，诚意出售房主自荐,375万,2室1厅 | 55.16平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wy4vG6XNI.jpg.296x216.jpg
20201223,徐汇,康健,业主诚意出售，采光无遮挡，房型正气房主自荐,296万,1室1厅 | 46.83平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/baa007a0-e546-405b-a886-552495560a67_1000.jpg.296x216.jpg
20201223,徐汇,康健,诚意出售桂平一房，满五不唯一，小区中间位置房主自荐,320万,1室1厅 | 44.69平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aG9YNPDLh_1.jpg.296x216.jpg
20201223,徐汇,康健,惊现双南全明户型 30万精装修 小区环境安静 诚意卖,435万,2室1厅 | 59.45平米 | 南 | 精装 | 低楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_RGfkV9hKF_1.jpg.296x216.jpg
20201223,徐汇,康健,北边带露台，边套全明户型，厨卫朝北，满五不唯一房主自荐,342万,2室1厅 | 46.92平米 | 南 北 | 精装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WBdWgwbvl_1.jpg.296x216.jpg
20201223,徐汇,康健,近锦江乐园地铁站，大一房，满五唯一税费少房主自荐,305万,1室1厅 | 56.1平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7m6g8mEJa.jpg.296x216.jpg
20201223,徐汇,康健,视野开阔 采光充足 一房一厅 格局好 交通便利,370万,1室1厅 | 47.61平米 | 西南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yTmfkRF2H_1.jpg.296x216.jpg
20201223,徐汇,康健,看房便利    全明户型      四面都是窗房主自荐,448万,2室1厅 | 60.88平米 | 南 西 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5383ee1d-b112-4097-8ea2-30287ac1a054_1000.jpg.296x216.jpg
20201223,徐汇,康健,售后公房 唯一 两房朝南 厨卫朝北 南北通  视野开阔房主自荐,515万,2室1厅 | 64.02平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3f1c67ff-ecad-44b9-b55c-a7b94e5f2193_1000.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：边套全明，精装修，业主自住，看房方便。,385万,2室1厅 | 54.7平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9F5Y45qd8_1.jpg.296x216.jpg
20201223,徐汇,康健,两房朝南，客厅朝北户型方正，采光好,490万,2室1厅 | 64.07平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e6UMFZCDW_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，全明户型，小区位置安静房主自荐,475万,2室1厅 | 69.9平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/419524e0-ea00-4bf8-ae35-37428ad8f15d_1000.jpg.296x216.jpg
20201223,徐汇,康健,楼层适中，诚意出售，装修干净清爽随时可签房主自荐,430万,2室1厅 | 48.83平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fWTp2ZnhD_1.jpg.296x216.jpg
20201223,徐汇,康健,A+南北两房，非顶楼，小区中间位置房主自荐,385万,2室1厅 | 63.3平米 | 南 北 | 简装 | 6层 | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QX0E8FfxB_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一，南北通风，小区环境好，近地铁房主自荐,348万,2室1厅 | 60.75平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1OLrikqQ1_1.jpg.296x216.jpg
20201223,徐汇,康健,急卖 售后公房满五唯一边套全明 带天井 诚意卖,445万,2室1厅 | 56平米 | 南 | 简装 | 低楼层(共4层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_djO76lOdA_1.jpg.296x216.jpg
20201223,徐汇,康健,精装修 大露台  看房便利  售后公房房主自荐,360万,1室1厅 | 39.43平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j3qUY9AGU_1.jpg.296x216.jpg
20201223,徐汇,康健,寿益坊 户型方正 厅卧全明 大户型 适合居家客户。房主自荐,685万,2室1厅 | 93.17平米 | 南 | 精装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YOJgij0yv_1.jpg.296x216.jpg
20201223,徐汇,康健,分门两房，满五唯一，售后公房，看房方便，诚意出售,330万,2室1厅 | 44平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rkcoqQROp_1.jpg.296x216.jpg
20201223,徐汇,康健,品质小区 精装大三房 高区采光通风俱佳房主自荐,1450万,3室2厅 | 149.04平米 | 南 北 | 精装 | 中楼层(共37层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7U4L2asr9_1.jpg.296x216.jpg
20201223,徐汇,康健,两房朝南，客厅朝北，满五唯一，售后公房,430万,2室1厅 | 58.7平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sy00zOTv1_1.jpg.296x216.jpg
20201223,徐汇,康健,康乐小区精装两房，南北朝向采光好，位置安静不临街,428万,2室1厅 | 53.63平米 | 南 | 精装 | 高楼层(共4层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c776a289-5c9f-4832-921a-aa1cd1692ebb_1000.jpg.296x216.jpg
20201223,徐汇,康健,户型方正，全明户型。两房朝南，餐厅带窗，房主自荐,334万,2室1厅 | 65.52平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6e31b1b2-ed9e-421c-8bd3-0f51531160a3.jpg.296x216.jpg
20201223,徐汇,康健,楼层好，采光充足，满五税费少，看房方便，业主诚售房主自荐,430万,3室1厅 | 66.17平米 | 南 北 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0cef75c0-f5fc-43ab-be6c-94fa2831219b.jpg.296x216.jpg
20201223,徐汇,康健,此房满五唯一，格局好，站阳台能看到花园，诚意出售房主自荐,394万,2室1厅 | 57.36平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/48f7b99a-dbe9-4d97-84e5-cf63b054d1bc_1000.jpg.296x216.jpg
20201223,徐汇,康健,东边套、双南户型。南北通风、位置安静、近锦江乐园房主自荐,435万,2室1厅 | 66.58平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RVDLkTCpv_1.jpg.296x216.jpg
20201223,徐汇,康健,1999年 12号线虹漕路 一梯两户 房型正气 业主诚意卖,490万,2室2厅 | 73.13平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0EiFJbzLy_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房 五年唯一，户型方正，设施齐全 交通便利房主自荐,520万,2室1厅 | 77.08平米 | 南 | 简装 | 24层 | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-01b50d7f-8bcc-400c-9249-099df6c3dd2a.jpg.296x216.jpg
20201223,徐汇,康健,钥匙 看房随时   售后公房 满五唯一房主自荐,356万,1室1厅 | 42.95平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xcvJfYMSq_1.jpg.296x216.jpg
20201223,徐汇,康健,园林式小区，一梯四户，一门关两户，小区全是全明户型房主自荐,470万,2室1厅 | 68.83平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-68dcf6d3-dd91-4302-8f3e-ad3a0b25c69f.jpg.296x216.jpg
20201223,徐汇,康健,电梯大三房，近地铁，楼层佳，视野开阔，采光好,650万,3室2厅 | 125.89平米 | 西南 | 毛坯 | 28层 | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_d29nGQyof_1.jpg.296x216.jpg
20201223,徐汇,康健,房型正气,双南两室一厅，采光好,418万,2室1厅 | 57.16平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eyhnknWlV_2.jpg.296x216.jpg
20201223,徐汇,康健,康健公寓一房全明户型，户型大有客厅，诚意出售房主自荐,415万,1室1厅 | 58.55平米 | 南 | 简装 | 低楼层(共19层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_bVYIfnHf9_1.jpg.296x216.jpg
20201223,徐汇,康健,小区少有户型东边套全明大三房诚意出售,800万,3室2厅 | 110.28平米 | 南 北 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7c794818-aff3-44ab-bb5f-2899c65fb03b_1000.jpg.296x216.jpg
20201223,徐汇,康健,高品质外销房、采光无遮挡、全明户型、近锦江乐园..,860万,2室2厅 | 126.04平米 | 东南 | 精装 | 24层 | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_fLp56G0Cu_1.jpg.296x216.jpg
20201223,徐汇,康健,2年婚房装修，安静位置，看房请联系维护人房主自荐,432万,2室2厅 | 57.42平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rNDqGDwFz_1.jpg.296x216.jpg
20201223,徐汇,康健,业主诚售，配套齐全，交通便利，,332万,1室1厅 | 46.54平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gAxY61YXf_1.jpg.296x216.jpg
20201223,徐汇,康健,康健美丽户型 一梯二户 上一套同户型495成交 实惠,496万,2室1厅 | 71.52平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LXCrzmceq_1.jpg.296x216.jpg
20201223,徐汇,康健,好房推荐：售后公房两年精装修，小区位置好，业主诚售房主自荐,410万,2室1厅 | 61.21平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ed136f50-9c23-4bef-8ade-35f620c14344_1000.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一，户型好，楼层好，视野开阔，采光充足,530万,2室1厅 | 67.89平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8cBeztPhG_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房，信上中楼层两房，满五年不唯一，诚心出售,420万,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_09Cdv5Gf2_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房，新的南北两房，看房方便，业主诚心卖,378万,2室1厅 | 58.24平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JrPj1dqEH_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一 近一号线锦江乐园地铁站 诚意出售 低楼层,285万,1室1厅 | 46.07平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qzHQXlYOq_1.jpg.296x216.jpg
20201223,徐汇,康健,近一号线锦江乐园+中间楼层+沿河景观+小区环境好,390万,2室1厅 | 60.9平米 | 西 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b86NRepUQ_1.jpg.296x216.jpg
20201223,徐汇,康健,科苑新村 南北三房目前改两房  求知+中国中 业主诚售房主自荐,595万,3室1厅 | 71.9平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C0eGWE1hu_1.jpg.296x216.jpg
20201223,徐汇,康健,1、3号线上海南站，距离500米，24小时可接待看房！,698万,3室2厅 | 144.99平米 | 南 | 毛坯 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8a914b18-a0be-42c6-889c-a2f28a4dfa28.jpg.296x216.jpg
20201223,徐汇,康健,独门独户，满五唯一，带大露台，目前大肆房，采光充足房主自荐,610万,4室1厅 | 83.88平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_EhyenE09x_1.jpg.296x216.jpg
20201223,徐汇,康健,业主自住精装，诚意出售，看房约方便房主自荐,375万,3室1厅 | 43.43平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L9Wc7CCJF_1.jpg.296x216.jpg
