20201223,嘉定,嘉定老城,05年户型方正，两房朝南一房朝北，南北精装修，急卖！必看好房,363万,3室2厅 | 128.61平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2c7ba34f-8b32-4054-b7d6-c731da9852d8_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,小户型总价低 房型方正 临河位置好 看房方便有钥匙房主自荐,163万,2室1厅 | 54.06平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1470cb52-4b33-4355-b7a2-c034a55267ed_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长主推精装修一房，边套，总价低，小区品质高房主自荐,123万,1室2厅 | 40.15平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4cf19557-75e8-4c46-81d5-81a54b02224c_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房朝南，边套，装修干净，全明户型，通风采光俱佳房主自荐,168万,2室1厅 | 72.32平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/07d18a14-f959-4e6c-9649-3e3685329752_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村 全明户型 小区中间位置 无遮挡 南北通边套房主自荐,195万,2室1厅 | 65.86平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/34d2b595-9994-4e96-ad71-7e78df8e825a_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长主推：总价低小两房，一手房东产权干净清晰,138万,2室1厅 | 53.47平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8PD6fUOeO_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,单价低，总价低可买到的大两房带厅，近校区，近地铁房主自荐,163万,2室1厅 | 67平米 | 南 西南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wggl2NE8K_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,刚需小户型 中间楼层 满二年 无增值税 产权清晰,132万,1室1厅 | 40平米 | 南 | 毛坯 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vwyRh7e0_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修，低楼层，一梯两户，南北通，钥匙房源随时可看,230万,2室1厅 | 83.78平米 | 南 北 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/500f10a8-0621-481a-8d6c-19ae1cf57b65_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低楼层有钥匙  边套户型  南北通  配套齐全,145万,1室1厅 | 47.29平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r9nt9X9JJ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,业主诚心出售，满五唯一，低楼层，优质房源！,215万,2室1厅 | 81.52平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2dff2fdc-6ee2-4277-b0da-24cf1a7efaa4_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村，自住装修，看房方便，满五年税少！,205万,2室1厅 | 74.75平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0b07b9b9-2d66-455f-a099-7f0c69cce017.jpg.296x216.jpg
20201223,嘉定,嘉定老城,楼层好，配套齐全，通风好，采光好,177万,2室1厅 | 62.7平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_SPG8GM8zX_2.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长力荐+满五唯一+拎包入住+小区中间位置房主自荐,235万,2室1厅 | 90.69平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/393a88ea-2fb8-4b9e-b11a-830ad5adba5d_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南房 满五唯一  小区正中 通风采光俱佳 诚意出售房主自荐,185万,2室1厅 | 79.23平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/94c29a08-6c91-456a-b143-a0d94bf3eb84_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,房子已满五 ，离11号线嘉北站900米左右。精装修房主自荐,175万,2室1厅 | 67.94平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PPlForX94_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,经典两室  南北通格局  精装修,192万,2室1厅 | 68.01平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/42862252-c6b3-40c6-b12c-10c2cd4edfce_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中楼层 居家两房 户型方正 适合一家人居住房主自荐,174万,2室1厅 | 59.11平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rG1uH48d6_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南房间一北房间，小区中间位置，业主诚心出售,235万,3室1厅 | 92平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCPfZ8lMr_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,三房两卫 满五唯一 楼层好 房龄新 诚意出售,265万,3室2厅 | 104.04平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6e798a89-bb9d-4f8f-a9fc-92756eaf12fc_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层，南北房间，双阳台，厨卫全明，比较开阔。房主自荐,324万,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b06a8950-35a5-4985-a50d-454313983fa5_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,大三房 两卫 户型方正  房龄新 保养好 可直接入住房主自荐,289万,3室2厅 | 113.71平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/75141943-931d-48ef-aa36-5205c3b1e58a_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层，清爽装修，满五唯一，看房随时房主自荐,208万,2室1厅 | 67.85平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f45dccc4-1d4d-4e16-9fa4-f02bd0e26c8e_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通大三房  一楼带大花园 房型正气 业主诚意出售房主自荐,390万,3室2厅 | 130.3平米 | 南 北 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qfABmEC69_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长力推大户型3房，楼层好，实用面积大房主自荐,410万,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5TmbwyxuY_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,经典三房+精装修+房龄新+业主诚意出售+通风采光好房主自荐,320万,3室1厅 | 135.45平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m7meQCpgU_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正，满五唯一 楼层好 精装修 价格可谈 视野开阔房主自荐,205万,2室1厅 | 66.48平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p6Uwhhuju_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通大三房 厅正气敞亮 业主诚售,335万,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qehDSQbim_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修，中间楼层，业主置换，诚心出售房主自荐,230万,3室2厅 | 98.04平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/19899436-bc3d-4da3-a9c9-77f3c1fe3b73_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,嘉定普小双南两房 户型正气采光 产权清晰 无纠纷,174万,2室1厅 | 58.17平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tH4LltrnL_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，大三房，南北通，两室一厅朝南，业主诚售。,330万,3室2厅 | 136.72平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c7516c3d-f393-4112-9c7f-a7b9bb76479c_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正 看房方便 满五唯一 采光充足 视野宽阔房主自荐,160万,2室1厅 | 61.67平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8c4ed0b3-68d4-462d-956b-099536c4aafa_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,房东诚售，大三房，两室朝南，配套齐全，交通便利.,270万,3室2厅 | 106.03平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5Fzqc6Ewg_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五精装修 南北通风 中高楼层 视野开阔 采光良好房主自荐,398万,3室2厅 | 124.98平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xxpjN2Aqq_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南两房，双阳台，使用面积大，适合一家人居住房主自荐,220万,2室1厅 | 70.57平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EEoXH4EVL_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正，视野开阔，采光充沛，地势优越，配套完善。房主自荐,180万,2室1厅 | 68.96平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/85a95545-8bb2-45a8-868d-3081db350eab_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长主推：一手原房东房屋产权干净，好楼层不靠马路房主自荐,171万,2室1厅 | 58.86平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R0t2YygfB_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装大两房，楼栋位置佳，业主诚售，可拎包入住房主自荐,189万,2室1厅 | 80平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8c0a673b-bed4-4ef5-806d-b8aba4cdb813_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付40万+满五唯一+装修保养好+位置好+诚心卖房主自荐,138万,1室1厅 | 44.91平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wXr0JkpK3_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，中间楼层大户型南苑只此一套房主自荐,360万,3室2厅 | 145.68平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b7367504-5e6e-40f4-87d2-954259145989_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,楼层好 视野宽阔 采光好 配套齐全 交通便利房主自荐,190万,2室1厅 | 69.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eN8OJzXga_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一 没有个税 双南两房 好房诚意出售房主自荐,180万,2室1厅 | 79.47平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e4fff53c-5752-4d95-ba20-7ded30d5a204_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,房东诚售，南北房，配套齐全，交通便利房主自荐,203万,2室1厅 | 69.22平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ac3e784c-9bf1-4100-a336-cb5370ff230d_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修 自住保养很好 采光通风佳 近地铁 配套全急卖！房主自荐,217万,2室1厅 | 82.9平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TiCWFzvfY_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线嘉定北+单价低+总价低+户型好+原始户型。房主自荐,165万,2室1厅 | 69.21平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/32b00fc5-bd14-4d45-8523-c78e640e8393_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,一房一厅 不是顶楼 总价低 地铁近 随时看 有钥匙房主自荐,120万,1室1厅 | 39.31平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/07e199dd-5f84-4159-a9ca-064e84f82b17_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修 双南两房 满五唯一 可拎包入住 看房方便,163万,2室1厅 | 57.22平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/a4135312-f32e-4f8e-94e9-44c50d28e8b7_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五税费少，采光通风好，交通便利，配套齐全。,163万,2室1厅 | 67.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3cdda63a-e00a-4850-a2ea-83751c18d871_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,近嘉定北地铁  桃园原始户型小两房,140万,2室1厅 | 47.99平米 | 南 北 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/daf7eb97-b953-49cc-a664-41c6035378e1_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装两房，空间布局有致，和谐有序清新空气自由穿行房主自荐,210万,2室1厅 | 88.09平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9731dae1-b08b-4382-afdc-942fbdb0a489_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精选房源，两房一厅，一梯两户，1996年房龄，好楼层,245万,2室1厅 | 78.07平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LR9215G1N_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通透，全明户型，边套精装，满五唯一，带地上车库房主自荐,210万,2室1厅 | 88.09平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cd7a70b3-29e0-405d-9c04-e39d8294f079_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修两房，两房朝南，楼层好，居住舒适；,203万,2室1厅 | 80.83平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cCThcn2kQ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五年不唯一  低楼层  采光好 设施齐全 拎包入住房主自荐,210万,2室1厅 | 79.35平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bdcbd6fd-6070-4c23-b45a-f05273d51a28_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园二村   精装小两房   位置好  诚心出售房主自荐,168万,2室1厅 | 58.86平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/afc1325b-5d99-4964-b49d-00fbeb68b93b_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,桃园三房 装修清爽整洁 业主急卖房主自荐,168万,3室1厅 | 70.08平米 | 东 南 | 简装 | 高楼层(共5层) | 1964年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9LQdT3nJZ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村，三居室，中间楼层，看房方便房主自荐,250万,3室1厅 | 92.49平米 | 南 | 毛坯 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yU9iqP1L8_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村，南北两居室，总价低，看房方便的！,155万,2室1厅 | 52.4平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bhnPwVGVn_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线900米 双南两房 非顶楼  靠菜场 便利店房主自荐,150万,2室1厅 | 50.84平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C2rtp6jbw_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园二村   经典小两房   次顶楼   看房方便房主自荐,152万,2室1厅 | 57.33平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LrtUR9qdf_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,急卖+装修保养好+中间楼层+边配套好,215万,2室1厅 | 83.02平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_68LonnpKb_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,塔城路850弄新出笋盘+双南两房户型好+采光通风俱佳房主自荐,212万,2室1厅 | 83.17平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b5d283f6-4b5c-4cd1-97fa-e2d2fcef2eb2_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长力荐房源，两房朝南，业主诚心卖，价格可谈。,215万,2室2厅 | 87.33平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OPuk6yqG1_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长力荐房源，两房朝南，采光棒，诚心出售，价可谈,173万,2室1厅 | 72.66平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eqjG3P4Ex_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五年，朝西南全明，到嘉北站820米，厅大,180万,2室1厅 | 69.21平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9b15f90f-6485-4a09-a625-ffe969b38ba0_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一   次顶楼  税费少  看房方便,155万,2室1厅 | 53.37平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tsXwqeFAO_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一 双南两房 全明户型 诚意出售房主自荐,172万,2室1厅 | 71.05平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/910a9a7a-c685-4cff-9726-1b3a7edac3f4_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低楼层，边套，两房朝南，全明户型，业主诚意出售。房主自荐,185万,2室1厅 | 73平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvZBvAVDD_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一税少，清水顶楼大顶复，诚意出售房主自荐,539万,4室3厅 | 213.31平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9862407c-60b1-44e7-b4ac-8fb859efac68_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修一年  全新家具家电 保养的很好,205万,1室1厅 | 60.55平米 | 南 | 精装 | 高楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zgf6U8mqY_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,大三房+阁楼+满五唯一+精装修房主自荐,315万,3室2厅 | 124.7平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/7a0d6b5b-104b-44a6-8a66-7ed9bd78b03c_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正，视野开阔，采光充沛，南北通，配套完善房主自荐,205万,3室1厅 | 84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_8U3UI3Tr4_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付27万+房子满五+小区位置好+近地铁+小区边配套好房主自荐,133万,2室1厅 | 46.33平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2a22daf0-a25d-4e70-b664-ea37bc57e323_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,房子目前满五唯一的，非顶楼，房东诚意出售的。房主自荐,193万,2室1厅 | 79.5平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a6897114-07de-434f-baaa-36492105e2a0_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五年，户型方正，采光好视野开阔，看房随时,240万,3室1厅 | 93.27平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6RouQtmle_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,配套成熟，交通便利，采光视野好 小区规整安静房主自荐,120万,1室1厅 | 36.05平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5iWdRUzws_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,嘉定精装三房，适合刚需，改善，小区环境好，生活便利,340万,3室2厅 | 112.66平米 | 南 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_PqMPUc9wK.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通，厨卫全明，通风好，楼间距宽，视野无遮挡。,239万,3室1厅 | 91.36平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5xfLnOXFk_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线地铁起始站，嘉定老城核xin位置，配套成熟。房主自荐,126万,1室1厅 | 34.54平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3e4f397f-7f3b-4eb9-9bb0-b5b2f1dcfcd7_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一税费少，精装修，配套齐全，交通便利,175万,2室1厅 | 69.7平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pJmH0EPJs_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付68万+有大露台+满五唯一+装修保养好+双朝南卧室,188万,2室1厅 | 67.98平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad0fc093-d7aa-4eeb-9e64-62ed08bbdc93_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南苑一村 2室1厅 西南新上,150万,2室1厅 | 60.02平米 | 西南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/340b99e9-85e4-4c8b-b4f0-274b972f3aec.png.296x216.jpg
20201223,嘉定,嘉定老城,边套大别墅 精装带大花园，大露台带车库,990万,4室3厅 | 197.67平米 | 南 | 精装 | 3层 | 2008年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/310000-inspection/39cf1156-147f-4069-b6a0-0f37f427a9d6.JPG.296x216.jpg
20201223,嘉定,嘉定老城,11号线，精装联排别墅，交通生活便利，大平层的价格,799万,4室2厅 | 176.68平米 | 南 北 | 精装 | 3层 | 2008年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/5018596353b03d8b275b53b79f78d45a-006.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正，带地下室，三室两卫，精装修，诚心出售房主自荐,430万,3室2厅 | 215.75平米 | 南 北 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/04f3906d-cef9-4206-b1c2-2cb30100bc98.png.296x216.jpg
20201223,嘉定,嘉定老城,桃园小区(嘉定) 1室1厅 南,142万,1室1厅 | 43.89平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2b93ff6e-3f51-471e-812f-9f53ad686631.png.296x216.jpg
20201223,嘉定,嘉定老城,铂悦818 2室2厅,115万,2室2厅 | 59.07平米 | 暂无数据 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 2室2厅 南,120万,2室2厅 | 59.14平米 | 南 | 其他 | 中楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 1室1厅 南,126万,1室1厅 | 54.32平米 | 南 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,此房满五税少，南北三房，配套齐全，出行方便房主自荐,275万,3室1厅 | 89.98平米 | 南 北 | 简装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c10e582c-b2c7-4a51-92ec-fc3819323de5.png.296x216.jpg
20201223,嘉定,嘉定老城,品质小区 精装修 拎包入住 设施齐全 采光好 总价低,420万,3室2厅 | 137.11平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8d450b85-c049-4b43-b77e-5f542190efb2.png.296x216.jpg
20201223,嘉定,嘉定老城,单价低，面积大，空间宽阔，楼层好，近嘉定北地铁房主自荐,173万,2室1厅 | 69.21平米 | 西南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NKqjI3617_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,铂悦818 2室2厅 南,120万,2室2厅 | 61.51平米 | 南 | 精装 | 中楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,精装修 业主诚心出售 配套齐全 位于金融地段房主自荐,125万,2室1厅 | 55.02平米 | 南 | 精装 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 2室1厅 南,120万,2室1厅 | 59.07平米 | 南 | 其他 | 中楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,嘉福汇 2室1厅 南,85万,2室1厅 | 49.38平米 | 南 | 其他 | 低楼层(共13层) | 2013年建 | 暂无数据,
