20201223,徐汇,田林,南北边套全明两房，次顶楼，视野通风采光都hen好。必看好房,395万,2室1厅 | 50.12平米 | 北 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VussfzuhP_1.jpg.296x216.jpg
20201223,徐汇,田林,低楼层 一室一厅户型，精装修，近地铁和菜场,280万,1室1厅 | 40.79平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6KLskplY2_1.jpg.296x216.jpg
20201223,徐汇,田林,福利分房，没有增值税，中间楼层采光，无遮挡，视野好房主自荐,580万,3室1厅 | 76.05平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ekOLlhjww_1.jpg.296x216.jpg
20201223,徐汇,田林,两房朝正南，户型方正，采光好，近地铁，诚意出售房主自荐,399万,2室1厅 | 66.79平米 | 南 | 简装 | 低楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nCYPeeoXU_1.jpg.296x216.jpg
20201223,徐汇,田林,全明户型，采光无遮挡，西边套，近地铁,480万,2室1厅 | 66.54平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HknZCqMAY_2.jpg.296x216.jpg
20201223,徐汇,田林,满五年不唯一，一南一北，自住精装，1楼带院子。房主自荐,440万,2室1厅 | 54.7平米 | 南 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iIGmg1LQ3_1.jpg.296x216.jpg
20201223,徐汇,田林,田林一村  精装修 双南两房  近9.12地铁 配套齐全房主自荐,335万,2室1厅 | 46.89平米 | 南 | 精装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DGiRJZvpL_1.jpg.296x216.jpg
20201223,徐汇,田林,满五唯一，税费少，中间楼层，近地铁，带露台,409万,1室1厅 | 52.83平米 | 南 | 简装 | 中楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jwlqSKfvO_1.jpg.296x216.jpg
20201223,徐汇,田林,近地铁 配套齐全 小区中新位置 南北通 看房方便房主自荐,270万,1室1厅 | 39.89平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PR52rj9ET.jpg.296x216.jpg
20201223,徐汇,田林,售后公房，满五唯一，两房朝南，业主诚心出售房主自荐,530万,2室1厅 | 70.7平米 | 南 | 简装 | 低楼层(共28层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/e4ebd7e9-0f48-49bb-a5f8-6128edaeaec3_1000.jpg.296x216.jpg
20201223,徐汇,田林,体育公寓 品质小区 看房方便 房东诚意,586万,2室2厅 | 91.21平米 | 西 北 | 简装 | 中楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_400aqf6UX_1.jpg.296x216.jpg
20201223,徐汇,田林,田林板块，中间楼层，精装一房，六条地铁线，装修清新房主自荐,240万,1室1厅 | 32.93平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TEDosnIB9.jpg.296x216.jpg
20201223,徐汇,田林,9/15号线双轨交汇地段，电梯中区双南精装两房，诚意卖房主自荐,530万,2室1厅 | 86.3平米 | 南 | 精装 | 中楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_Miag37UMm_1.jpg.296x216.jpg
20201223,徐汇,田林,九号线站旁小户型，品质小区的边套，明亮舒适 好看房房主自荐,410万,1室1厅 | 56.72平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7CsZNUn8o_1.jpg.296x216.jpg
20201223,徐汇,田林,爱建园小区很好位置，少有四房，业主诚意出售,1380万,4室2厅 | 151平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SPxBwjnlY_1.jpg.296x216.jpg
20201223,徐汇,田林,两梯四户05年商品房，近光启城，地铁3/4/9号线房主自荐,850万,2室2厅 | 118.92平米 | 南 | 精装 | 低楼层(共28层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qKrq3NkCj_1.jpg.296x216.jpg
20201223,徐汇,田林,徐汇田林板块，地铁近，3站到徐家汇，装修保养好,385万,2室1厅 | 61平米 | 南 | 精装 | 5层 | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pJfAZwgzH_1.jpg.296x216.jpg
20201223,徐汇,田林,近地铁，品质小区，小区中间位置房主自荐,1250万,3室2厅 | 120.66平米 | 南 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p0DqB8mJN_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修大1房，地铁9号15桂林路站500米，配套设施齐全房主自荐,390万,1室1厅 | 66.47平米 | 南 | 精装 | 低楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zEbvpSG5e_1.jpg.296x216.jpg
20201223,徐汇,田林,内环边上 南北户型两房 阳光好,950万,2室2厅 | 121.92平米 | 南 | 简装 | 中楼层(共28层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q3XOCcsv2_1.jpg.296x216.jpg
20201223,徐汇,田林,此房满五唯一。楼层好。 精装修,335万,1室1厅 | 37.35平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RfWDYdlux_1.jpg.296x216.jpg
20201223,徐汇,田林,双轨交汇电梯品质大两房，户型方正，三开间朝南全明。,800万,2室2厅 | 111.42平米 | 南 北 | 简装 | 低楼层(共29层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_cTXyoaly1_1.jpg.296x216.jpg
20201223,徐汇,田林,售后公房，地铁桂林路站双轨交汇，楼层好不遮挡,690万,2室1厅 | 80.87平米 | 南 | 简装 | 中楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_uhvRRY2bT_1.jpg.296x216.jpg
20201223,徐汇,田林,此房满五年 单价低 中间楼层 通风采光好 交通便利。房主自荐,990万,3室2厅 | 179.1平米 | 东 东北 | 精装 | 中楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BSE40rDx7_1.jpg.296x216.jpg
20201223,徐汇,田林,双南两房，采光佳通透好，双南户型采光好房主自荐,400万,2室1厅 | 49.77平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dqJTzN4Np.jpg.296x216.jpg
20201223,徐汇,田林,精装修带地暖，南北两房，居住舒适，布局改动合理房主自荐,440万,2室0厅 | 50.08平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Njf8d7vUg_1.jpg.296x216.jpg
20201223,徐汇,田林,1+1带厅户型 边套全明 南北通 近地铁房主自荐,275万,1室1厅 | 40.25平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fl0sdJbM9_1.jpg.296x216.jpg
20201223,徐汇,田林,小区中间，前后无遮挡， 南北通风，全明，诚意出售,330万,2室1厅 | 47.26平米 | 南 北 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KS9Uh5jL8_1.jpg.296x216.jpg
20201223,徐汇,田林,售后公房，小户型总价低，满五年税费少！房主自荐,335万,1室0厅 | 30.19平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TjRaJT825_1.jpg.296x216.jpg
20201223,徐汇,田林,田林十四村 1室1厅 南 北,295万,1室1厅 | 35.61平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OS5unkb8B_1.jpg.296x216.jpg
20201223,徐汇,田林,9号线15号线桂林路站500米，双轨交通，122平商品房房主自荐,718万,3室2厅 | 122.02平米 | 南 | 毛坯 | 低楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qvYp8wXN7_1.jpg.296x216.jpg
20201223,徐汇,田林,简装修一房，业主诚意出售，看房方便,315万,1室0厅 | 44.94平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ed81YSjZ8_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修电梯房  一改二  近3/4/9号线  业主诚心出售,470万,1室1厅 | 52.46平米 | 南 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f3ac88e1-2991-4054-bef1-0668a8410364_1000.jpg.296x216.jpg
20201223,徐汇,田林,一室半标准户型，精装修，近地铁和菜场,285万,1室1厅 | 40.11平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XsBqquBkJ_1.jpg.296x216.jpg
20201223,徐汇,田林,中间楼层采光好，视野好，精装一居室房主自荐,283万,1室0厅 | 31.74平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qspBeob8D_1.jpg.296x216.jpg
20201223,徐汇,田林,随时可签，楼层好，采光无遮挡，近地铁近六院房主自荐,298万,1室0厅 | 31.74平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hsZOelH5i_1.jpg.296x216.jpg
20201223,徐汇,田林,南北户型 边套带窗 中间楼层 前面无遮挡 随时看房,365万,2室0厅 | 49.06平米 | 南 | 毛坯 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pmOQqCiN2_1.jpg.296x216.jpg
20201223,徐汇,田林,精装两房 业主诚意出售 线上签约72小时免责房主自荐,580万,2室1厅 | 91.08平米 | 南 | 精装 | 高楼层(共22层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-205497d7-0b81-45cb-9b24-4e624d2a4aa7.png.296x216.jpg
20201223,徐汇,田林,一室一厅  高层景观  业主诚意出售 等您来看,405万,1室1厅 | 71.54平米 | 东南 南 | 简装 | 中楼层(共22层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-8a7069de-af95-4761-b1f7-3e76b2f6b36f.jpg.296x216.jpg
20201223,徐汇,田林,大一室一厅，全明户型，税少，诚意出售！,355万,1室1厅 | 62.66平米 | 南 | 毛坯 | 低楼层(共28层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nWwaoeMKw_1.jpg.296x216.jpg
20201223,徐汇,田林,户型正气   全明户型 采光好 拎包入住,285万,1室1厅 | 32.16平米 | 南 | 简装 | 高楼层(共4层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kn2awqN4c_1.jpg.296x216.jpg
20201223,徐汇,田林,业主诚意出售 近地铁9号线  精装修 六院  拎包入住,220万,1室0厅 | 32.03平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a41e4ebd-412f-437f-baba-60e3b432e011_1000.jpg.296x216.jpg
20201223,徐汇,田林,房东诚意出售，外销房质量佳，近六院，双轨交汇,950万,3室2厅 | 131.56平米 | 西南 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-b3a46326-5c8a-4743-9ca0-14cab89073a9.jpg.296x216.jpg
20201223,徐汇,田林,小区在卖唯一一套小三房，户型正气，环境好,1400万,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共29层) | 2016年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YRs8okVfX_1.jpg.296x216.jpg
20201223,徐汇,田林,内环边小区少有电梯一房，此房满五唯一 税费少。房主自荐,348万,1室1厅 | 55.8平米 | 南 | 简装 | 低楼层(共29层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_CUhrR154o_1.jpg.296x216.jpg
20201223,徐汇,田林,此房满五年三分之唯一采光好，小区环境好三房一厅。,610万,3室1厅 | 87.12平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0k8Qj5GLm_1.jpg.296x216.jpg
20201223,徐汇,田林,内环边电梯三房，东边套全明，业主诚意,700万,3室1厅 | 107.37平米 | 南 | 简装 | 低楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20170228/3f8308dd-a3b7-494e-9abf-15b008c6cf51.jpg.296x216.jpg
20201223,徐汇,田林,中间楼层，精装修，可拎包入住，地铁3/4/9号线,343万,1室1厅 | 47.64平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20180105/ef85138b-9476-4f15-b9f4-801264f1c9d8.jpg.296x216.jpg
20201223,徐汇,田林,9号线15号线桂林路站电梯大两房 双南双阳台 精装修新上,640万,2室1厅 | 107.59平米 | 南 | 精装 | 低楼层(共28层) | 1995年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-0425e0d6-63fa-4a8a-87fd-198ae2ac69d6.png.296x216.jpg
20201223,徐汇,田林,14年商品房+全红木装修奢华+全南户型中高楼层新上,940万,2室2厅 | 94.73平米 | 南 | 精装 | 高楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/bdd46723-91bf-4412-b3c4-af772ad48829.png.296x216.jpg
20201223,徐汇,田林,高区采光好视野好，近地铁近医院，满五年税费少新上,288万,1室1厅 | 42.51平米 | 西南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,
20201223,徐汇,田林,中高楼层三房，双轨交，小区位置佳房主自荐,710万,3室1厅 | 89.29平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20201223,徐汇,田林,中间楼层全明一房，双轨交汇，房龄新新上,450万,1室1厅 | 28294.7平米 | 南 | 毛坯 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/cc8b9684-edec-40ed-bdfa-dff6761413fa.jpg.296x216.jpg
20201223,徐汇,田林,锦馨苑 2室2厅 南,840万,2室2厅 | 107平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,
20201223,徐汇,田林,低楼层一室，采光视野无遮挡，税费少,看房提前约新上,285万,1室0厅 | 32.09平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1230fb5e-1f39-4f50-bb3e-052700a28bbf.png.296x216.jpg
20201223,徐汇,田林,低楼层一室户，采光视野无遮挡，税费少，看房提前约新上,280万,1室0厅 | 29.94平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_c291d0f5-d354-4ef3-a89f-cd86618841e2.png.296x216.jpg
20201223,徐汇,田林,此房双南，采光好，近9号线出行比较方便，配套齐全,360万,2室1厅 | 47.19平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/eb713d51-bbc8-4e15-afc4-572b81ce0194.png.296x216.jpg
20201223,徐汇,田林,南北通大客厅，采光好，近地铁，环境好，楼层适中。房主自荐,1200万,3室2厅 | 148.47平米 | 南 北 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a29f70d1-6fcc-4c25-a8b7-97cec7795009.png.296x216.jpg
20201223,徐汇,田林,双轨交汇，品质小区大三房，凤凰楼层，三开间朝南户型,1000万,3室2厅 | 125.58平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/de83e7a1-466a-4ac7-ab8b-eac39474fb45.jpg.296x216.jpg
20201223,徐汇,田林,田林六村售后公房满五唯一配套齐全 近9.12.15号地铁站房主自荐,228万,1室1厅 | 32.59平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6e1f2599-e3d1-4785-ae2b-f3cc970ff68b.png.296x216.jpg
20201223,徐汇,田林,2014年次新房、双南户型，9号线15号线双轨交汇,795万,2室2厅 | 94.88平米 | 南 | 简装 | 低楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e18bd884-5b2b-4fac-a138-2cd9da3f9a7f.png.296x216.jpg
20201223,徐汇,田林,电梯大两房，双轨道交通，总价低，诚意出售,620万,2室2厅 | 91.83平米 | 南 | 简装 | 高楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/552f59a1-8a4f-40dd-b33a-88b5c7fb2ac2.png.296x216.jpg
20201223,徐汇,田林,锦馨苑 2室2厅 南,895万,2室2厅 | 100.96平米 | 南 | 精装 | 中楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/48d6d46a-de87-423e-a11e-c0f73e353a87.jpeg.296x216.jpg
20201223,徐汇,田林,双轨交汇地段，109平电梯大两房，业主超诚意税费各付,603万,2室1厅 | 109.92平米 | 南 | 毛坯 | 低楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/4e1f659d-c197-4d8a-a6ec-4c678dadb8e9.png.296x216.jpg
20201223,徐汇,田林,全明双南户型，采光充足，视野开阔，开发商统一精装修,1320万,2室2厅 | 98.23平米 | 南 | 精装 | 中楼层(共26层) | 2018年建 | 板楼,
20201223,徐汇,田林,两房朝南 边套全明  采光好 业主诚意卖房主自荐,488万,2室1厅 | 82.81平米 | 南 北 | 简装 | 低楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/test-cfab7f6d-d0ca-48fd-8e70-08970af50cd7.png.296x216.jpg
20201223,徐汇,田林,华利公寓 2室2厅 南,658万,2室2厅 | 122.35平米 | 南 | 毛坯 | 低楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/12e3e406-9b23-4b3e-aa56-7751765f3622.png.296x216.jpg
20201223,徐汇,田林,三轨交汇+双公园+精装两房业主诚意出售,459万,2室1厅 | 52.83平米 | 南 北 | 精装 | 高楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ely7gAdpV_1.jpg.296x216.jpg
20201223,徐汇,田林,20平小院子，全明户型北房间2个窗户，售后公房唯一,378万,2室1厅 | 48.08平米 | 南 | 毛坯 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vUTmUp0ck_2.jpg.296x216.jpg
20201223,徐汇,田林,内环边，近3/4/9地铁，一楼带花园，采光好，板式结构房主自荐,1280万,4室2厅 | 179.16平米 | 南 北 | 简装 | 低楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_PM7fstXqa_1.jpg.296x216.jpg
20201223,徐汇,田林,180平电梯大四房|200W精装修|中高楼层，采光视野好,1250万,4室2厅 | 180平米 | 东 | 精装 | 中楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MENF7rpQS_1.jpg.296x216.jpg
20201223,徐汇,田林,上海市模范小区 双轨交通  精装修 可拎包入住 超赞房主自荐,348万,1室0厅 | 34.76平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_neKwLAQM9_1.jpg.296x216.jpg
20201223,徐汇,田林,田林一村，近9号线，居住舒适，交通便利，配套齐全,300万,1室1厅 | 36.63平米 | 南 | 简装 | 低楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_fff4PsD2X_1.jpg.296x216.jpg
20201223,徐汇,田林,徐汇：精装修一室半+拎包入住+诚意出售，看房方便,290万,1室0厅 | 40.26平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8JIWLX9BP.jpg.296x216.jpg
20201223,徐汇,田林,平成阁公寓 5室2厅 西南,1400万,5室2厅 | 183.63平米 | 西南 | 精装 | 中楼层(共12层) | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170511/2d08c809-a3a4-42e2-b216-bcdb92d015cc.jpg.296x216.jpg
20201223,徐汇,田林,百第宜山大楼 1室1厅 东新上,186万,1室1厅 | 47.67平米 | 东 | 精装 | 高楼层(共11层) | 2003年建 | 暂无数据,
20201223,徐汇,田林,高楼层 税费少 中间楼层 生活配套全 出行便捷 进地铁新上,298万,1室1厅 | 40.26平米 | 南 | 简装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/251650d0-d1fc-4488-8bf6-bd279005cb20.png.296x216.jpg
20201223,徐汇,田林,精装修双南两房|近双轨交通|楼层好装修好,450万,2室1厅 | 47.63平米 | 南 | 精装 | 低楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e0783408-af40-4a59-88e5-2c20c32e338f.png.296x216.jpg
20201223,徐汇,田林,售后公房 没有增值税 地铁10/15号线,520万,2室2厅 | 64.72平米 | 南 | 毛坯 | 低楼层(共6层) | 2000年建 | 板楼,
20201223,徐汇,田林,满五唯一的售后公房，楼层好，采光好,450万,2室1厅 | 50.63平米 | 东南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-9855c400-858a-4236-8c38-13ceebbd9050.png.296x216.jpg
20201223,徐汇,田林,平成阁公寓 4室2厅 南,1300万,4室2厅 | 183.45平米 | 南 | 简装 | 中楼层(共12层) | 1995年建 | 板楼,
20201223,徐汇,田林,上海市模范小区，田林十二村大一房，无个税,350万,1室1厅 | 40.46平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6ce31261-1ed0-4260-b47f-0bf1d886c458.jpg.296x216.jpg
