20201223,闵行,梅陇,精装一房，安全环保，楼层好，视野开阔，采光无遮挡必看好房,245万,1室0厅 | 39.3平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F9pggrzBl_1.jpg.296x216.jpg
20201223,闵行,梅陇,地铁口南北三房，精装修拎包入住，户型少有房主自荐,620万,3室1厅 | 89.51平米 | 南 | 精装 | 高楼层(共33层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WZwBemhGU_1.jpg.296x216.jpg
20201223,闵行,梅陇,使用面积240平，买进价格高税费低，安静位置品质高,1500万,5室3厅 | 134.82平米 | 南 | 简装 | 高楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z8mNiubAm_1.jpg.296x216.jpg
20201223,闵行,梅陇,恒德花苑商品房+双南带花园+全明户型+满五唯一房主自荐,468万,2室1厅 | 93.77平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pz8T2IPni_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区中间位置 采光好 客厅卧室朝南房主自荐,223万,1室1厅 | 47.7平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uTuJmYHPs_1.jpg.296x216.jpg
20201223,闵行,梅陇,梅陇一村+少有小三房+居家装修+干净清爽+满五年唯一。房主自荐,328万,3室0厅 | 65.68平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1AiAKCzUe_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明大一房，满五唯一，配套设施齐全，交通便利。,303万,1室1厅 | 57.57平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DjoLveTL1_1.jpg.296x216.jpg
20201223,闵行,梅陇,紫藤二村双南两房，精装修拎包入住房主自荐,335万,2室1厅 | 60.23平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U9cMSpZWo_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北两房+税费低+视野开阔采光好,353万,2室1厅 | 77.03平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KOukNIsyG_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装双南两房，前后无遮挡，交通方便近地铁房主自荐,399万,2室1厅 | 75.46平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1oZ6wdpJq_1.jpg.296x216.jpg
20201223,闵行,梅陇,上中西路767弄 1室1厅 南,208万,1室1厅 | 43.02平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NHZMwVekB_1.jpg.296x216.jpg
20201223,闵行,梅陇,装修精致，带中 央空调地暖，价格包含产权车位房主自荐,620万,2室2厅 | 79.87平米 | 南 | 精装 | 高楼层(共16层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_idYTBBeTo_1.jpg.296x216.jpg
20201223,闵行,梅陇,锦鸿公寓 2室1厅 东南,435万,2室1厅 | 98.09平米 | 东南 | 其他 | 低楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_M24mTtf9Z_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明大两房+中低楼层+精致装修,435万,2室2厅 | 80.15平米 | 南 | 其他 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ym1I04zef_1.jpg.296x216.jpg
20201223,闵行,梅陇,地铁口，次新房小区 户型方正 小区环境好,748万,3室1厅 | 102平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yWT5oy5rj_1.jpg.296x216.jpg
20201223,闵行,梅陇,中层三房近地铁，得房高85%以上，各付税诚售,455万,3室1厅 | 93.44平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iaSGTIdXw_1.jpg.296x216.jpg
20201223,闵行,梅陇,美丽家园小区 户型正气大三房，诚意出售，看房方便房主自荐,455万,3室2厅 | 116平米 | 东 西 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UgvaTDssV_1.jpg.296x216.jpg
20201223,闵行,梅陇,景观位置电梯房！原始两卫~全明朝南、春暖花开！房主自荐,522万,2室2厅 | 110.34平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aD8AVVPIT_1.jpg.296x216.jpg
20201223,闵行,梅陇,位置好 视野佳  不临路 大露台 层高4.8米 近莲花路站房主自荐,939万,3室2厅 | 118.84平米 | 南 北 | 精装 | 高楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cbe05a01-e097-4e35-b8b1-988b5d5806a4.jpg.296x216.jpg
20201223,闵行,梅陇,精装全配，业主诚意出售，看房提前一天预约,470万,2室2厅 | 87.97平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/ea62fe26-e91c-46b1-93f9-d09ec80b8be7_1000.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一+南北两房+业主诚售+看房方便房主自荐,299万,2室1厅 | 60.68平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DT9sgokl4_1.jpg.296x216.jpg
20201223,闵行,梅陇,中间安静位置+次顶楼两房+全明户型+户型方正,307万,2室1厅 | 66.46平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jiSToJem2_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区中间位置，比较安静，装修比较好房主自荐,358万,3室1厅 | 78.15平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oVRQjOyZA_1.jpg.296x216.jpg
20201223,闵行,梅陇,电梯大三房  三房两卫稀有户型  南北通透  价格可谈房主自荐,728万,3室2厅 | 127.38平米 | 南 北 | 简装 | 低楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EnBRPvBw0_1.jpg.296x216.jpg
20201223,闵行,梅陇,《小区花园位置》《买进价高》《税费少》《位置安静》房主自荐,730万,2室2厅 | 106.8平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ihl9Mp3is_1.jpg.296x216.jpg
20201223,闵行,梅陇,仅链家挂牌：品质三房，中间位置大三房，全明户型房主自荐,535万,3室2厅 | 106.08平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c3gmuaCtH_1.jpg.296x216.jpg
20201223,闵行,梅陇,全新精装修+40平米大花园+安静位置+业主急售房主自荐,605万,2室2厅 | 97.72平米 | 南 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z4U31qoKr_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房满五唯一，税费较少，厅南北直通，视野宽阔采光好房主自荐,580万,3室2厅 | 115.19平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LqGQ9rwRs_1.jpg.296x216.jpg
20201223,闵行,梅陇,锦鸿公寓 视野好 高楼层景观房房主自荐,480万,3室1厅 | 86.3平米 | 西北 | 简装 | 高楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_sL4Omn0cC_1.jpg.296x216.jpg
20201223,闵行,梅陇,近新装修，近地铁，位置优越，好楼层，视野采光棒！！,900万,2室2厅 | 113.77平米 | 南 北 | 精装 | 高楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zF7wm08Ec_1.jpg.296x216.jpg
20201223,闵行,梅陇,比翼协和+复旦，满五唯一  电梯房 全明户型 品质小区房主自荐,882万,3室2厅 | 103.69平米 | 东南 北 | 简装 | 中楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kNIcqgNmc_1.jpg.296x216.jpg
20201223,闵行,梅陇,电梯房+中间楼层+小区C位视野好+交通便利+采光优越,638万,2室2厅 | 112.61平米 | 南 | 简装 | 中楼层(共10层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rlhz2hbFi_1.jpg.296x216.jpg
20201223,闵行,梅陇,难得小三房，采光好位置佳，拎包入住，房型方正房主自荐,880万,3室2厅 | 112.04平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_514Fx9su7_1.jpg.296x216.jpg
20201223,闵行,梅陇,楼层好+精装修+位置安静+看房方便+停车方便,460万,2室1厅 | 89.02平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_krsz7IRnw_1.jpg.296x216.jpg
20201223,闵行,梅陇,高区阳光房！次顶楼+空间大+布局明确+居住舒适,375万,2室2厅 | 73.43平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rofnbQfqW_1.jpg.296x216.jpg
20201223,闵行,梅陇,温馨大一房，户型房正，视野开阔，光照充足，精装修,282万,1室1厅 | 53.88平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da5c754b-b895-402f-838b-a529b495dad8_1000.jpg.296x216.jpg
20201223,闵行,梅陇,罗阳三村 1室1厅 南,290万,1室1厅 | 57.57平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SP7qSjK5B_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁低总价大一房，中层采光好，税少诚售,228万,1室1厅 | 43.78平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_js5QwAbgn_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房满五唯一 5年30万精装修 近一号线锦江乐园地铁站,415万,2室1厅 | 98.09平米 | 西 | 精装 | 低楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_iWRbKPMa4_1.jpg.296x216.jpg
20201223,闵行,梅陇,罗阳二村唯一在售双南大两房，户型正气，通风采光好房主自荐,408万,2室2厅 | 94.91平米 | 东 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_knxUfnXJi_1.jpg.296x216.jpg
20201223,闵行,梅陇,急售急售  满五唯一  价格诚意  随时可签房主自荐,211万,1室1厅 | 44.25平米 | 南 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_XEKlTJLoS_1.jpg.296x216.jpg
20201223,闵行,梅陇,美丽家园环境好，专业设计精装修，交通便利大一房房主自荐,255万,1室1厅 | 50.65平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_81eUILgTr_1.jpg.296x216.jpg
20201223,闵行,梅陇,经典南北通两房户型 精装修保养较好 满五唯一省税费房主自荐,745万,2室2厅 | 95.57平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2k5Rmrxxt_1.jpg.296x216.jpg
20201223,闵行,梅陇,三开间超南 飞机户型  采光充足 满五唯一房主自荐,949万,3室2厅 | 139.75平米 | 南 | 简装 | 低楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_NLN2CAWrN_1.jpg.296x216.jpg
20201223,闵行,梅陇,中环边上 双南户型 厨卫朝北  出行便利房主自荐,430万,2室1厅 | 86.99平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-dd40f907-a98d-416e-9378-1db2a72ebea1.jpg.296x216.jpg
20201223,闵行,梅陇,此房满五唯一，厨卫全明，产权清晰，房东诚意出售,279万,2室1厅 | 61.47平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j2301puyW_1.jpg.296x216.jpg
20201223,闵行,梅陇,【1号线通勤便利+双南双阳台+采光充足+居住舒适度高】,391万,2室1厅 | 85.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWZhReOXp_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，税少，一梯三户，近地铁,215万,1室1厅 | 45.1平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6Wj8s6N9P_1.jpg.296x216.jpg
20201223,闵行,梅陇,东南朝向，精装总价低，满五税少，近1号线，随时可看,482万,3室2厅 | 135.62平米 | 东北 | 精装 | 低楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_QmTMol46T_1.jpg.296x216.jpg
20201223,闵行,梅陇,采光充足，通风性强，视野开阔，装修精美，拎包入住,570万,3室2厅 | 130.39平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PvYVWNvyL_1.jpg.296x216.jpg
20201223,闵行,梅陇,位置安静，房型大，户型端正，楼层好,280万,2室1厅 | 52.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MVJbbCoWN_1.jpg.296x216.jpg
20201223,闵行,梅陇,一楼三房两厅两卫，满五唯一，居家装修！,657万,3室2厅 | 113.88平米 | 南 | 精装 | 低楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_smosqrwZQ_1.jpg.296x216.jpg
20201223,闵行,梅陇,电梯两房中区/地+铁，学+区，房东急售，满五年,753万,2室2厅 | 95.84平米 | 南 | 简装 | 中楼层(共8层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YdIZasw4w_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南全明小两房，不临路，近商城，近轨交房主自荐,620万,2室2厅 | 83.04平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s9xh2sUDz_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五不唯一，近莲花路地铁站，房龄新总价低，位置安静,600万,3室2厅 | 114.9平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0OJeWEhUe_1.jpg.296x216.jpg
20201223,闵行,梅陇,三房朝南，采光很好，户型正气，业主诚意出售,430万,3室2厅 | 94.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_URBqtNyg5_1.jpg.296x216.jpg
20201223,闵行,梅陇,三房朝南采光好，满五唯一税费低，同款单价低，精装修房主自荐,520万,3室1厅 | 104.54平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gSxNYMmP9_1.jpg.296x216.jpg
20201223,闵行,梅陇,《全明大三房》 《得房率高》《买进价高》 《税费少》,600万,3室2厅 | 114.9平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r0Ode8dif_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五年，品质小区 一梯两户 格局开阔 近地铁 出行方便,420万,3室1厅 | 89.1平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2MwuFpNhu_1.jpg.296x216.jpg
20201223,闵行,梅陇,房龄新，位置好,南北双阳台，户型正气房主自荐,955万,3室2厅 | 122平米 | 南 北 | 毛坯 | 低楼层(共26层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BMei91uQ5_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装电梯三房 近地铁  满五唯一  诚心出售房主自荐,425万,3室1厅 | 97.66平米 | 西北 | 精装 | 低楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_e51pBmGRs_1.jpg.296x216.jpg
20201223,闵行,梅陇,99年商品房，双南一北户型，位置优越，中间楼层房主自荐,520万,3室1厅 | 99.72平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_snDzO4MOa_1.jpg.296x216.jpg
20201223,闵行,梅陇,紫藤二村精装两房，全明通透采光好,350万,2室1厅 | 69.35平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gR4U4rDa4_1.jpg.296x216.jpg
20201223,闵行,梅陇,紫藤二村精装三房改两房，全明通透双南两房,378万,2室2厅 | 82.8平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L6X9i3vSE_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区C位，满五唯一税费少，自带花园,300万,1室1厅 | 51.61平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IohGur5sp_1.jpg.296x216.jpg
20201223,闵行,梅陇,一号线600米+非顶楼+小区中间位置+看房随时有钥匙房主自荐,225万,1室1厅 | 46.16平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fe4ad2f4-77f6-437e-9096-92d602f2a012.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，业主诚售，边套大一房房主自荐,248万,1室1厅 | 54.95平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_B1LUmUV4n_1.jpg.296x216.jpg
20201223,闵行,梅陇,1号线锦江乐园+高层景观房+能看到东方明珠+业主诚售,382万,2室1厅 | 99.8平米 | 东 | 简装 | 高楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-5f3818ec-543a-4a13-bef0-50e4e7a60c67.jpg.296x216.jpg
20201223,闵行,梅陇,梅陇二村 简约式的装修风格，倾心的设计，让家更温馨房主自荐,280万,2室1厅 | 55.79平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DkUAx8kjO_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁中间楼层精装两房，阳光充足，税费少,755万,2室1厅 | 93.67平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ARpPqsa3r_1.jpg.296x216.jpg
20201223,闵行,梅陇,恒德花苑商品房+双南大两房+全明户型+总价低,380万,2室2厅 | 93.79平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_POzinNNfX_1.jpg.296x216.jpg
20201223,闵行,梅陇,楼层好+采光充足+满五年税费少+房龄新+全明户型房主自荐,380万,2室2厅 | 73.32平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0qJDYWVhg_1.jpg.296x216.jpg
20201223,闵行,梅陇,业主诚售,2000年商品房,南北直通,采光通风优质。房主自荐,425万,2室1厅 | 100.55平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4u1n9ejuW_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一+户型方正+精装修+交通便利+全明户型房主自荐,400万,2室1厅 | 76.9平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RqwrdzZ2k_1.jpg.296x216.jpg
20201223,闵行,梅陇,断货了！双南全明两房，中间楼层，实力推荐房主自荐,353万,2室1厅 | 73.55平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XhilGCQ86_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南两房，采光优越，装修良好，小区安静位置,245万,2室1厅 | 53.73平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Lp5lzzrK0_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装修，品牌家电，拎包入住，满五唯一,285万,2室1厅 | 56.68平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tqRxSw0u4_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房户型好，装修好拎包入住，双南两房采光好房主自荐,340万,2室1厅 | 69.4平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D2NW05wKi_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南两房，居家装修，近地铁，在建商场,270万,2室1厅 | 57.48平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cdT8TLjKJ_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明户型，南北通透，近地铁低总价小两房,258万,2室0厅 | 53.54平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UD1QKbc2V_1.jpg.296x216.jpg
20201223,闵行,梅陇,门店主推！中间楼层+精装修，大阳台，户型好,272万,1室1厅 | 53.21平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8wNU28pjg_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装修大一房，户型正气，南北通透，带车位。房主自荐,245万,1室1厅 | 53.36平米 | 南 北 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bgWQbiyai_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北两房采光通风好，满五唯一税费少,330万,2室1厅 | 62.51平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6l6KaOIDO_1.jpg.296x216.jpg
20201223,闵行,梅陇,非顶楼、业主诚心出售、全南、全明户型、 产权清晰,412万,2室2厅 | 82.45平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_btvu0boZ4_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区精装一房，采光充足，视野很好房主自荐,210万,1室1厅 | 42.42平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_F0MTvsTUu_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，税费少。环境优美，居住舒适。房主自荐,395万,2室1厅 | 74.54平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RFRpPwGO1_1.jpg.296x216.jpg
20201223,闵行,梅陇,配套设施齐全，装修保养好，交通便利，总价低。,275万,2室1厅 | 65.9平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dS8SW0lDn_1.jpg.296x216.jpg
20201223,闵行,梅陇,外环以内，南北两房，一楼带花园，配套齐全,285万,2室1厅 | 58.35平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YhLdYnabk_1.jpg.296x216.jpg
20201223,闵行,梅陇,一梯一户+满五唯一+采光好视野佳+配套设施齐一梯一户房主自荐,385万,2室2厅 | 74.93平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jNJ4dRVJb_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一 中间楼层 看房方便 品质小区,450万,2室1厅 | 90.74平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T2Xk4dlwg_1.jpg.296x216.jpg
20201223,闵行,梅陇,小两房，南北两卧不影响，主卧带阳台，采光好房主自荐,285万,2室1厅 | 56.28平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mCoNwfxZH_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，双南户型，看房方便，业主诚售,348万,2室1厅 | 70.29平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mslpbbsey_1.jpg.296x216.jpg
20201223,闵行,梅陇,税费少总价低， 中间楼层，采光通风好，配套成熟,219万,1室1厅 | 44.7平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Wx03mNmB_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装一房，业主自住，随时看房诚心出售,214万,1室1厅 | 37.1平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Em3pGeEi_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一税费少!朝南采光充足!卧室大！,224万,1室1厅 | 57.16平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GgdBcCdm0_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一+无抵押无贷款 +业主诚意+采光充足。房主自荐,225万,1室1厅 | 48.75平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xV9MWSnlI_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房出行便利，全明户型，户型方正，采光好视野无遮挡房主自荐,410万,2室1厅 | 79.44平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9WGOC6dBq_1.jpg.296x216.jpg
20201223,闵行,梅陇,一号线莲花路+西边套全明户型大一房+配套齐全,249万,1室1厅 | 46.58平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UHrjf9SNG_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装修 小两房 视野开阔 采光好房主自荐,365万,2室1厅 | 69.41平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xlxYlPCyA_1.jpg.296x216.jpg
20201223,闵行,梅陇,外环以内，南北两房，配套齐全，交通便利,298万,2室1厅 | 58.84平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bWLpvmEEI_1.jpg.296x216.jpg
20201223,闵行,梅陇,梅陇一村 2室1厅 南,272万,2室1厅 | 48.8平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_khxjEmXx8_1.jpg.296x216.jpg
