20201223,宝山,月浦,刚需一居室 诚心出售  随时可看 非顶楼必看好房,135万,1室1厅 | 41.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Yzk3i7LX_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，三开间朝南，中层，业主诚意出售，看房方便,135万,2室1厅 | 44.23平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v9nxaa88r.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林小户型，居家装修，诚心出售！房主自荐,235万,2室1厅 | 73.93平米 | 南 | 精装 | 低楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_upde3foVW.jpg.296x216.jpg
20201223,宝山,月浦,乐业一村，2室1厅，双南户型，随时看房房主自荐,188万,2室1厅 | 57.38平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ePk0sLgnb.jpg.296x216.jpg
20201223,宝山,月浦,房子是满五不唯一的 双南户型 楼层适中 采光充足房主自荐,183万,2室1厅 | 62.07平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8eJC3GLtV.jpg.296x216.jpg
20201223,宝山,月浦,次新房，低总价，精装修，诚意出售，看房方便房主自荐,235万,2室1厅 | 53平米 | 南 | 精装 | 高楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CcxbK9rkW_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，一房视野好！诚心出售！,138万,1室1厅 | 41.98平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EwyODP3Kh.jpg.296x216.jpg
20201223,宝山,月浦,中间楼层，双南方厅。诚心出售。房主自荐,178万,2室1厅 | 52.67平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1fkqhGtHD.jpg.296x216.jpg
20201223,宝山,月浦,房子是满四年的，出行便利，精装修，客厅方正房主自荐,199万,2室1厅 | 61.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oxiCq3dM1.jpg.296x216.jpg
20201223,宝山,月浦,房子是满五不唯一的 一个点个税 双南户型 精装修房主自荐,178万,3室1厅 | 60.81平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SYx6JPpnC.jpg.296x216.jpg
20201223,宝山,月浦,诚心出售，好楼层，设施配套齐全，中午可看房。房主自荐,150万,2室1厅 | 48.74平米 | 南 北 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LGpLMnKEC.jpg.296x216.jpg
20201223,宝山,月浦,满二 精装  业主自住房  南北户型 诚意出售,210万,2室1厅 | 72.14平米 | 南 | 精装 | 低楼层(共10层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lxmIMlr2P_1.jpg.296x216.jpg
20201223,宝山,月浦,嘉城国际花园，近地铁一号线，满五唯一低楼层拎包入住房主自荐,255万,1室1厅 | 72.81平米 | 南 | 简装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ymGEEjbTf.jpg.296x216.jpg
20201223,宝山,月浦,近地铁，低楼层，南北格局，双天井。房主自荐,335万,2室2厅 | 84.46平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wQqIzywYG.jpg.296x216.jpg
20201223,宝山,月浦,此房全明户型，采光充足，视野开阔房主自荐,248万,2室1厅 | 77.32平米 | 南 | 精装 | 高楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1GwKQb7D6_1.jpg.296x216.jpg
20201223,宝山,月浦,中间位置 放大版精装修双南方厅两房房主自荐,196万,2室1厅 | 61.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sEomMd2ru.jpg.296x216.jpg
20201223,宝山,月浦,乐业五村吉买盛200米处，采光明亮充足，简单装修房主自荐,204万,2室2厅 | 69.59平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AwBtuEcvC.jpg.296x216.jpg
20201223,宝山,月浦,双南两房电梯楼，适合各类人群，小区配套成熟。房主自荐,195万,2室0厅 | 67.2平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_baCP9w99c.jpg.296x216.jpg
20201223,宝山,月浦,月浦九村大两房，满五唯一，视野开阔，采光好！房主自荐,179万,2室1厅 | 61.84平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ApwwfCamo_1.jpg.296x216.jpg
20201223,宝山,月浦,次新南北两房 居家装修 业主诚心出售房主自荐,238万,2室2厅 | 73.67平米 | 南 | 精装 | 高楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JMlqndQud.jpg.296x216.jpg
20201223,宝山,月浦,三房，精装修，总计低，2014年小区，电梯房房主自荐,240万,3室1厅 | 60.54平米 | 南 | 简装 | 高楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l6MPxzt3k.jpg.296x216.jpg
20201223,宝山,月浦,花园洋房，低密度住宅，品质小区。房主自荐,250万,3室1厅 | 78.21平米 | 南 北 | 简装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0t064hfap_1.jpg.296x216.jpg
20201223,宝山,月浦,双南方厅，中间楼层，一梯两户。房主自荐,180万,2室1厅 | 52.39平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l3Ym9YTMj_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 三开间朝南的户型 业主诚意出售房主自荐,185万,2室1厅 | 57.03平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v3gU4uLr6.jpg.296x216.jpg
20201223,宝山,月浦,月浦八村 满五唯一 业主诚心出售 看房方便房主自荐,155万,2室1厅 | 49.41平米 | 南 北 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_suXMQEojR.jpg.296x216.jpg
20201223,宝山,月浦,月浦九村南北两房，采光好，位置好，出行方便满五唯一,170万,2室1厅 | 53.84平米 | 南 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TamwvUJuc_1.jpg.296x216.jpg
20201223,宝山,月浦,售后公房，近地铁，双南方厅，配套齐全，出行方便房主自荐,260万,2室1厅 | 74.13平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LzhdT1aCc.jpg.296x216.jpg
20201223,宝山,月浦,月浦三村电梯房，视野好，满五唯一，业主急卖房主自荐,180万,2室1厅 | 68.43平米 | 南 | 简装 | 中楼层(共14层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QVbgeLWCu_1.jpg.296x216.jpg
20201223,宝山,月浦,中等装修 小区中间位置 满五年唯一 品质小区房主自荐,172万,2室1厅 | 53.63平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xF1pjveG9.jpg.296x216.jpg
20201223,宝山,月浦,富锦苑稀有一楼双天井两房 满五唯一 全明格局,285万,2室2厅 | 78平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c7MGjCPhj.jpg.296x216.jpg
20201223,宝山,月浦,客厅敞亮带双天井，全明户型，通风良好，满五唯一,350万,2室2厅 | 99.35平米 | 北 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z19mxrmyX.jpg.296x216.jpg
20201223,宝山,月浦,月浦七村小一房，全明户型，采光好视野好，靠小区大门房主自荐,122万,1室1厅 | 41.62平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yi3NmQBXa.jpg.296x216.jpg
20201223,宝山,月浦,正规三房，无遮挡，采光好，诚意出售，看房提前预约房主自荐,218万,3室1厅 | 74.83平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_euffmPTRg.jpg.296x216.jpg
20201223,宝山,月浦,多层电梯房！得房率高！次新房小区！,175万,1室1厅 | 57平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WLfwQMx9N.jpg.296x216.jpg
20201223,宝山,月浦,三楼  双南小两房 看房方便 诚心出售,143万,2室1厅 | 45.23平米 | 南 | 毛坯 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rZFBErabd_1.jpg.296x216.jpg
20201223,宝山,月浦,富锦路中楼层好房，简装三房满五唯一全明,255万,3室2厅 | 81.34平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3iTHndKWu_1.jpg.296x216.jpg
20201223,宝山,月浦,月浦八村 满五唯一 南北通透 诚心出售 看房方便房主自荐,175万,2室1厅 | 54.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GRFdXx9fu.jpg.296x216.jpg
20201223,宝山,月浦,月浦九村大一房，非顶楼，格局明亮宽敞，拎包入住。房主自荐,134万,1室1厅 | 45.7平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K2J1NNp4R.jpg.296x216.jpg
20201223,宝山,月浦,精装，双南方厅，全明户型，小区花园位置，看房方便房主自荐,182万,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GSUfXooNz.jpg.296x216.jpg
20201223,宝山,月浦,小区花园位置，带平改坡，看房方便，业主诚心出售,115万,1室1厅 | 36.94平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R7pVyIqRO.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，一梯两户，南北同透，不靠边不靠马路房主自荐,168万,2室1厅 | 53.64平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GVwBSbfsO.jpg.296x216.jpg
20201223,宝山,月浦,双南方厅，无遮挡，采光好，诚意出售，看房提前预约房主自荐,186万,2室1厅 | 62.43平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ydQCmFiL7.jpg.296x216.jpg
20201223,宝山,月浦,双南明亮  客厅通透  满五唯一  交通便利房主自荐,172万,2室1厅 | 56.07平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4qdrjuhV0.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一，居家装修，拎包入住，经典三房房主自荐,285万,3室2厅 | 89.2平米 | 南 北 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3ZrKXqGH3_1.jpg.296x216.jpg
20201223,宝山,月浦,三开间朝南，精装，中间楼层，位置好，小区配套齐全房主自荐,139万,1室1厅 | 44.18平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_93mMnVSEU.jpg.296x216.jpg
20201223,宝山,月浦,富锦路双南两房全明通透，户型正气房主自荐,225万,2室1厅 | 67.8平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z3KfDXboI.jpg.296x216.jpg
20201223,宝山,月浦,三居室，低总价，精装修，小区花园位置，带平改坡,175万,3室1厅 | 65.05平米 | 南 北 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FXmg8meXH.jpg.296x216.jpg
20201223,宝山,月浦,满五不唯一，全明格局，看房方便，无抵押诚心出售。,188万,2室1厅 | 56.09平米 | 南 | 简装 | 低楼层(共2层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VfM7Wg31h_1.jpg.296x216.jpg
20201223,宝山,月浦,双南全明户型 自住率高  价格适中  出行方便,175万,2室1厅 | 56.07平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oM0fiDVHj.jpg.296x216.jpg
20201223,宝山,月浦,双南方厅  干湿分离  你想要的它都有房主自荐,220万,2室1厅 | 74.18平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k5AGU3MJt_1.jpg.296x216.jpg
20201223,宝山,月浦,电梯房 大客厅 采光好 视野好房主自荐,190万,1室2厅 | 57平米 | 南 | 毛坯 | 高楼层(共6层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_97TLSjCf0.jpg.296x216.jpg
20201223,宝山,月浦,居家装修，满五唯一，采光好，双南大厅，业主诚心出售房主自荐,243万,2室1厅 | 77.45平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_baY0MdCCa.jpg.296x216.jpg
20201223,宝山,月浦,此房满五唯一，小区中间位置，采光好房主自荐,173万,2室1厅 | 53.5平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_loQXlqFM5.jpg.296x216.jpg
20201223,宝山,月浦,厅朝南！满五唯一！精装两年！全明户型！客厅宽敞！房主自荐,197万,2室1厅 | 57.23平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yr3jcIL7H.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，精装修，小区环境好，采光好业主诚心出售,180万,1室1厅 | 54.79平米 | 南 | 精装 | 低楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VR6W3jDmo.jpg.296x216.jpg
20201223,宝山,月浦,次新电梯房，满五唯一，拎包入住，业主诚售房主自荐,248万,3室2厅 | 78.11平米 | 南 | 精装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N7hKlC8y0_1.jpg.296x216.jpg
20201223,宝山,月浦,精装修两房 随时看房 小区中间位置,150万,2室1厅 | 49.87平米 | 南 北 | 简装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t7HKXAEBj.jpg.296x216.jpg
20201223,宝山,月浦,品质小区，满五唯一，精装三房，视野开阔,278万,3室2厅 | 88.68平米 | 南 北 | 精装 | 高楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QShwdUTpA.jpg.296x216.jpg
20201223,宝山,月浦,2015年次新房，看房方便，有钥匙，纯毛坯房房主自荐,176万,2室1厅 | 54.8平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yYm5ndwsO.jpg.296x216.jpg
20201223,宝山,月浦,精装修低密度花园洋房，业主诚出售房主自荐,268万,3室1厅 | 76.35平米 | 南 北 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h2u9QhFbN_1.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一 品质小区 小三房 采光好,190万,3室1厅 | 65.54平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZQLEqBYbw_1.jpg.296x216.jpg
20201223,宝山,月浦,双南好户型，全明户型，采光好。房主自荐,195万,2室1厅 | 63.72平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7MZQ6hvi3_1.jpg.296x216.jpg
20201223,宝山,月浦,月浦八村 业主诚心出售 看房方便,156万,2室1厅 | 43.27平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_va6SpCmQg.jpg.296x216.jpg
20201223,宝山,月浦,居家装修，电梯房，大三房，户型方正，满五唯一房主自荐,510万,3室2厅 | 142.12平米 | 南 北 | 简装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sLBfPY1Uu.jpg.296x216.jpg
20201223,宝山,月浦,飞机户型大三房，1楼带三开面大天井，满五不唯一房主自荐,383万,3室2厅 | 123.08平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_soDug3dzc_1.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一，居家装修，拎包入住，看房方便房主自荐,270万,3室2厅 | 86.92平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VLixEcuvK_1.jpg.296x216.jpg
20201223,宝山,月浦,近公园，全明户型，视野好，利用率高，配套齐全房主自荐,105万,1室1厅 | 36.49平米 | 南 | 毛坯 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CqiDyegrT.jpg.296x216.jpg
20201223,宝山,月浦,15年次新房 小区环境好 绿化好 业主诚心出售,189万,1室1厅 | 54.88平米 | 南 | 精装 | 高楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m4NUsLg0V.jpg.296x216.jpg
20201223,宝山,月浦,高楼层！采光好！户型方正！功能间均朝南！诚意出售房主自荐,260万,1室2厅 | 69.1平米 | 南 | 精装 | 高楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aXHMLRViK.jpg.296x216.jpg
20201223,宝山,月浦,顶楼带平改坡 一室户 满五唯一 业主诚心出售房主自荐,108万,1室0厅 | 36.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uA3A00Sav.jpg.296x216.jpg
20201223,宝山,月浦,双南两房  采光充足  配套设施齐全房主自荐,172万,2室1厅 | 54.66平米 | 南 | 毛坯 | 高楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S9mogKpeS.jpg.296x216.jpg
20201223,宝山,月浦,南北两房  带阳台  随时可看  全明户型,257万,2室1厅 | 91.29平米 | 南 | 毛坯 | 低楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_rqkWrw6iN_1.jpg.296x216.jpg
20201223,宝山,月浦,电梯房，双南户型，功能间全明，不沿街房主自荐,200万,2室1厅 | 67.2平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_CQEejQcfJ.jpg.296x216.jpg
20201223,宝山,月浦,地铁方正原始一房，中间好楼层，业主诚意出售可随时看,141万,1室1厅 | 41.67平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iJFe3eyxS_1.jpg.296x216.jpg
20201223,宝山,月浦,房子是满五不年唯一的，出行便利，精装修,480万,3室1厅 | 137.17平米 | 南 北 | 简装 | 高楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_n2Xec3sb6_1.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林 新小区 新装修 看房方便 业主诚心出售房主自荐,275万,2室1厅 | 93.82平米 | 南 | 精装 | 低楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f727cea1-bba8-42d8-821c-2a2d290ea610.jpg.296x216.jpg
20201223,宝山,月浦,月浦七村大一房，精装修拎包入住，采光充足，视野宽阔房主自荐,125万,1室1厅 | 40.35平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lglPGGcES.jpg.296x216.jpg
20201223,宝山,月浦,月浦次新房精装，双南方厅，满五唯一，拎包入住,266万,3室2厅 | 76.39平米 | 南 北 | 精装 | 中楼层(共7层) | 2014年建 | 板塔结合,http://image1.ljcdn.com/310000-inspection/pc1_ukhwbDqmy_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，公园旁边，配套完善，交通便利,171万,2室1厅 | 58平米 | 南 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xDYbDXKfT.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，精装修，拎包入住，经典三房，看房方便房主自荐,340万,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h1l2lZSro.jpg.296x216.jpg
20201223,宝山,月浦,精装修  全明南北两室方厅 看房方便房主自荐,155万,2室1厅 | 43.27平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N4VeKVw5l.jpg.296x216.jpg
20201223,宝山,月浦,双南两房 正气方厅 满五唯一 拎包入住房主自荐,183万,2室1厅 | 55.13平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vx9mDR6Y5.jpg.296x216.jpg
20201223,宝山,月浦,三室两厅 一楼双天井 三号线地铁站 出行方便,390万,3室2厅 | 129.54平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-89e8b927-cce6-4e15-873f-6e8e2edea0cf.png.296x216.jpg
20201223,宝山,月浦,正规三房，无遮挡，采光好，诚意出售，看房提前预约房主自荐,220万,3室1厅 | 74.18平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c5d65c85-4fa4-47d4-8f3e-745c154f9dd3.jpg.296x216.jpg
20201223,宝山,月浦,月浦九村大一房，无遮挡采光，出门就是菜市场！房主自荐,132万,1室1厅 | 45.65平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_much05sFN.jpg.296x216.jpg
20201223,宝山,月浦,乐业一村 近地铁 优质双南两房小区好位置房主自荐,178万,2室1厅 | 56平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-914079d7-dece-41e5-9083-1dce6c31d986.jpg.296x216.jpg
20201223,宝山,月浦,三开间朝南，中间楼层，小区位置好，小区配套齐全房主自荐,141.5万,1室1厅 | 44.23平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GkGFSyDyk_1.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一，出行便利，精装修，视野宽阔，采光充足房主自荐,197万,2室1厅 | 61.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YqZRXOanj.jpg.296x216.jpg
20201223,宝山,月浦,正规两房，南北通透，全明格局非顶楼红房子房主自荐,360万,2室2厅 | 100.07平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RxPRRLqmI.jpg.296x216.jpg
20201223,宝山,月浦,此房满五年唯一，双南房，户型好，采光充足，诚意出售房主自荐,207万,2室1厅 | 61.63平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yB11PEssv.jpg.296x216.jpg
20201223,宝山,月浦,次新房，花园洋房，户型方正，业主诚意出售,269万,2室1厅 | 84平米 | 南 北 | 简装 | 低楼层(共8层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d3ab592e-13af-45fe-86c2-23554fe3ee4f.jpg.296x216.jpg
20201223,宝山,月浦,低楼层，低总价，诚心出售。满五年唯一,127万,1室1厅 | 34.38平米 | 南 | 毛坯 | 低楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_prffklBZt_1.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林没个税精装中间楼层好房子房主自荐,250万,3室1厅 | 85.88平米 | 南 北 | 简装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/5fb927a7-ef07-411a-ac3d-1cfaf57111b8.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一 产权清晰 诚心出售新上,265万,2室1厅 | 94.06平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload6c05d474-d4e5-45ea-b639-c0df8de81323.jpg.296x216.jpg
20201223,宝山,月浦,顶楼满五，复式结构带阳台   户型方正  诚意出售房主自荐,388万,3室3厅 | 159.62平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170513/86d30b6c-bd45-40f1-8a10-a65981faec9a.jpg.296x216.jpg
20201223,宝山,月浦,中冶尚园 婚房装修 倒复式 全明户型南北通 价格可谈房主自荐,320万,3室2厅 | 119.21平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170924/18832cb9-51d5-4474-bb8d-c903ac4aecfb.jpg.296x216.jpg
20201223,宝山,月浦,房子是精装修房！目前属于自住房！,300万,3室2厅 | 90.14平米 | 南 北 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160814/88e293b2-1475-4e7b-b59d-9cfc893fca99.jpg.296x216.jpg
20201223,宝山,月浦,精装修两房 家具家电全带 可直接拎包入住！房主自荐,290万,2室2厅 | 93.99平米 | 南 | 精装 | 高楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171217/005ec914-b787-41a2-bebc-1ff05b57d667.jpg.296x216.jpg
20201223,宝山,月浦,精装修 边套全明户型 双南方厅 采光充足房主自荐,290万,2室2厅 | 93.84平米 | 南 | 其他 | 低楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20161009/966ee85a-fa1a-4a77-9ba9-53001a6c9ce0.jpg.296x216.jpg
20201223,宝山,月浦,精装修三房  采光充足  中楼层  电梯房房主自荐,380万,3室2厅 | 125.21平米 | 南 北 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1b1be580ebd61e1f487239d0e4b01269-063.jpg.296x216.jpg
20201223,宝山,月浦,急买好房！富锦苑双层带露台精装修顶楼复式房主自荐,380万,4室2厅 | 155.49平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bc615d23a07c23f7a7327d45ac9f3fe1-094.jpg.296x216.jpg
