20201223,青浦,夏阳,近地铁 中间楼层 诚心出售 价格可以谈 满五必看好房,168万,1室1厅 | 63.92平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c5ewENbAU_1.jpg.296x216.jpg
20201223,青浦,夏阳,章浜新村，带阁楼，单价低，随时看，业主诚心出售房主自荐,290万,3室2厅 | 150.12平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_15oXk9AD3_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东同样价位的一梯两户正气两房找不到第二套房主自荐,145万,2室1厅 | 48.87平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lEN8388Hy_1.jpg.296x216.jpg
20201223,青浦,夏阳,汇金地铁300米，总价低小户型，毓秀房主自荐,198万,2室1厅 | 63.2平米 | 东 西 | 简装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0FmGlP8lI_1.jpg.296x216.jpg
20201223,青浦,夏阳,双南户型 楼层视野好  满五年 看房方便,162万,2室1厅 | 52.56平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rMBVADa0c_1.jpg.296x216.jpg
20201223,青浦,夏阳,祥龙精装大两房，严选宜居好房，专注品质生活。,290万,2室2厅 | 82.94平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m0QK7OtTE_1.jpg.296x216.jpg
20201223,青浦,夏阳,17号线地铁 中间楼层双南两居室 随时看业主诚意卖,215万,2室1厅 | 69.17平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RzlVW00Ry_1.jpg.296x216.jpg
20201223,青浦,夏阳,楼层好，飞机户型，中间楼层，近毓秀 中山医院 北箐园,335万,2室1厅 | 98.28平米 | 南 | 精装 | 低楼层(共21层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IThWDgjdH_1.jpg.296x216.jpg
20201223,青浦,夏阳,精装大三房，全明户型，双南一北，满五唯一诚意出售房主自荐,246万,3室1厅 | 85平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-52e5ddf1-f109-47c5-bcc3-544956afb2e6.jpg.296x216.jpg
20201223,青浦,夏阳,桂花园(青浦) 3室2厅 南,310万,3室2厅 | 112.97平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pbiqw2mW1_1.jpg.296x216.jpg
20201223,青浦,夏阳,仁恒运杰166平大平层，满五唯一，装修比较好房主自荐,549万,4室2厅 | 166.05平米 | 南 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YB0RoTEaX_1.jpg.296x216.jpg
20201223,青浦,夏阳,毓秀 近地铁 精装房 配套完备  采光优秀,425万,3室2厅 | 137.97平米 | 南 | 精装 | 低楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_agd9Ox7tD_1.jpg.296x216.jpg
20201223,青浦,夏阳,一本产证！！一本产证，经典大三房，南北通，清爽整洁,475万,3室2厅 | 124.17平米 | 南 | 精装 | 低楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qn5JbMZ8O_1.jpg.296x216.jpg
20201223,青浦,夏阳,一楼带院，正气小三房，等你来领,212万,3室1厅 | 67.38平米 | 南 | 毛坯 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ts56WC4a_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁，户型好，环境优美，配套设施齐全房主自荐,416万,3室2厅 | 148.58平米 | 南 | 简装 | 低楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ViMqE5Mul_1.jpg.296x216.jpg
20201223,青浦,夏阳,什么叫家的感觉？精装修三开间朝南，非顶楼飞机户型,196万,3室2厅 | 65.97平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O1YN2MLmI_1.jpg.296x216.jpg
20201223,青浦,夏阳,业主急售青浦地铁口160米三开间朝南南北双阳台房主自荐,325万,3室2厅 | 116.72平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sZMpoOEqF_1.jpg.296x216.jpg
20201223,青浦,夏阳,带阁楼 户型南北通，使用空间大 近地铁 佳佳 毓秀房主自荐,388万,3室2厅 | 120.15平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BaaEs33Pf_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房三开间朝南，全明户型南北通，配套齐全,298万,3室2厅 | 114.5平米 | 南 北 | 简装 | 高楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SWBvyyvkK_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑 大两房 业主急卖 户型方正 价格可谈,250万,2室2厅 | 89.45平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6OmdNDiL5_1.jpg.296x216.jpg
20201223,青浦,夏阳,正气大三房 满五唯一少个税房型全明南北通三开间朝南房主自荐,460万,3室2厅 | 148.16平米 | 南 | 精装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mW1CyxpMF_1.jpg.296x216.jpg
20201223,青浦,夏阳,运杰城市花园 三房朝南 房子户型方正 西边套采光充足,353万,3室2厅 | 147.35平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NH5jVYtMG_1.jpg.296x216.jpg
20201223,青浦,夏阳,使用面积多。 楼层位置好 采光充足 交通便利,360万,3室2厅 | 131.91平米 | 南 | 简装 | 高楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2pTWzeVH7_1.jpg.296x216.jpg
20201223,青浦,夏阳,此三房满五年唯一，税费低，楼层好，看房方便,235万,3室1厅 | 82.43平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lUkeomrnV_1.jpg.296x216.jpg
20201223,青浦,夏阳,顺驰精装修品质大三房，佳佳毓秀,460万,3室2厅 | 146.7平米 | 南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GBEs0hsOJ_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一，两房朝南带阁楼采光好，拎包入住。,235万,2室2厅 | 81.01平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_td2oPUMB4_1.jpg.296x216.jpg
20201223,青浦,夏阳,复式 精装修 地铁1000米 大虹桥辐射品质小区,590万,4室2厅 | 179.89平米 | 南 | 精装 | 低楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uiOTsQ9IL_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁  户型方正   税费少  品质生活,400万,3室1厅 | 129.19平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B5Fla8r0X_1.jpg.296x216.jpg
20201223,青浦,夏阳,梦丹苑精装大三房，带大露台，满两年，税费少，好房！,380万,3室2厅 | 140.37平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6HQKCuVpe_1.jpg.296x216.jpg
20201223,青浦,夏阳,带花园，地铁700米，南北户型，精装修拎包入住，毓秀,435万,3室2厅 | 120.25平米 | 南 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YwPx2PraE_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑 全明三房 南北通格局 满五唯一 随时可以看房,310万,3室1厅 | 109.88平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f3gGdYzGH_1.jpg.296x216.jpg
20201223,青浦,夏阳,真正三楼，南临河，无遮挡，视野开阔。,379万,3室2厅 | 124.38平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZlXQKZ0hk_1.jpg.296x216.jpg
20201223,青浦,夏阳,运杰城市花园大两房 清爽装修 高楼层 采光好 视野开阔,350万,2室2厅 | 124.85平米 | 南 | 精装 | 高楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N0Augp3DC_1.jpg.296x216.jpg
20201223,青浦,夏阳,毓秀 临河采光充足，南北户型，地铁900米，精装修房主自荐,440万,3室2厅 | 135.6平米 | 南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GTGOgsxLg_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一 好楼层 格局通透 配套设施齐全房主自荐,298万,3室2厅 | 133.16平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WMaE0pXM8_1.jpg.296x216.jpg
20201223,青浦,夏阳,1楼带花园 业主诚心出售 近地铁口2房房主自荐,190万,2室1厅 | 58平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ebb9afbe-38d6-4ee0-82f8-e75b4058f55f.jpg.296x216.jpg
20201223,青浦,夏阳,烟糖大楼两房房源  全明户型 诚意业主 在线卖房房主自荐,168万,2室1厅 | 59.64平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Gl1Csema_1.jpg.296x216.jpg
20201223,青浦,夏阳,店长推荐！通透！精装！价低！满五唯一税少！房主自荐,289万,3室1厅 | 133.16平米 | 南 | 精装 | 高楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GPwZX2cFT_1.jpg.296x216.jpg
20201223,青浦,夏阳,仁恒双南两房 精装修 满五唯一 看房联系维护人房主自荐,310万,2室1厅 | 89.93平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_2BIGXr6Xq_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁，满五唯一，全明户型，新装修。房主自荐,315万,3室2厅 | 119.61平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c2FGqUGyD_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房满二  税费少 诚意出售，交通便利，环境好,295万,3室2厅 | 112.97平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mw4OjJgmU_1.jpg.296x216.jpg
20201223,青浦,夏阳,今天笋盘，青浦新城，适合自住，出租，看房方便房主自荐,185万,2室1厅 | 63.83平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SFVqPUACe_1.jpg.296x216.jpg
20201223,青浦,夏阳,保安新村 双南两房 全明户型 采光好 南北通透,203万,2室1厅 | 66平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-758c5509-0129-4589-9184-1947a654984e.jpg.296x216.jpg
20201223,青浦,夏阳,户型合理，配套全，满五唯一，物美价廉，业主诚心卖！,205万,2室1厅 | 71.5平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BWrBYBwqG_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房南北户型方正，楼层好位置好。装修干净清爽。,255万,2室2厅 | 92.33平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iYAcIAQpP_1.jpg.296x216.jpg
20201223,青浦,夏阳,得天独厚的采光，非顶楼，只等有缘的您房主自荐,170万,2室1厅 | 58.79平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xK0zfWD4R_1.jpg.296x216.jpg
20201223,青浦,夏阳,青水湾公寓 1室1厅 南房主自荐,170万,1室1厅 | 50.44平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YIjTJyJQU_1.jpg.296x216.jpg
20201223,青浦,夏阳,保安新村 双南大两房 全明户型 居住舒适度好,180万,2室1厅 | 62.53平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b8iVhJFNC_1.jpg.296x216.jpg
20201223,青浦,夏阳,湖景两房 楼层好 户型好 采光通风好,333万,2室2厅 | 99.32平米 | 南 | 精装 | 中楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IbWFmDGOq_1.jpg.296x216.jpg
20201223,青浦,夏阳,难得一见的好房子，千万不能错过。,156万,2室1厅 | 51平米 | 南 西南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9mKxyra4Y_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁 带阁楼 配套齐全 诚心出售 户型方正,275万,2室1厅 | 77.88平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lPstsWZKu_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房一手动迁，近地铁，精装修，中间楼层，税费少,240万,2室1厅 | 60.63平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UQFFDQ7Bw_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁+楼层好+交通便利+配套完善,180万,2室1厅 | 67.56平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y90sT1LoG_1.jpg.296x216.jpg
20201223,青浦,夏阳,一手动迁，税费少，精装修，业主诚心出售,268万,2室2厅 | 77.86平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pLvYfXXGa_1.jpg.296x216.jpg
20201223,青浦,夏阳,总价低  一楼带花园 全明户型 配套设施齐全,243万,2室1厅 | 76.01平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cMWN6F7U6_1.jpg.296x216.jpg
20201223,青浦,夏阳,顶复，总价低，毓秀佳佳，近地铁,370万,3室2厅 | 97.78平米 | 南 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Z1PdE21k_1.jpg.296x216.jpg
20201223,青浦,夏阳,新城盛景园 4室2厅 南,450万,4室2厅 | 86.19平米 | 南 | 精装 | 高楼层(共5层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iM7UIgf9y_1.jpg.296x216.jpg
20201223,青浦,夏阳,全明南北大两房，满五唯一，舒心安家优选房主自荐,165万,2室1厅 | 58.67平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G0weKXXen_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑景观房源，楼层好，看房方便。房主自荐,269万,2室2厅 | 92.15平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sTB8AYAR4_1.jpg.296x216.jpg
20201223,青浦,夏阳,保安新村新改造，中间楼层，全明户型，采光通风良好,245万,2室2厅 | 86.16平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Bp7i9vIa_1.jpg.296x216.jpg
20201223,青浦,夏阳,诚意出售，精装地铁3房，靠宝龙广场房主自荐,325万,3室2厅 | 90.15平米 | 南 | 简装 | 低楼层(共8层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6acb86ff-a31d-441e-81ed-b3d56f636a4d.jpg.296x216.jpg
20201223,青浦,夏阳,此房满二唯一，采光充足，配套设施齐全，交通便利,284万,3室2厅 | 97.17平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HkCSAI4NS_1.jpg.296x216.jpg
20201223,青浦,夏阳,高楼层，采光通风佳，带阳光房，位置好，出行方便,370万,2室2厅 | 127.31平米 | 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wEfIXJFZ7_1.jpg.296x216.jpg
20201223,青浦,夏阳,诚意出售！大四房，中间楼层，税费少，全明户型,305万,4室1厅 | 110.61平米 | 南 西 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_90oCod6YI_1.jpg.296x216.jpg
20201223,青浦,夏阳,两房朝南+带阁楼+全明户型+税费少,206万,2室1厅 | 74.71平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f6a7ff09-6a66-42d7-a9b7-36b89469385a.jpg.296x216.jpg
20201223,青浦,夏阳,低单价大三房，中间楼层，业主很诚意，随时看,320万,3室2厅 | 126.82平米 | 南 北 | 毛坯 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PaZ8XhjO3_1.jpg.296x216.jpg
20201223,青浦,夏阳,大三房 改善型户型 楼层好 拎包入住,368万,3室2厅 | 126.09平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ileJxnW7P_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东二区双南房 位置好诚意出售,158万,2室1厅 | 51.63平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-403afdfe-902d-433f-a00d-adb4978c3eff.jpg.296x216.jpg
20201223,青浦,夏阳,南北通  户型方正  位置好  保养好 看房方便,290万,2室1厅 | 95.91平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pxjIDdsdl_1.jpg.296x216.jpg
20201223,青浦,夏阳,遇见好房一声吼 该出手时就出手 是您安家经典户型...房主自荐,156万,2室1厅 | 55.51平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ky4VO818v_1.jpg.296x216.jpg
20201223,青浦,夏阳,中间楼层满五唯一，税费低，看房方便,235万,2室2厅 | 82.43平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-201b191c-2f07-4cce-bef0-c55b59aa10b6.png.296x216.jpg
20201223,青浦,夏阳,精装修~~青浦新城地铁站+全明户型+环境优美+诚心出售房主自荐,354万,3室2厅 | 136.02平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d518da2d-c9e1-4eb8-b656-983ea5753b5d.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑二期大平层三房，满五年唯一，单价低房主自荐,305万,3室2厅 | 126.85平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j1Byaq2Y5_1.jpg.296x216.jpg
20201223,青浦,夏阳,XQ房，地铁近，价格便宜，配套设施完善房主自荐,230万,3室1厅 | 81.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_F8xVyDRY3_1.jpg.296x216.jpg
20201223,青浦,夏阳,青浦新城站3号口400多米，配套齐全房主自荐,340万,3室2厅 | 114.5平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O02s0slr1_1.jpg.296x216.jpg
20201223,青浦,夏阳,单价2.3万 非顶楼 正气三开间朝南大三房 业主诚意出售,295万,3室2厅 | 126.24平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ihidBGUsj_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁+满五唯一税费少+带阁楼+诚心出售,254万,2室2厅 | 80.2平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NBSIA7dYV_1.jpg.296x216.jpg
20201223,青浦,夏阳,景观楼层，满五唯一少个税房型全明南北通三开间朝南,460万,3室2厅 | 145.6平米 | 南 | 其他 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O7F3YGYOZ_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一 南北通 2年精装修 诚意出售 看房随时,350万,3室2厅 | 124.2平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5EGn3ROk9_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一，精美装修，中间楼层，诚意出售,352万,3室1厅 | 126.09平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_9xX1EE4uu_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村 精装修 两房朝南 户型方正,205万,3室1厅 | 65.94平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oEdeUPyPf_1.jpg.296x216.jpg
20201223,青浦,夏阳,飞机户型 税费各付 景观楼层 2房朝南 看房联系维护人房主自荐,332万,2室2厅 | 98.3平米 | 南 | 精装 | 高楼层(共21层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qJ7YqbsxN_1.jpg.296x216.jpg
20201223,青浦,夏阳,实木地板 全屋空调 价格便宜 小区中间位置,375万,3室1厅 | 160.37平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d8EeSYZsv_1.jpg.296x216.jpg
20201223,青浦,夏阳,急卖急卖急卖！！顺驰蓝湾百万精装+地暖别墅，大花园,965万,4室3厅 | 196.07平米 | 南 北 | 精装 | 低楼层(共1层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7325b0f0-6c03-4101-81b3-22f47f033837.JPG.296x216.jpg
20201223,青浦,夏阳,一手动迁 满五唯一 精装修自住 带阁楼80平、露台15平新上,370万,3室2厅 | 130.24平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,
20201223,青浦,夏阳,房子满五年税费少，品质社区，楼层好可拎包入住新上,405万,3室2厅 | 99.15平米 | 南 北 | 精装 | 中楼层(共14层) | 2014年建 | 板楼,
20201223,青浦,夏阳,新锦港好位置，中间楼层，飞机户型，精装修，拎包入住,425万,3室2厅 | 141.63平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5U9uplcbC_1.jpg.296x216.jpg
20201223,青浦,夏阳,梦丹苑 2室1厅 南新上,213万,2室1厅 | 78.98平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_uploadda58caca-7adf-422b-af7c-93de8fea72c1.jpg.296x216.jpg
20201223,青浦,夏阳,地铁口，南北直通， 临河景观房，大四房,配套齐房主自荐,525万,5室2厅 | 187平米 | 南 北 | 简装 | 高楼层(共5层) | 2004年建 | 板楼,
20201223,青浦,夏阳,金地经典复式，精装修，拎包入住。,335万,2室2厅 | 115.52平米 | 南 | 精装 | 中楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/0102eb2e-94b0-4271-9248-8e4a1e463835.jpg.296x216.jpg
20201223,青浦,夏阳,南北双阳台,中间楼层,户型方正,地铁200米,335万,3室2厅 | 110.07平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_f524c333-9698-4a88-9173-e907478ba0c1.png.296x216.jpg
20201223,青浦,夏阳,房型方正，得房率高 税费少，拎包入住 景观楼层,400万,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共11层) | 2006年建 | 板楼,
20201223,青浦,夏阳,新青浦佳园 4室2厅 南,530万,4室2厅 | 197.23平米 | 南 | 简装 | 高楼层(共5层) | 2004年建 | 板楼,
20201223,青浦,夏阳,美式独栋别墅，稀有两层，属于珍藏版别墅，,1000万,4室2厅 | 213.09平米 | 南 | 毛坯 | 2层  | 板楼 | 独栋别墅,
20201223,青浦,夏阳,近汇金地铁站好户型大三房，采光通风好可拎包入住,359万,3室2厅 | 129.61平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6c9666dd-40fa-4363-92da-7c02edcbb392.png.296x216.jpg
20201223,青浦,夏阳,诚心出售 精装修没有住过，已空置半年可直接入住省,200万,2室1厅 | 63.21平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6e349ac1-9c78-474f-91f6-bb530b66a6db.png.296x216.jpg
20201223,青浦,夏阳,5复6，地铁400米，位置安静无遮挡，户型方正,380万,4室2厅 | 166.14平米 | 南 | 简装 | 6层 | 1998年建 | 板楼,
20201223,青浦,夏阳,诚意售房  地铁口 自带幼儿园  中间楼层边套全明,358万,3室2厅 | 128.42平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20161201/a2be51c2-1f46-4ebc-bdcf-f144bbe97aab.jpg.296x216.jpg
20201223,青浦,夏阳,夏阳湖国际花园 3室2厅 南,460万,3室2厅 | 132.19平米 | 南 | 精装 | 中楼层(共17层) | 2004年建 | 板楼,
20201223,青浦,夏阳,此房满5唯一，小区中间位置，采光好，业主诚意出售,399万,3室2厅 | 136.29平米 | 南 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,
20201223,青浦,夏阳,电梯房,顶楼复式+阁楼（毛坯）+视野棒+青浦新城站,786万,6室4厅 | 253.96平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/0c975320-2220-45dc-a2d2-3f59b18d407b.jpg.296x216.jpg
20201223,青浦,夏阳,满五+全明户型+中间位置楼层好+地铁+总价低,310万,3室2厅 | 110.11平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fa7e6db9-05aa-4126-802e-f342837b4ebb.png.296x216.jpg
20201223,青浦,夏阳,青盈苑好房，中间楼层，不靠马路，户型正气，满五唯一新上,252万,2室2厅 | 80.57平米 | 南 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5CpgJDk7a_1.jpg.296x216.jpg
