20201223,长宁,天山,地铁口、二手买进满五少税，楼层好，采光足户型通透必看好房,1295万,3室2厅 | 142.15平米 | 南 北 | 精装 | 中楼层(共24层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZSVtC10N7_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，中高楼层，近地铁，品质小区,1010万,3室2厅 | 102.66平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fec1b926-cd39-4aba-af29-45b1e17f6403.png.296x216.jpg
20201223,长宁,天山,三层绿化围绕让家时刻感受公园的气息产权车位附带花园,1600万,4室2厅 | 147.8平米 | 南 | 精装 | 低楼层(共27层) | 2005年建 | 板楼,
20201223,长宁,天山,满五年唯一，视野宽阔，采光充足，配套设施齐全,1500万,4室2厅 | 203.87平米 | 南 北 | 精装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/0784ba5f-3e27-405e-9dc5-a08ec0d0a70f.jpg.296x216.jpg
20201223,长宁,天山,小区后排中间楼层，南北通风，前后无遮挡，视野开阔,1650万,4室2厅 | 171.31平米 | 南 | 其他 | 中楼层(共28层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a85309ee-a99a-4d82-ac18-063fb5360d8d.png.296x216.jpg
20201223,长宁,天山,安静位置板式南北通大四房，超高得房率，超大大客厅,1390万,4室2厅 | 186.37平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/37c0f674-e4ba-4d7e-a9e9-2739e4193865.png.296x216.jpg
20201223,长宁,天山,五三小区 1室0厅 南,235万,1室0厅 | 35.74平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/73e196d9-469c-4519-823a-292dcb3f6857.png.296x216.jpg
20201223,长宁,天山,楼层好、格局好、不靠马路不沿街,1299万,4室2厅 | 152.93平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5c03fcc9-de68-4596-88ec-c1b7f27c6c37.png.296x216.jpg
20201223,长宁,天山,二房南北户型， 出行方便近地铁，周/边配套齐全,360万,2室2厅 | 51.55平米 | 南 | 毛坯 | 高楼层(共4层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ksE0x7CQ8_1.jpg.296x216.jpg
20201223,长宁,天山,楼层采光好，涉外社区，近2条地铁和商圈，可塑性强,880万,1室1厅 | 74.61平米 | 南 | 精装 | 中楼层(共26层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/5bd2aa5b-1748-46c6-98f3-1f830022be86.jpg.296x216.jpg
20201223,长宁,天山,虹桥电子时代广场 1房间0卫 450万,450万,1室0厅 | 82.76平米 | 西 | 其他 | 中楼层(共9层) | 2001年建 | 板楼,
