20201223,嘉定,丰庄,笋盘出售+满五唯一+看房方便+采光充足必看好房,220万,1室1厅 | 50.84平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5toI4RLT6_1.jpg.296x216.jpg
20201223,嘉定,丰庄,全明户型 中间楼层 总价低两房房主自荐,229万,2室1厅 | 63.2平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1BUWLpUlN_1.jpg.296x216.jpg
20201223,嘉定,丰庄,采光无影响，有垫高，小区花园位，房型方正，看房方便房主自荐,385万,1室1厅 | 64.44平米 | 南 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Qwuu28Jr4_1.jpg.296x216.jpg
20201223,嘉定,丰庄,新鲜出炉，诚意出售，到价签字！,320万,2室1厅 | 69.16平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UZPUZ1Opt_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五年唯一，南北通透格局，非顶楼，采光好房主自荐,310万,2室1厅 | 66.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sxUELmhXU_1.jpg.296x216.jpg
20201223,嘉定,丰庄,次新小区，高层采光佳，满五唯一税费少，附20平露台房主自荐,720万,5室2厅 | 174.6平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xjDUuxsvv_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一梯一户大平层，诚意出售，采光好+近地铁房主自荐,450万,4室2厅 | 110.03平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nxLcBd7Qa_1.jpg.296x216.jpg
20201223,嘉定,丰庄,丰庄-明日新苑：空中别墅，不靠马路，满5唯一，厅大,770万,5室2厅 | 177.2平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i6SzvZCFH_1.jpg.296x216.jpg
20201223,嘉定,丰庄,三开间朝南大花园 满五不唯一 精装修2年 通风采光好,728万,3室2厅 | 139.54平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_72jgHIwa3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,三房两卫 满五唯一 单价低 包含两个租赁固定车位！！,485万,3室2厅 | 99.35平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRzPyBjtR_1.jpg.296x216.jpg
20201223,嘉定,丰庄,新鲜出炉，诚意出售，到价签字。,640万,3室2厅 | 125.41平米 | 南 | 毛坯 | 低楼层(共15层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JjbEugmKV_1.jpg.296x216.jpg
20201223,嘉定,丰庄,楼层好，采光好，视野开阔，总价低，诚意出售房主自荐,210万,1室1厅 | 47.31平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_M3ASvuOM2_1.jpg.296x216.jpg
20201223,嘉定,丰庄,动迁房，无增值税，诚意出售，户型好，方便看房,388万,1室2厅 | 76.34平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e568fae7-f6b3-4e0a-a5f4-5f12a8540f18_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,全明户型+采光好+配套成熟+业主诚意售,278万,2室2厅 | 66.37平米 | 南 西 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EfETrQFXg_1.jpg.296x216.jpg
20201223,嘉定,丰庄,板式南北2房近地铁 一梯两户环境优美 出入方便 诚意房主自荐,575万,2室2厅 | 101.61平米 | 南 | 简装 | 中楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Jal8RIoC_1.jpg.296x216.jpg
20201223,嘉定,丰庄,看房方便，总价低，采光好，业主诚意出售房主自荐,185万,1室1厅 | 43.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5atacp9I0_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装or地铁or成熟配套or商品房！好房等你来撩！房主自荐,299万,2室1厅 | 61.27平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HQVzSD2Pb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一，楼层位置好，小区在改造房主自荐,275万,2室1厅 | 64.44平米 | 西南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J9NLzxJEd_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一，税费少，采光好，近地铁,235万,1室1厅 | 50.45平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_StyjP12bc_1.jpg.296x216.jpg
20201223,嘉定,丰庄,边套全明 户型佳 业主诚意出售 看房方便,240万,1室1厅 | 48.64平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D3K3FUPnL_1.jpg.296x216.jpg
20201223,嘉定,丰庄,边套，客厅有窗，双卧朝南，满五唯一，税少，位置好新上,380万,2室1厅 | 80.37平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MqamiVFBX_1.jpg.296x216.jpg
20201223,嘉定,丰庄,金丰新村 2室1厅 南房主自荐,315万,2室1厅 | 72.97平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yD7LVevKa_1.jpg.296x216.jpg
20201223,嘉定,丰庄,正气一房，诚意出售，交通方便  多多推荐,205万,1室1厅 | 49.59平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Eze5mMgpa_1.jpg.296x216.jpg
20201223,嘉定,丰庄,中环百联旁电梯一房，整个板块就这么一套，老人优选。新上,440万,1室1厅 | 64.42平米 | 南 | 简装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZIpusblND_1.jpg.296x216.jpg
20201223,嘉定,丰庄,房龄新，居住感受好，飞机户型大三房，有地下车位房主自荐,550万,3室2厅 | 123.51平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JbD1uVRpj_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五，精装修，南北通透，次顶层，视野好，采光好房主自荐,495万,2室2厅 | 90.18平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_upgzbQnRH_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区位置好，带天井，业主诚心出售,229万,1室0厅 | 46.18平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p2M36Oxcd_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区少见户型，精装修保养好，采光好房主自荐,570万,3室2厅 | 115.68平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3vNuvLIuh_1.jpg.296x216.jpg
20201223,嘉定,丰庄,户型方正采光好+户型方正南北通+满五年+看房方便！房主自荐,508万,2室2厅 | 100.12平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H0KhZrDEF_1.jpg.296x216.jpg
20201223,嘉定,丰庄,中间楼层，采光很好，位置方便，看房方便，全明户型房主自荐,323万,2室1厅 | 64.87平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dV7IpxL4t_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南两房，房型正气，嘉利坊好房，vr带您看,265万,2室1厅 | 60.96平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H28EZtT52_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装修地铁两房 一楼带精装大天井房主自荐,299万,2室1厅 | 55平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vGWvoQF85_1.jpg.296x216.jpg
20201223,嘉定,丰庄,非顶楼 南北通 小区环境好 业主诚意出售 看房方便房主自荐,505万,2室2厅 | 95.1平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NFaVwDha0_1.jpg.296x216.jpg
20201223,嘉定,丰庄,地铁口，房东诚意出售，南北户型，采光好,285万,2室1厅 | 64.16平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JE32L9CoG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近铁房源，满五税少，诚心出售，采光充足，户型方正。,278万,2室1厅 | 63.92平米 | 东南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hbSKOHjSy_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区中间位置，低楼层双南大两房，附带超大院子房主自荐,350万,2室1厅 | 67.17平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gHbjAzoYG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁 全明正气三房 诚意出售,435万,3室1厅 | 98.9平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J3zr3Zh6j_1.jpg.296x216.jpg
20201223,嘉定,丰庄,全明户型客厅带窗采光好+满五唯一税费少+精装修,305万,2室1厅 | 63.57平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qP754ER7h_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五年 边套带窗 看房方便，房东诚意 全明户型房主自荐,350万,3室1厅 | 83.9平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kc1aUxbWb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南双天井，天井已搭好，位置采光好，随时看房,370万,2室2厅 | 77.17平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wIG4BhwHl_1.jpg.296x216.jpg
20201223,嘉定,丰庄,户型方正+价格合适+单价好+楼层佳+看房方便！！！！房主自荐,350万,3室1厅 | 94.4平米 | 西南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wxfxSJIR9_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，朝南一房，采光视野好，交通便利，配套齐全房主自荐,225万,1室1厅 | 55.59平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-5ee3ed3a-2a0b-49eb-8f92-480ec9e8040c.png.296x216.jpg
20201223,嘉定,丰庄,房东置换诚意出售，南北户型，精装修，地铁口。房主自荐,680万,2室2厅 | 106.52平米 | 南 | 精装 | 高楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_8b9zcXmot_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五唯一，价格合适，采光充足，业主诚心出售房主自荐,180万,1室1厅 | 51.51平米 | 西南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1ktNbk4Wb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北两居室＋全明户型＋满五唯一税费少房主自荐,324万,2室1厅 | 67.98平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rvyFWPots_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五不唯一 采光充足 交通配套齐全 两房朝南 适合居家,240万,2室1厅 | 63.94平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1652bf32-1e8b-4090-96be-cb14763778be.jpg.296x216.jpg
20201223,嘉定,丰庄,南北两房，非顶层，满五不唯一，小区位置好房主自荐,265万,2室1厅 | 62.08平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_nj0UysFqU_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五唯一，南北通秀，户型方正，诚意出售。房主自荐,595万,3室2厅 | 134.92平米 | 南 北 | 简装 | 低楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GGWhlSa2w_1.jpg.296x216.jpg
20201223,嘉定,丰庄,户型方正，两南一北，阳光充足，一梯两户房主自荐,720万,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tmXpDnVIo_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五年 边套带东窗 看房方便 全明户型 采光充足房主自荐,350万,3室1厅 | 83.77平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_poTLekTRc_1.jpg.296x216.jpg
20201223,嘉定,丰庄,嘉尚坊两房  精装修  双天井  价格可谈房主自荐,330万,2室1厅 | 67.8平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ePASKORXw_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁 得房率高 采光好 双南户型 交通便利 配套齐全房主自荐,295万,2室1厅 | 66.58平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8tXf2BZWy_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一，楼层好，光线充足，配套实施齐全，交通便利,578万,3室1厅 | 112.65平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d99bda1c-de4a-4032-b297-876a8a999e62_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁+大三房+配套成熟+满五唯一+业主诚意售,616万,3室2厅 | 116.06平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bT5OgyZhY_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通全明，满五唯一税费少，一梯两户，户型正气房主自荐,245万,2室1厅 | 65.08平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DvPqB9afn_1.jpg.296x216.jpg
20201223,嘉定,丰庄,价格低，不沿街，精装修两房带院子，买进价高税费少！,450万,2室2厅 | 93.62平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LEFkf8C5b_1.jpg.296x216.jpg
20201223,嘉定,丰庄,14号线口，次新小区，毛坯装修，车位充足，附带露台！,308万,2室1厅 | 59.35平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l5AfF1N7r_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装修+不靠马路+满五唯一+南北通房主自荐,259万,2室1厅 | 62.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E8OGq1NTH_1.jpg.296x216.jpg
20201223,嘉定,丰庄,户型好 全明格局 业主置换诚意卖房,405万,2室1厅 | 77.88平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QP781p5Jg_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近梅川路步行街南北通大两房总价低房主自荐,310万,2室1厅 | 65.29平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1qg2FEjKA_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南两房，满五年，小区位置好，诚心出售，随时看房主自荐,272万,2室1厅 | 60.96平米 | 南 | 毛坯 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3v2e4RV77_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南两房，近小区南门，出门右拐就是在建14号线地铁口房主自荐,295万,2室1厅 | 66.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jpAwVcsrA_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，精装修，刚装修，拎包入住，,350万,2室1厅 | 70.98平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0CPYY1T6c_1.jpg.296x216.jpg
20201223,嘉定,丰庄,嘉利坊 双南双天井 无遮挡 随时看房,296万,2室1厅 | 60.96平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iKyXMy9VC_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，好楼层，全明户型，满五唯一，总价低，费率少,258万,1室1厅 | 50.17平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1KOC9U4Xb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,明日新苑，当中位置，视野开阔，采光好，满5，空房房主自荐,485万,2室2厅 | 88.42平米 | 南 北 | 简装 | 中楼层(共4层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3EWWYUaJM_1.jpg.296x216.jpg
20201223,嘉定,丰庄,原始大三房,采光很好，位置方便，看房方便，全明户型房主自荐,365万,3室1厅 | 81.3平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pnoQCiGQs_1.jpg.296x216.jpg
20201223,嘉定,丰庄,新鲜出炉，诚意出售，到价签字，看房方便,400万,2室1厅 | 78.16平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LHrZqECQh_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南经典两房，小区中间位置，总价低,280万,2室1厅 | 65.96平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CabPCwQ7K_1.jpg.296x216.jpg
20201223,嘉定,丰庄,婚房装修+双南户型+小区背后花园+自带固定租赁车位房主自荐,327万,2室1厅 | 68.24平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tQmrDufrt_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五唯一税低  位置楼层好 采光不错  南北户型,295万,2室1厅 | 58.1平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZGYMsD688_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精品装修，房东自住，非顶楼，近地铁更多属性等你来看房主自荐,249万,1室1厅 | 52.28平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qY5gtTNWb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,次新小区，中低楼层，满五唯一，精装修，车位充足房主自荐,439万,2室2厅 | 83.84平米 | 南 北 | 精装 | 低楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/85f10db5-4faf-4711-a762-8e32149b664c_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，品质小区，全明户型，看房方便，配套齐全,300万,2室1厅 | 65.92平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wPwQybHvG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,嘉秀坊高层采光，前方无遮挡，南北通一房，全明亮。房主自荐,230万,1室1厅 | 49.11平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c0cc8948-0322-4d3a-b4dc-68362ee95f99_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,中低楼层，满五唯一，简单装修，全明户型，车位充足房主自荐,439.5万,2室1厅 | 85平米 | 南 北 | 毛坯 | 低楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0c50e751-69a2-4f5c-b21e-a875637b2037_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通透，采光无遮挡，业主诚意出售房主自荐,460万,2室2厅 | 89.41平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0EHFHi6lO_1.jpg.296x216.jpg
20201223,嘉定,丰庄,全明精装修，满五唯一税费低 看房方便 采光好房主自荐,215万,1室1厅 | 48.49平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n38NIoXAx_1.jpg.296x216.jpg
20201223,嘉定,丰庄,动静分离大一房+看房方便+近地铁房主自荐,193万,1室1厅 | 48.77平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MP8OBUJpY_1.jpg.296x216.jpg
20201223,嘉定,丰庄,非顶楼小区中间位置，边套客厅带窗采光好房主自荐,380万,2室1厅 | 80.47平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sUuPImlV1_1.jpg.296x216.jpg
20201223,嘉定,丰庄,丰庄四村，品质小区，非顶楼，厅里面两个窗,215万,2室1厅 | 43.89平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_poLA2dipn_1.jpg.296x216.jpg
20201223,嘉定,丰庄,婚房装修，领包入住，客厅南北都有窗，采光好房主自荐,252万,2室1厅 | 58.45平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LtjXsDIau_1.jpg.296x216.jpg
20201223,嘉定,丰庄,原始四居毛坯，东边套带花园，税费各付房主自荐,666万,4室2厅 | 141.76平米 | 南 | 毛坯 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H93CH5ZME_1.jpg.296x216.jpg
20201223,嘉定,丰庄,嘉利房 一室户  中间楼层  随时看房,168万,1室0厅 | 33.75平米 | 东 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FxvXrh0Oc_1.jpg.296x216.jpg
20201223,嘉定,丰庄,刚需，非顶楼，低总价精装修，满五年唯一，诚售房主自荐,257万,1室1厅 | 51.49平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RDMjMSDX9_1.jpg.296x216.jpg
20201223,嘉定,丰庄,高价买入 满二税少 采光装修俱佳 交通便利 诚意出售房主自荐,223万,1室1厅 | 48.58平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ULkAED9Mo_1.jpg.296x216.jpg
20201223,嘉定,丰庄,金沙社区全明一房，一梯两户，高层视野开阔，随时可看,195万,1室1厅 | 45.74平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L3t5dWsqj_1.jpg.296x216.jpg
20201223,嘉定,丰庄,客厅窗朝南，一房一厅，错落有致。,225万,1室1厅 | 52.16平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l157yBFS1_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一梯两户南北通，采光无遮挡不靠马路，交通贼方便！！房主自荐,220万,1室1厅 | 47.43平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4JlaKv0fT_1.jpg.296x216.jpg
20201223,嘉定,丰庄,嘉利坊  精装一房    有钥匙  随时看房,225万,1室1厅 | 50.87平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ug4sq4WIG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南户型，前方无遮挡，采光好。房主自荐,240万,2室1厅 | 52.2平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2YkfPojgK_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房一房，业主诚意出售，无遮挡,330万,1室2厅 | 62.55平米 | 南 | 简装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xHTarHgCU_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装修，满五年唯一，小区位置好，诚心出售，随时看,253万,2室1厅 | 55.16平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LBPI1o6Q2_1.jpg.296x216.jpg
20201223,嘉定,丰庄,NEW房源，满⑤税少，居家装修，近地铁，诚心出售,197万,1室1厅 | 45.84平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uxLClUu1C_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小户型房源，业主诚意出售，目前看房方便房主自荐,268万,2室1厅 | 49.99平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zmm08upF8_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一+14号地铁线+全明户型,275万,1室1厅 | 56.7平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KkO7OD7GA_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一！低楼层精装修一房，近地铁房主自荐,265万,1室1厅 | 57.71平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oZnQvWTJw_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通透，小区花园位置，电梯两房，满五唯一诚意出售房主自荐,595万,2室2厅 | 97.77平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fP5AHqJsG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，仅有中间楼层，小区首出位置不沿街，配套齐全房主自荐,278万,2室1厅 | 60.78平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xfHMPLnha_1.jpg.296x216.jpg
