20201223,浦东,川沙,妙栏小区两房出售中间楼层有钥匙看房方便必看好房,320万,2室1厅 | 73.39平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMpUiZ3Pp_1.jpg.296x216.jpg
20201223,浦东,川沙,王桥苑 一手动迁 中层楼正气三房 房东诚意出售房主自荐,495万,3室2厅 | 112.92平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nrJS671YM_1.jpg.296x216.jpg
20201223,浦东,川沙,妙栏小区 正气一房 总价低 不临街 房东诚意出售房主自荐,268万,1室1厅 | 41.17平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_offdtEVRg_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一 近地铁 2000年商品房 交通便利 复式,499万,5室2厅 | 192.58平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1230a19c-5975-414e-b7ee-afc5abd52437_1000.jpg.296x216.jpg
20201223,浦东,川沙,精装修，带阁楼，露台，近地铁，位置好，户型好，,600万,3室2厅 | 129.51平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/92bb77d9-b2c4-49af-acfc-e467d1ad469e_1000.jpg.296x216.jpg
20201223,浦东,川沙,02年商品房，一梯一户电梯房，近地铁，满五唯一无个税,780万,4室2厅 | 186平米 | 南 | 精装 | 低楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qTQZ4cU7B_1.jpg.296x216.jpg
20201223,浦东,川沙,小区位置好 采光好 视野开阔，顶楼复式,374万,4室2厅 | 131平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/72a68f60-16c5-4641-983c-1dc400b0c6d1_1000.jpg.296x216.jpg
20201223,浦东,川沙,精装 满五年 产权干净 小区位置安静 复式楼层房主自荐,380万,3室2厅 | 114.15平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KlqMXjYPK_1.jpg.296x216.jpg
20201223,浦东,川沙,小区位置好 采光好，视野开阔，配套设施齐全,212万,1室1厅 | 54.92平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZlqSV2TnT_1.jpg.296x216.jpg
20201223,浦东,川沙,新房源，沙田公寓，到价签字。。,255万,2室1厅 | 70.64平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_niVjZjf5Z_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层，位于小区中间位置，视野采光好,250万,2室1厅 | 67.04平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wSui7rXn7_1.jpg.296x216.jpg
20201223,浦东,川沙,满五不唯一，诚心出售，店长推荐,450万,3室2厅 | 134.82平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JIvE0pfq8_1.jpg.296x216.jpg
20201223,浦东,川沙,南北通电梯两房，采光视野好，满五唯一税费少拎包入住房主自荐,500万,2室2厅 | 88.62平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w6irJojfs_1.jpg.296x216.jpg
20201223,浦东,川沙,新出笋盘 精装修  房东诚心出售 产权清晰 诚心出售房主自荐,300万,3室1厅 | 72.47平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bRd4Yt3Ep_1.jpg.296x216.jpg
20201223,浦东,川沙,实际比照片拍的好 低总价  精装修 小区中间位置不靠路,220万,2室1厅 | 54.38平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_56B5YzYLA_1.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁，产权明晰，诚心出售。房主自荐,405万,2室2厅 | 99.31平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z6svrEZyJ_1.jpg.296x216.jpg
20201223,浦东,川沙,南北通格局，精装修。电梯房中间楼层。拎包入住,430万,2室2厅 | 103.43平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5cXujLEsh_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修，满五唯一，中间位置，好楼层房主自荐,385万,2室2厅 | 82.77平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_493WHgDy5_1.jpg.296x216.jpg
20201223,浦东,川沙,御景豪园经典大三房 前面视野开阔有院子适合一家三代,620万,3室2厅 | 126.67平米 | 南 | 精装 | 低楼层(共5层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W3orE7opE_1.jpg.296x216.jpg
20201223,浦东,川沙,大三房 飞机户型 小区中间位置 南北通透 配套齐全房主自荐,479万,3室2厅 | 142.21平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1ebdd10f-3b66-4fc0-8c33-650c150c89b7_1000.jpg.296x216.jpg
20201223,浦东,川沙,近地铁 有电梯 带大阁楼 临水而居 采光好 诚意出售,600万,3室2厅 | 168.9平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uoSGFzaGF_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一税费少，户型方正，业主诚意出售。房主自荐,438万,3室2厅 | 132.82平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9fe0a8e1-a189-414b-aad1-f68e4799cce7_1000.jpg.296x216.jpg
20201223,浦东,川沙,六楼阁楼，南北户型，绿化好，品质好，房龄新，南北通房主自荐,455万,3室2厅 | 118.02平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/38e5e405-a866-4af0-add0-7a6e728b934e_1000.jpg.296x216.jpg
20201223,浦东,川沙,界龙阳光苑 舒适大三房 对口配套资源齐全 房东诚售,640万,3室2厅 | 155.67平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfJRkpfcu_1.jpg.296x216.jpg
20201223,浦东,川沙,顶楼带阁楼，面积大，房东诚心出售房主自荐,460万,3室2厅 | 134.82平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l7Nmf1flE_1.jpg.296x216.jpg
20201223,浦东,川沙,御景华庭13年商品房出售，电梯高层视野好保养好诚意售,900万,3室2厅 | 141.38平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oldxXCmiq_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境公寓大三房有装修满五中间楼层南北通出售,480万,3室2厅 | 132.66平米 | 南 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OkLst3TX3_1.jpg.296x216.jpg
20201223,浦东,川沙,次新电梯房。精装修满五唯一，顶楼复式露台和阁楼,1300万,5室3厅 | 224.6平米 | 南 | 精装 | 高楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mY5MoPog3_1.jpg.296x216.jpg
20201223,浦东,川沙,交通方便，自住装修，户型好。。。。。。。。。。。,1100万,5室2厅 | 199.78平米 | 南 | 其他 | 3层 | 2000年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_337lM3bwP_1.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一，税费少，单价低，交通便利。房主自荐,314万,2室1厅 | 91.62平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/c0bfcf19-e537-49fa-a530-1bbe2e9011cf_1000.jpg.296x216.jpg
20201223,浦东,川沙,板正三房，钻石楼层，朝南双卧，全明户型，诚意出售。房主自荐,410万,3室2厅 | 129.6平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qoprRABce_1.jpg.296x216.jpg
20201223,浦东,川沙,房龄新，2009年的商品房，电梯房高层，视野开阔采光好房主自荐,323万,2室1厅 | 68.35平米 | 南 | 简装 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BoIrmQluA_1.jpg.296x216.jpg
20201223,浦东,川沙,交通便利， 配套齐全，户型方正，视野开阔，双南卧室,448万,3室2厅 | 122.65平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gVYodWdgZ_1.jpg.296x216.jpg
20201223,浦东,川沙,12年电梯次新房 小区环境优美 位置好 楼层好 生活方便,295万,1室1厅 | 54.24平米 | 南 | 简装 | 中楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cv4SghpUO_1.jpg.296x216.jpg
20201223,浦东,川沙,华沙二村 园西 三房户型正 看房提前约,345万,3室1厅 | 89.09平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YSOPT42Kq_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境公寓 房东诚心出售 得房率高 看房方便，诚意出售房主自荐,418万,3室2厅 | 105.56平米 | 南 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8ae690fc-0a30-44a5-b55b-e6f4e46e104a.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层，位于小区中间位置，视野采光好,160万,1室1厅 | 38.74平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRFmcLVS0_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，一楼带院子，单价低，总价低，诚心出售新上,445万,4室2厅 | 130.15平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_11QDfjDdk_1.jpg.296x216.jpg
20201223,浦东,川沙,翔川家园 4室1厅 南新上,650万,4室1厅 | 98.96平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DHrzpnrtb_1.jpg.296x216.jpg
20201223,浦东,川沙,02年 超大三房 房型正气 满五唯一 地铁600米,600万,3室2厅 | 150平米 | 南 北 | 精装 | 低楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/232b6b31-0519-430a-9e14-ac29e87e5214_1000.jpg.296x216.jpg
20201223,浦东,川沙,南北户型，光线好，满五年，自住装修房主自荐,220万,2室2厅 | 65.79平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_idoBWWF9C_1.jpg.296x216.jpg
20201223,浦东,川沙,和憬电梯2房88平，南北通户型，精装修满五唯一,425万,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共8层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d30e3ae2-803a-469e-b11a-bae61e9dda22_1000.jpg.296x216.jpg
20201223,浦东,川沙,新德五村两房，全明户型，房型方正，业主诚意出售,218万,2室1厅 | 58.12平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r709PEex1_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，户型方正，2房朝南，房主自荐,230万,2室1厅 | 70.52平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b083ea18-8985-4345-a736-478d7be3df37_1000.jpg.296x216.jpg
20201223,浦东,川沙,精装两房，全明，动静结合，客厅带阳台,320万,2室1厅 | 80.65平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g363nGCW8_1.jpg.296x216.jpg
20201223,浦东,川沙,精装三房 户型方正 诚心出售 随时看房 价格可谈房主自荐,345万,3室2厅 | 112.71平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GnSazbs2B_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层，满五唯一，没有个税，交通便利,235万,2室1厅 | 55.1平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/997225e2-2086-4ba4-a947-2835ba0232b0_1000.jpg.296x216.jpg
20201223,浦东,川沙,园西一楼带双天井，户型方正地铁2号线，已改两房两卫,283万,2室1厅 | 63.97平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1RXYD5KCd_1.jpg.296x216.jpg
20201223,浦东,川沙,低楼层，户型正，适合老人，刚需房主自荐,305万,2室2厅 | 85平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ee99cfb8-fe12-4549-a76a-fd3d17f27f1b_1000.jpg.296x216.jpg
20201223,浦东,川沙,五三+可谈+满五唯一+单价总价双低+户型全明且正气房主自荐,216万,2室1厅 | 63.12平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b09c395a-60c1-4b25-a9fb-f86c9c9e5cb2_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房 满五唯一，税费少，带大花园,432万,2室2厅 | 108平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/08327fc7-321c-48b0-b461-2bec79589793_1000.jpg.296x216.jpg
20201223,浦东,川沙,该房源为2002年的商品房 小区环境优美,588万,5室2厅 | 130平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1mfHphhv5_1.jpg.296x216.jpg
20201223,浦东,川沙,简装一房 免增值税和个税 圆西三梯队房龄新随时看,233万,1室1厅 | 51.97平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HQfvbw103_1.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁大三房，户型布局合理，诚意出售房主自荐,475万,3室1厅 | 103.45平米 | 南 | 毛坯 | 高楼层(共6层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23VAVLfsM_1.jpg.296x216.jpg
20201223,浦东,川沙,近华夏东路地铁站 3房朝南采光好 成熟社区生活便利,390万,3室2厅 | 103.22平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uFTaehHME_1.jpg.296x216.jpg
20201223,浦东,川沙,房龄新 满五唯一 有电梯 精装修双房朝南 南北双阳台,490万,2室2厅 | 88.42平米 | 南 | 精装 | 低楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wY2vjDDuC_1.jpg.296x216.jpg
20201223,浦东,川沙,诚心出售，南北格局好，采光充足，配套设施齐全.房主自荐,318万,3室2厅 | 85.4平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d9GsS2es1_1.jpg.296x216.jpg
20201223,浦东,川沙,诚心出售，南北格局好，楼层好采光充足，配套设施齐全房主自荐,247万,2室1厅 | 64.27平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YzYPPk5z9_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修小两房，刚需客必看好房。,215万,2室1厅 | 54.17平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iL5U8aXtX_1.jpg.296x216.jpg
20201223,浦东,川沙,品质小区电梯好楼层，精装修拎包入住，华夏西校未用房主自荐,600万,2室1厅 | 95平米 | 南 | 精装 | 中楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GEnJHjQnA_1.jpg.296x216.jpg
20201223,浦东,川沙,次新房 舒馨北苑，园西，适宜老幼居住,240万,1室1厅 | 56.17平米 | 南 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1e3f2e5f-2909-4d82-8e22-f51f3ad77f4e.jpg.296x216.jpg
20201223,浦东,川沙,小区位置好，南北通格局好，采光充足，带双天井,310万,2室2厅 | 76.3平米 | 南 | 精装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e205083-7251-4dc3-8038-a80a555eb247_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，带露台税费少，使用面积大，采光好,350万,2室1厅 | 82.19平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2133ba8f-3870-4c33-87a1-75c1c007ad3e_1000.jpg.296x216.jpg
20201223,浦东,川沙,和憬家园，09年商品房，满五年，户型方正，环境优美房主自荐,420万,2室2厅 | 87.76平米 | 南 | 毛坯 | 低楼层(共8层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_dHkQeic6H_1.jpg.296x216.jpg
20201223,浦东,川沙,采光好，户型好，近地铁，便宜，诚意出售,303万,2室1厅 | 80.44平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6be6b515-78ed-4340-8db3-f60b752b377b.jpg.296x216.jpg
20201223,浦东,川沙,南北通格局，精装修。电梯房中间楼层。拎包入住。,440万,2室1厅 | 108.53平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b19f1efb-7982-4067-afe1-830b17d26a4d_1000.jpg.296x216.jpg
20201223,浦东,川沙,诚心出售2房，2房朝南，全明户型，主卧带阳台，看房约,281万,2室1厅 | 75.48平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Du8FqcV8E_1.jpg.296x216.jpg
20201223,浦东,川沙,房子是小两房，实用！交通便捷，各大公交门口房主自荐,236万,2室1厅 | 64.27平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/84ce9d96-75cf-4268-844e-eb6c36477033_1000.jpg.296x216.jpg
20201223,浦东,川沙,新德路506弄 满五年不唯一  户型两房南 2号线房主自荐,380万,3室2厅 | 118.32平米 | 东南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3Gd9KjvTl_1.jpg.296x216.jpg
20201223,浦东,川沙,云川小区 婚房装修 南北通透 房东置换 诚售,345万,2室1厅 | 90.97平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hqhDfjIKM_1.jpg.296x216.jpg
20201223,浦东,川沙,珠光苑 地铁3房 置换诚心出售 高区采光好,550万,3室2厅 | 135.2平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6455dc33-651b-4975-aefe-6f9b7f850c71.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一，税费少，全明户型！精装修，拎包入住房主自荐,238万,2室1厅 | 68.18平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/135d76d4-40d4-44c1-8833-5db0b4116f5d_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房小区中间位置，安静，采光好，户型方正。,500万,2室2厅 | 112.82平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8ce095a7-d46e-46a2-bf1c-22864038fe07.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一 生活配套齐全 楼层高 采光好 随时可看,350万,3室1厅 | 107.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/03e85a13-cfa6-46e3-9e21-1e4d4264f69e_1000.jpg.296x216.jpg
20201223,浦东,川沙,华夏东路地铁1000m 原户型两房，118路，徐川专线,255万,2室1厅 | 61.6平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ADT5d2INC_1.jpg.296x216.jpg
20201223,浦东,川沙,晴川佳苑+六楼带阁楼，简单装修11年房龄  小区中间位房主自荐,530万,3室2厅 | 121.34平米 | 南 | 简装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/98b06431-36e3-41e9-93eb-1e19e1447b8f_1000.jpg.296x216.jpg
20201223,浦东,川沙,房型正气，楼距宽采光充足，内部配套设施齐全,348万,2室2厅 | 89.11平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1a597f65-b040-4b57-87a7-9b697da0b13d_1000.jpg.296x216.jpg
20201223,浦东,川沙,全明户型 满五唯一 免个税 采光好,350万,2室2厅 | 89.75平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6b85ecda-fb3d-4976-9ece-04e1c04382f2_1000.jpg.296x216.jpg
20201223,浦东,川沙,2000年一手动迁满五唯一大三房精装修顶楼带阁楼出售房主自荐,624万,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2057cb5c-226d-4d5e-8fde-532f9b4a9f24_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，近地铁，户型好，采光好,295万,3室1厅 | 89.4平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9d568ea9-2fab-4a4a-8e07-8fa81ed3b3ea_1000.jpg.296x216.jpg
20201223,浦东,川沙,园西二居 笋盘 中间楼层 房东诚心出售 看房提前联系房主自荐,214万,2室1厅 | 47平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/668f3e5a-b83f-4fe4-8db6-b07009a48fd2_1000.jpg.296x216.jpg
20201223,浦东,川沙,瀚龙苑新出小户型 带电梯 小区花园位置 品质小区,275万,1室1厅 | 62.46平米 | 南 | 毛坯 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q3tKXQ40r_1.jpg.296x216.jpg
20201223,浦东,川沙,2002年商品房+电梯房+满五唯一+没有个税房主自荐,386万,3室2厅 | 103.17平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/aa2fb166-6a51-4831-831b-6a52259c5f8d_1000.jpg.296x216.jpg
20201223,浦东,川沙,新川路742弄，满五唯一，自住装修，看房放方便。房主自荐,260万,2室1厅 | 73.36平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zACXErO8u_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁大两房 双房朝南中间楼层 业主诚意出售,340万,2室1厅 | 84.47平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O3Btv8Zid_1.jpg.296x216.jpg
20201223,浦东,川沙,户型方正，交通便利，视野好。适合一家人居住,315万,2室1厅 | 76.13平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ly4kg87Lf_1.jpg.296x216.jpg
20201223,浦东,川沙,申华公寓  业主精装自住三房 诚心出售 看房随时,380万,3室1厅 | 114.85平米 | 南 西北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rD1yanmgg_1.jpg.296x216.jpg
20201223,浦东,川沙,鑫龙佳苑 2室1厅 南,305万,2室1厅 | 86.79平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WTmtz2vWJ_1.jpg.296x216.jpg
20201223,浦东,川沙,象屿鼎城品质商品房，70年产权 ，得房率高，人车分流,750万,3室2厅 | 119.37平米 | 南 北 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5lYRSUakS_1.jpg.296x216.jpg
20201223,浦东,川沙,舒馨北苑+六楼带阁楼，小区中位置，风景好，税费少房主自荐,245万,1室1厅 | 52.35平米 | 南 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G8tIVg3jv_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一 自住装修 可直接拎包入住房主自荐,250万,2室2厅 | 73.68平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rv34yZFWB_1.jpg.296x216.jpg
20201223,浦东,川沙,沙田公寓 诚意出售 配套丰富 交通便利房主自荐,320万,3室1厅 | 87.71平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yIzyjJTSw_1.jpg.296x216.jpg
20201223,浦东,川沙,12年电梯房，小区中间位置，配套齐全，即买即租看房约房主自荐,285万,1室1厅 | 55.07平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rutt6lYDV_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，自住装修，一楼带双天井。房主自荐,265万,2室1厅 | 70.36平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bKqUnAKJ2_1.jpg.296x216.jpg
20201223,浦东,川沙,此房小区中间位置 环境优美 户型房正 刚需置业,220万,1室1厅 | 54.92平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Trwb6wAGV_1.jpg.296x216.jpg
20201223,浦东,川沙,小三房，单价低，户型正气，采光无影响房主自荐,325万,3室1厅 | 86.8平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mEPVglO0s_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修大三房带天井 南北通 近地铁、配套齐房主自荐,490万,3室2厅 | 106.87平米 | 南 | 精装 | 低楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b3cA2z5LY_1.jpg.296x216.jpg
20201223,浦东,川沙,该房满五楼层好楼距宽采光充足，内部配套设施齐全。房主自荐,290万,2室2厅 | 75.39平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j2WLypiI6_1.jpg.296x216.jpg
