20201223,普陀,桃浦,新杨和苑 2室2厅 南必看好房,334万,2室2厅 | 92.86平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Fw1bFBzo_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁，环境好，采光好，户型方正。房主自荐,530万,3室2厅 | 117.24平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dd21007d-7765-4a81-92aa-d086cf10de7a_1000.jpg.296x216.jpg
20201223,普陀,桃浦,一手动迁，税费少，南北通，户型方正,精装修,330万,2室2厅 | 77.58平米 | 南 | 精装 | 低楼层(共25层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62147865-e365-4d45-9aa1-174aad59d657_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一+精装修+中楼层+产权清晰,275万,2室1厅 | 62.03平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/08893913-1044-4563-a86c-eee09e238682_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦二村永汇新苑 1室1厅 南,245万,1室1厅 | 53.53平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c385f684-9fdc-4d10-82bd-160714be2781_1000.jpg.296x216.jpg
20201223,普陀,桃浦,一楼带天井，交通便利，诚意出售，看房方便,200万,2室0厅 | 46.52平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0feadec7-de5b-4db8-b096-6d0317176a74_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦赤手小区，全明，网红装修，交通出行自房主自荐,166万,1室1厅 | 41.71平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_jvXSmw21O_1.jpg.296x216.jpg
20201223,普陀,桃浦,不靠马路，小区位置好，全明户型，三楼，11号线300米,315万,2室1厅 | 61.42平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8ba63992-31f9-4955-a892-e25fea39fcf2.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦十村（紫藤苑小区白丽路701弄） 1室0厅 南,145万,1室0厅 | 32.78平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/19f96a58-b895-47f8-b68f-081c6d1cc30b_1000.jpg.296x216.jpg
20201223,普陀,桃浦,售后公房，税费少，全明户型，全新装修可拎包入住房主自荐,304万,2室1厅 | 79.65平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mrMfoDSch.jpg.296x216.jpg
20201223,普陀,桃浦,婚房装修一年多，自己基本没怎么住过，完全拎包入住的房主自荐,228万,1室1厅 | 47.63平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U5NguUy6q_1.jpg.296x216.jpg
20201223,普陀,桃浦,ATTENTION！！！桃浦不可错过的优质好房！！！房主自荐,236万,1室1厅 | 57.06平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b0e949cd-c863-43f6-9be1-100058ecfae4_1000.jpg.296x216.jpg
20201223,普陀,桃浦,采光太耀眼的房子   欢迎实地来看   诚意出售,205万,2室1厅 | 54.1平米 | 南 北 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3cb9ac66-496e-465c-b4a4-dea6bf72b0f9_1000.jpg.296x216.jpg
20201223,普陀,桃浦,总价低 低楼层 房型方正 采光好   业主诚心卖房主自荐,178万,1室1厅 | 43.79平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cef97e0f-c7bd-4108-8ab9-39a906942535_1000.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁 小区环境好 繁华商圈 居住舒适 看房方便,153万,1室1厅 | 35.55平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cl8taf7gb.jpg.296x216.jpg
20201223,普陀,桃浦,房子满五年，南北通透，采光和通风很好。房主自荐,566万,2室2厅 | 106.95平米 | 南 北 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8a1b94c5-7678-40b1-a3b2-3b62cc3910e0_1000.jpg.296x216.jpg
20201223,普陀,桃浦,大露台，采光好，满五唯一，看房方便,160万,1室0厅 | 35.01平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8d91c038-7526-45b7-9b29-82583be16fe6_1000.jpg.296x216.jpg
20201223,普陀,桃浦,三开间朝南，精装修，动迁房无增值税，小区环境好,420万,3室2厅 | 120.94平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a4f6f972-9349-42c6-81a7-73650079e07b.jpg.296x216.jpg
20201223,普陀,桃浦,普陀区+三室两厅精装+改善型住宅+税费低+单价低,420万,3室2厅 | 120.94平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_uuEI55Ucl_1.jpg.296x216.jpg
20201223,普陀,桃浦,环境佳、品质住宅、低税费满五唯一、生活交通便利,368万,2室1厅 | 93.16平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yVcdpsMeq_1.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦十村 一楼带天井 已搭好 售后公房 诚意出售,256万,2室1厅 | 57.6平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nkqOwVwd5_1.jpg.296x216.jpg
20201223,普陀,桃浦,低楼层带天井，边套，户型好，配套完善，交通便利,230万,2室1厅 | 52.38平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b066e970-3791-45cc-832d-3c27fef87ae1_1000.jpg.296x216.jpg
20201223,普陀,桃浦,低楼层，大面积，位置好，业主诚意出售·房主自荐,222万,2室1厅 | 52.15平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BM0oYz29k_1.jpg.296x216.jpg
20201223,普陀,桃浦,一家人居住，空间大，格局好，精装三房！！房主自荐,480万,3室2厅 | 121.82平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b5e6ac86-e3e2-404e-9c61-227aa0179a2c_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，看房方便，全明户型，户型方正房主自荐,270万,2室1厅 | 66.94平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/96bce8b6-ad6e-4fd0-a71d-47d4fc8f7ad4_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦一村海棠苑   南北全明两房  中等装修  诚意出售房主自荐,299万,2室2厅 | 72.29平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sTL7KlpGu_1.jpg.296x216.jpg
20201223,普陀,桃浦,精装修保养好·一楼带天井·业主诚心出售,225万,2室0厅 | 48.62平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6d5ea1fc-06ae-47c3-9359-273fba8ab74a_1000.jpg.296x216.jpg
20201223,普陀,桃浦,大三房  精装修 采光好  环境美丽，沿河公园,588万,3室2厅 | 131.63平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f65b7c7f-ed32-4a9e-8522-379084289bb4_1000.jpg.296x216.jpg
20201223,普陀,桃浦,底楼双南双天井  一梯二户！！房主自荐,275万,2室1厅 | 62.26平米 | 南 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/caf474df-49c1-4557-8c68-f71fe98cf7c1_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，看房方便，近地铁，带装修，全明户型房主自荐,273万,2室1厅 | 63.79平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UgAD71XuW.jpg.296x216.jpg
20201223,普陀,桃浦,新好房来袭，满五唯一，地铁就在家门口房主自荐,188万,2室1厅 | 49.76平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bbTkXncrt.jpg.296x216.jpg
20201223,普陀,桃浦,边套全明。采光好，小区环境好近地铁。楼栋位置好,212万,2室1厅 | 53平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b0b26658-55f2-46a8-95d2-58586126ad77_1000.jpg.296x216.jpg
20201223,普陀,桃浦,中楼层，双南两房，品质小区，全明户型，看房方便房主自荐,289万,2室1厅 | 68.29平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4acfd998-6889-4f59-a15d-71e9e8b363bc_1000.jpg.296x216.jpg
20201223,普陀,桃浦,此房为普通住宅，户型方正得房率高，采光充足诚意出售,178万,1室1厅 | 42.59平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wyQc7zXLL_1.jpg.296x216.jpg
20201223,普陀,桃浦,售后公房 满五唯一 房东诚售 近地铁房主自荐,234万,2室1厅 | 54.72平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/352163af-afd8-4768-95b9-e5e54a9f2072_1000.jpg.296x216.jpg
20201223,普陀,桃浦,您要的安居复式出现啦！！！快来看吧！！！房主自荐,535万,3室2厅 | 131.31平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/99088143-d1a8-44b4-84e4-745b7a4e6025_1000.jpg.296x216.jpg
20201223,普陀,桃浦,售后公房，桃浦十村刚需低总价三房,315万,3室1厅 | 77.36平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4c96b6a7-9bd7-4533-8143-8c59aa1782da_1000.jpg.296x216.jpg
20201223,普陀,桃浦,中环边大一房  满五唯一税费少 采光充足无遮挡,235万,1室1厅 | 47.63平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b41525f8-8c0b-4388-8150-35fd77b593bb_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五年不唯一。房东诚意出售。采光充足。房主自荐,285万,3室1厅 | 80.7平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5a9afc1a-8e70-4142-83bf-3852f7583565.jpg.296x216.jpg
20201223,普陀,桃浦,本房是边套，中间楼层采光好，全明，舒适宜人房主自荐,179万,1室1厅 | 43.77平米 | 西 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iC9YB512J_1.jpg.296x216.jpg
20201223,普陀,桃浦,尊客留步 阳光水岸苑 南北两房有2阳台的房子在这里,390万,2室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共16层) | 2011年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-d3e03b1b-78f6-41a0-9114-d0cf369b27af.png.296x216.jpg
20201223,普陀,桃浦,中环名品公馆 5室2厅 南 北,1450万,5室2厅 | 139.58平米 | 南 北 | 精装 | 中楼层(共31层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kLowwpDUs_1.jpg.296x216.jpg
20201223,普陀,桃浦,杨桥第一小区 1室1厅 南,264万,1室1厅 | 47.79平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-e4f1b122-300c-4fbb-9814-6ecbd63dd665.png.296x216.jpg
20201223,普陀,桃浦,桃浦排名无法飞跃小区，全明，近地铁房主自荐,173万,1室1厅 | 44.91平米 | 南 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ee2535b1-0488-42e9-822b-9d560d7c124f_1000.jpg.296x216.jpg
20201223,普陀,桃浦,小区车位多，诚心出售，采光通风视野好,195万,1室1厅 | 45.61平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/83cff191-0083-4227-91a7-d4e12113f1f5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,南北两房  楼层好 小区近地铁仅马路之隔房主自荐,215万,2室1厅 | 53.79平米 | 南 | 精装 | 中楼层(共5层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c570fd07-d6c9-4713-8d52-9889e41f5379_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满二唯一，邻地铁，生活便利小区环境良好，低层好房房主自荐,215万,1室1厅 | 53.53平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fdec1f03-6d7e-46d2-9d1c-b248b7ea0733.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一税少，到地铁400米左右，看房随时业主诚意卖,180万,1室1厅 | 43.31平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8urtFo3sm_1.jpg.296x216.jpg
20201223,普陀,桃浦,诚意出售，希望找到有缘人居住，诚意出售，到价签字房主自荐,188万,2室1厅 | 50.35平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ANw4omhwJ.jpg.296x216.jpg
20201223,普陀,桃浦,此房距离地铁李子园400米左右，中楼层，诚意出售房主自荐,226万,1室1厅 | 43.61平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b0wrCqSol_1.jpg.296x216.jpg
20201223,普陀,桃浦,2011年商品电梯房 花园式小区 景观好 桃浦顶呱呱,425万,2室2厅 | 91.1平米 | 西南 | 简装 | 低楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_imbofMUZo_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一 单价总价低 配套齐全，交通方便，还看什么？,260万,2室1厅 | 62.46平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ApzFaRQJh_1.jpg.296x216.jpg
20201223,普陀,桃浦,杨桥第一小区 3室1厅 南,338万,3室1厅 | 70.42平米 | 南 | 其他 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dpfs2rEgJ_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一 精装修自住 格局规整 双南户型 采光好房主自荐,245万,2室1厅 | 64.48平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NHHjf1Qwt_1.jpg.296x216.jpg
20201223,普陀,桃浦,中楼层电梯房，楼层好户型佳，业主诚心出售房主自荐,253万,1室1厅 | 62.14平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PMbkTFRj8_1.jpg.296x216.jpg
20201223,普陀,桃浦,花园式小区，精装修拎包入住，近地铁公交，配套齐全,255万,2室1厅 | 63.91平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e2e58b8f-a4b0-4e91-be29-3004c074295d_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，采光好无遮挡，边套全明户型,285万,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qYVxjPNve_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁  经典大两房户型 楼层好 房东诚意卖,290万,2室1厅 | 73.95平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7LXF3yaXf_1.jpg.296x216.jpg
20201223,普陀,桃浦,低总价 边套 小两房 不能错过！！,200万,2室1厅 | 50.66平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VVWoSe0tL.jpg.296x216.jpg
20201223,普陀,桃浦,此房售后公房，无增值税，满五唯一，业主诚意出售房主自荐,244万,2室1厅 | 60.86平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4IWHE5m0f_1.jpg.296x216.jpg
20201223,普陀,桃浦,独栋双南两房，厨房带窗，带装修,202万,2室1厅 | 49.78平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d3406f8d-60a3-4f6c-82ba-e568eeafe4f8_1000.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁，高成交量明星小区，精装中楼层小户型,169万,1室1厅 | 42.18平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_68DY2VOwA_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，近地铁，楼层位置佳，采光好房主自荐,245万,2室1厅 | 61.2平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JYONyGnsf_1.jpg.296x216.jpg
20201223,普陀,桃浦,中间楼层边套带窗的房子，心动吗~心动就过来看看吧房主自荐,254万,2室1厅 | 57.91平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d21cd301-1706-4a10-9884-109f4cf932bb_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，非顶楼，采光好，业主诚意出售！,203万,2室0厅 | 50.05平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1677d987-145c-4a61-893a-90bca8ea2b3a_1000.jpg.296x216.jpg
20201223,普陀,桃浦,杨桥第一小区 2室1厅 南,315万,2室1厅 | 60.98平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BLM74apVi_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，精装一房，采光好，家具家电全有房主自荐,168万,1室1厅 | 42.04平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fb4cf5b9-1598-4082-a789-9923e99c08e5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁，出门就是街道，出行购物方便,163万,1室1厅 | 39.41平米 | 南 | 简装 | 高楼层(共5层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/053c69e7-3d5f-4bcf-93b8-a53e494c14c0_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五不唯一，环境好，小区重新翻新中，沿河而建,190万,1室1厅 | 46平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/490136e8-01c4-4b26-ba6e-71c1338335bb_1000.jpg.296x216.jpg
20201223,普陀,桃浦,地铁口精装修 楼层好 配套齐全  拎包入住,292万,1室1厅 | 57.93平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B7s8FCjsJ_1.jpg.296x216.jpg
20201223,普陀,桃浦,地铁口的一房一厅 理想中家的模样~,190万,1室1厅 | 47.63平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nR9mXPhDb_1.jpg.296x216.jpg
20201223,普陀,桃浦,户型方正，近地铁，配套成熟，交通便利,260万,2室1厅 | 64.98平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ff2c31a6-bae1-4a30-b84d-4daab3d5a4c5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦新村+两室两厅+新小区+电梯房+单价低,358万,2室2厅 | 94.96平米 | 南 | 简装 | 中楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_twqGNttgI_1.jpg.296x216.jpg
20201223,普陀,桃浦,自如简约装修，一手动迁，税费低,252万,1室1厅 | 61.57平米 | 南 | 简装 | 低楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_twkpixDGl_1.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦一村合欢苑 1室1厅 南,177万,1室1厅 | 39.41平米 | 南 | 毛坯 | 高楼层(共5层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x7xT0TXyJ.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁门口公交站 采光好 看房方便,157万,1室1厅 | 35平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YNnd66e1Z.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一,产权清晰,位置好业主诚意出售,190万,2室1厅 | 48.42平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ddc46028-a5a5-4f76-9f2e-ed116b45e597_1000.jpg.296x216.jpg
20201223,普陀,桃浦,售后公房，满五唯一，带花园，近地铁，看房方便,268万,2室1厅 | 57.8平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lDdlcbWz4_1.jpg.296x216.jpg
20201223,普陀,桃浦,万蝶纷飞                         沐浴阳光,215万,2室1厅 | 47.92平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7e3fd786-6504-4fad-ae00-44bf6ac64d71_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦一村海棠苑 中间楼层 双南两房 诚意出售,268万,2室1厅 | 64.09平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2f99b856-0d8a-4f25-9399-d6c286db0484_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦网红小户型楼盘！满五唯一！业主诚心出售！,162万,1室1厅 | 41.15平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H0g4BT1Ps.jpg.296x216.jpg
20201223,普陀,桃浦,尊客留步！带100平以上大露台，36W精装修可拎包入住~,245万,2室1厅 | 53.92平米 | 南 | 精装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/59f4e650-4cce-4c19-bade-3a6c517222ff_1000.jpg.296x216.jpg
20201223,普陀,桃浦,Only 品质地铁小户型，采光巨佳，税费少welcome房主自荐,179万,1室1厅 | 44.91平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/87b2ab2b-5343-4d28-a922-e3f9a2daf62a_1000.jpg.296x216.jpg
20201223,普陀,桃浦,11号线桃浦 电梯高层  此房属于一手动迁，无增值税,395万,2室2厅 | 90.79平米 | 南 | 毛坯 | 中楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_dP4aUup4o_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁，配套成熟，两房全明，看房随时房主自荐,220万,2室1厅 | 57.05平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kMVef7EaB_1.jpg.296x216.jpg
20201223,普陀,桃浦,南北两室户 已满五年  简单装修小区离地铁一路之隔,235万,2室1厅 | 65.29平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xUTxUdy1a_1.jpg.296x216.jpg
20201223,普陀,桃浦,着急出售，近地铁，一梯两户，采光通风好！房主自荐,150万,1室0厅 | 37.41平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1c121eeb-d956-49d9-a7f3-a31a6af18469_1000.jpg.296x216.jpg
20201223,普陀,桃浦,楼层好，边套户型，地铁11号线，交通便利房主自荐,154万,1室1厅 | 37.36平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/395f6128-cfbe-4c37-8542-d7791fa8da6b_1000.jpg.296x216.jpg
20201223,普陀,桃浦,精装小户型，中楼层，总价低，税费少,150万,1室0厅 | 33.33平米 | 南 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/efedbb47-52e2-497c-8d4b-0676bf5d8f26_1000.jpg.296x216.jpg
20201223,普陀,桃浦,精装修,位置好,产权清晰,拎包入住,160万,1室0厅 | 37.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/92435e0b-e635-4eef-87ae-ef9d0e25af32_1000.jpg.296x216.jpg
20201223,普陀,桃浦,十村低楼层优质好房推荐，满五唯一税费低,172万,1室1厅 | 42.05平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BnL1UA0A5_1.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦一村合欢苑，采光好，诚意出售房主自荐,250万,2室1厅 | 69.37平米 | 南 | 简装 | 高楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5e0036b3-8076-4be0-b581-3a01710b6fd6.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一 优质小区 产权清晰 南北通风,193万,1室1厅 | 40.65平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LpaMtU2Ei_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，楼层好，采光通风效果好房主自荐,260万,2室1厅 | 63.1平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/439d1d0c-4f56-437f-8957-05b018248808_1000.jpg.296x216.jpg
20201223,普陀,桃浦,精装修电梯一房，阳台无遮挡，采光好房主自荐,258万,1室1厅 | 62.67平米 | 南 | 精装 | 低楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-d7dc33ba-8ee3-48d8-a65c-8dd380926bde.png.296x216.jpg
20201223,普陀,桃浦,桃浦新村 房子两间朝南，户型方正，采光好。房主自荐,215万,2室1厅 | 54.92平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cTea0DRhu_1.jpg.296x216.jpg
20201223,普陀,桃浦,视野采光好，单价低 ，适合刚需客户居住 。,155万,1室1厅 | 43.41平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-117f0cf8-e05b-4abc-9906-8fad2039c7dd.jpg.296x216.jpg
