20201223,杨浦,中原,店长推荐独栋全明户型，配套齐全必看好房,317万,2室1厅 | 60.84平米 | 东南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ce7afd1-058d-4ed5-9cb8-85faeadd665f_1000.jpg.296x216.jpg
20201223,杨浦,中原,地铁口+南北通+满五唯一+美丽家园+置换诚售房主自荐,328万,2室1厅 | 57.83平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GloLPRF6f_1.jpg.296x216.jpg
20201223,杨浦,中原,享受清晨的D一缕阳光 地铁 04年商品房,780万,3室2厅 | 135.2平米 | 南 | 简装 | 高楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/43a1df98-1bf8-4c28-9d3a-ae024ce5e50e_1000.jpg.296x216.jpg
20201223,杨浦,中原,2000年，一梯两户 中间楼层  全明户型 满五唯一房主自荐,755万,3室2厅 | 108.97平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c62d5468-940f-4a61-a4c5-acbb4456631b_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南两房,低楼层,精装修,通风采光俱佳,375万,2室1厅 | 67.61平米 | 南 | 精装 | 低楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Vjs2H6taw_1.jpg.296x216.jpg
20201223,杨浦,中原,国和一村 2室1厅 南,415万,2室1厅 | 67.08平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_byv3cPFDr_1.jpg.296x216.jpg
20201223,杨浦,中原,有格调的家+次新小区复式+阁楼层高两米+满五唯一,380万,3室0厅 | 33.73平米 | 南 | 精装 | 低楼层(共15层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aOeAuUIlr_1.jpg.296x216.jpg
20201223,杨浦,中原,好楼层+一梯两户+精装修+户型正+安静不靠马路新上,315万,2室1厅 | 53平米 | 南 | 其他 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c74e9416-58a9-43cc-b4a7-dfb6dc3bf103_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光一村 2室1厅 南 北新上,330万,2室1厅 | 55.05平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bf1b55fb-1e2a-4068-bbe8-ed2a95d5d431_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁五村 1室1厅 南新上,231万,1室1厅 | 47.31平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da322b97-f88d-44cc-970f-fcc46ae9fd45_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，售后公房，近地铁，近商城，配套齐全,338万,2室1厅 | 55.73平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03f549f7-03c1-450a-9eb0-a69ceee5e5f3_1000.jpg.296x216.jpg
20201223,杨浦,中原,国和一村精装修中楼层业主诚意出售房主自荐,356万,2室1厅 | 73.05平米 | 南 西 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AAPTQfYkP_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一的售后公房，产权明晰，无抵押，无贷款。房主自荐,210万,1室1厅 | 52.61平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3f4355e8-5967-492f-89c3-004b5f28161d_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北通透格局，通风好，采光佳，诚意出售房主自荐,255万,2室1厅 | 50.73平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d70acad6-1e33-4aa7-8ed1-43be2aeee668_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 厅房同宽 近地铁 小花园 视野好房主自荐,224万,1室1厅 | 43.65平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2f819a66-4be8-44f5-bf2e-cac7f98bd73b_1000.jpg.296x216.jpg
20201223,杨浦,中原,配套齐全 欧尚 太平洋 地铁 医院 近在咫尺 产权清晰房主自荐,368万,2室1厅 | 78.73平米 | 西 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VWNk9exlK_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 产权清晰 配套齐全 近地铁,299万,2室1厅 | 53.43平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b1d5e6c0-aa56-46fe-bfc0-a554b2cdf787_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，高楼层，采光好，位置好房主自荐,385万,2室1厅 | 69.6平米 | 南 北 | 精装 | 高楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/ac63359a-11b6-4b67-ad03-b7687ff7b56d_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型，阳光满屋，婚房装修带大阁楼房主自荐,309万,2室0厅 | 51.16平米 | 南 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/08819821-d727-4f8d-9d07-3a024f44b7ea_1000.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼 正气户型  满五唯一 视野好 采光充足 交通方便房主自荐,203万,1室1厅 | 41.51平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8a08970c-4d4b-40e4-92dc-80f480d359e5_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁 婚房装修 南北户型 视野采光好 户型合理房主自荐,295万,2室1厅 | 53.57平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae25eb0f-e55b-4124-bc55-94cfc4d694d9_1000.jpg.296x216.jpg
20201223,杨浦,中原,复式三房两厅两卫 近市光路站 装修耗资超半百房主自荐,455万,3室2厅 | 75.98平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a34e7fcd-8c89-4e61-93b0-14223feaf820_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，六一，楼层不错，厅房同宽，地理位置优越,202万,1室0厅 | 37.43平米 | 南 | 毛坯 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fff7ff07-24d2-4ab0-bb48-52da2f254590_1000.jpg.296x216.jpg
20201223,杨浦,中原,边套全明的南北两房，满五唯一，采光充足房主自荐,280万,2室1厅 | 57.14平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/92805a2f-c2a4-4526-a47b-0720fd0bac5a_1000.jpg.296x216.jpg
20201223,杨浦,中原,中原板块低楼层两室户，边套全明，自带小花园,274万,2室1厅 | 48.42平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c35c3eb0-68fc-4845-b3b7-cc3f51a54c18_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，楼层好，无遮挡，采光充足,248万,2室0厅 | 49.09平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b2c02e3d-006b-45e5-a6cb-a2483a34b1c4_1000.jpg.296x216.jpg
20201223,杨浦,中原,楼层好  使用面积大 采光好 无遮挡房主自荐,345万,2室1厅 | 55.38平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rU8YO1Uaw_1.jpg.296x216.jpg
20201223,杨浦,中原,春岚苑 2室1厅 南 北,685万,2室1厅 | 94.42平米 | 南 北 | 精装 | 中楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/50bb8d1c-4fc2-4eb3-8e03-1f557d19a477_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁三村 1室1厅 南,203万,1室1厅 | 42平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/91488c98-283f-4770-94d1-7c018803b668_1000.jpg.296x216.jpg
20201223,杨浦,中原,中楼层  电梯一室一厅 无遮挡  采光好房主自荐,242万,1室1厅 | 41平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3c30e394-87d1-4602-a208-1a0631c45629_1000.jpg.296x216.jpg
20201223,杨浦,中原,民星路一室一厅 中层随时好看 适合老年人居住,210万,1室1厅 | 37.8平米 | 南 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c6a6ca16-960d-4218-b0fd-6b0464aff957_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 边套 楼层低 独栋 无遮挡,338万,2室1厅 | 57.7平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e537dcc-e9a1-4b16-ad40-f0a692c701d9_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 1室1厅 南,203万,1室1厅 | 41.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fcb3b0f7-705f-410e-9dea-c0fee1d88cbc_1000.jpg.296x216.jpg
20201223,杨浦,中原,新江湾城总价蕞低的电梯两房，无增值税,610万,2室1厅 | 83.91平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fIR2mejvE.jpg.296x216.jpg
20201223,杨浦,中原,房型正气，精装复式，小区次新房，小区环境好，房主自荐,430万,1室1厅 | 54.85平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_46uBotk1z_1.jpg.296x216.jpg
20201223,杨浦,中原,近地铁8号线，交通便利，配套齐全，精装2房，,285万,2室1厅 | 53.17平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rlVctsmqQ_1.jpg.296x216.jpg
20201223,杨浦,中原,开鲁三村 2室2厅 南 北,430万,2室2厅 | 68.83平米 | 南 北 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7L2j8gDCn_1.jpg.296x216.jpg
20201223,杨浦,中原,民京路838弄 2室2厅 南房主自荐,440万,2室2厅 | 73.64平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yEwFDGl0H_1.jpg.296x216.jpg
20201223,杨浦,中原,国和一村 2室1厅 南 北房主自荐,430万,2室1厅 | 67.9平米 | 南 北 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O4CPjNIbs_1.jpg.296x216.jpg
20201223,杨浦,中原,生活广场三房两厅两卫 南北通 满五唯一 有产权车位,910万,3室2厅 | 132.67平米 | 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6481d3bf-fc3a-440b-9e89-bae0ca299123_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，一梯两户，中楼层，通风采光好,263万,1室1厅 | 44.6平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BoVAYOTFO_1.jpg.296x216.jpg
20201223,杨浦,中原,工农四村星源花苑 2室2厅 南,650万,2室2厅 | 94.18平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9659a52d-3437-4ac9-957d-b475d9b2f030_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户，近地铁近门口 采光无遮挡 满五唯一,195万,1室1厅 | 43平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-833a1e74-f201-4233-a4a8-a44d7acc7760.jpg.296x216.jpg
20201223,杨浦,中原,顶楼精装复式+次新小区+露台阳光房+全明通透,1040万,4室2厅 | 175.71平米 | 南 | 精装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nTt1tkeYI_1.jpg.296x216.jpg
20201223,杨浦,中原,三室两厅一厨一卫，两间朝南一间朝北，大客厅朝南,790万,3室2厅 | 127.51平米 | 南 北 | 简装 | 高楼层(共4层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/67f74817-491f-4d74-bbeb-255a9b6347cf_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽，厨卫朝北，卧室朝南无遮挡，总价低,172万,1室1厅 | 35.17平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b2705f5d-9f12-4c24-8636-d7b4a9822356_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽、看房方便、靠地铁8号线,200万,1室1厅 | 40.64平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/59700129-8ed9-4f66-9407-de28bf1f957d_1000.jpg.296x216.jpg
20201223,杨浦,中原,居家装修可拎包入住！户型通透前面无遮挡，小区位置佳房主自荐,189万,1室1厅 | 36.63平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/76e3d176-315d-4d9b-935f-aefb67218410_1000.jpg.296x216.jpg
20201223,杨浦,中原,莱茵半岛 4室2厅 南,1650万,4室2厅 | 243平米 | 南 | 精装 | 高楼层(共15层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f0a78e1-14c4-4341-bc13-97b10c22e778_1000.jpg.296x216.jpg
20201223,杨浦,中原,：满五唯一，边套全明格局，自住装修，环境优美,900万,3室2厅 | 132平米 | 南 | 简装 | 低楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r0uQpREbF_1.jpg.296x216.jpg
20201223,杨浦,中原,东方名城 4室2厅 南,1260万,4室2厅 | 200.94平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6a7ba9f8-ed71-4e0b-8229-df4afa0dadad_1000.jpg.296x216.jpg
20201223,杨浦,中原,拎包入住，孩子活动的小天地，三十而已，居家选择之所,405万,2室1厅 | 75.37平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ichpmX8Z.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 1室1厅 南,239万,1室1厅 | 43.62平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12fe806b-8870-4c6d-898c-c84bdba6fd81_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修+交通便利+两房一厅+满五唯一+视野开阔+欧尚,288万,2室1厅 | 52.11平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/386511dc-7e24-4467-bec6-8ab083ce8253_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一税费少，双南全明户型通风好，带大阁楼,330万,2室1厅 | 56.66平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bec83867-368b-46bd-9cb1-8c00a584caf0_1000.jpg.296x216.jpg
20201223,杨浦,中原,一房一厅 房型正气  采光好 视野佳 交通方便,185万,1室1厅 | 37.39平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JKtu0XPxM_1.jpg.296x216.jpg
20201223,杨浦,中原,小区两房中等面积户型，楼层采光好,525万,2室2厅 | 107平米 | 南 | 简装 | 高楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2efc3f68-c187-4aba-8e44-8670e14ae8c8_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房南北对流+舒服楼层+六一学曲+满五唯一+诚意出售,330万,2室1厅 | 59.5平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fG5XPvfZ8_1.jpg.296x216.jpg
20201223,杨浦,中原,婚房装修3年，拎包入住产，权清晰，采光好，交通便利房主自荐,270万,1室1厅 | 54.89平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/33cdc52f-a3b0-45df-8cb6-254dc9423e31_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一， 户型方正，大两房带阳台，楼层好房主自荐,325万,2室1厅 | 61.71平米 | 西南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b1d470bf-a21f-43b6-bae7-9aa737f321b7_1000.jpg.296x216.jpg
20201223,杨浦,中原,独栋全明双南户型   前无遮挡   采光各方面都挺好房主自荐,320万,2室1厅 | 56.43平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1cf6e02a-ce13-4d3a-9fc5-1f4864f638f0_1000.jpg.296x216.jpg
20201223,杨浦,中原,一手动迁无增值税，小区前排无遮挡，全南户型阳光充足,345万,2室1厅 | 69.26平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/794561c7-66b2-4ede-ac6a-746f13aed95a_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五年近地铁，南北通透精装修，采光充足房主自荐,315万,2室1厅 | 55.96平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FidWue2kd.jpg.296x216.jpg
20201223,杨浦,中原,拒绝“素颜”，请看婚房豪 装+奢华客厅，地铁仅百米房主自荐,240万,1室1厅 | 43.48平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8544520b-2b25-43dd-8b8b-b7a2bec4a042_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型，通风好，6扇窗户，房间通透明亮房主自荐,185万,1室1厅 | 42.4平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qiBE8lupP_1.jpg.296x216.jpg
20201223,杨浦,中原,诚意出售，满五，全明户型，楼层合适房主自荐,230万,1室1厅 | 41.23平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0b701e54-0aec-4526-b129-0e95c3f94e81_1000.jpg.296x216.jpg
20201223,杨浦,中原,80米无遮挡楼下是花园，拎包入住，双南低楼层,382万,2室1厅 | 62.35平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/389aa566-6f06-4848-ae7d-b9d5b8c285a0_1000.jpg.296x216.jpg
20201223,杨浦,中原,地铁口+精装修+通风采光好+生活配套齐全,220万,1室1厅 | 39.12平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/021172da-5808-45f5-bcb1-89f4f56853a4_1000.jpg.296x216.jpg
20201223,杨浦,中原,电梯房，南北格局，楼层好，视野宽阔，采光充足。房主自荐,535万,2室2厅 | 107.1平米 | 南 | 简装 | 高楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7e49c5d3-fdd9-44d1-b4aa-ca37ef3b6872_1000.jpg.296x216.jpg
20201223,杨浦,中原,店长推荐：一手动迁，没增值税，南北通风，小区带车库房主自荐,365万,2室1厅 | 69.49平米 | 南 | 简装 | 中楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/37f538f1-5d41-490e-b208-39488f6feba0_1000.jpg.296x216.jpg
20201223,杨浦,中原,中原CBD经典小户型 价格实惠突出 靠欧尚 地铁,212万,1室1厅 | 39平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/19bccaf1-a223-4427-89bb-d85491834ef0_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁四村 1室1厅 南,239万,1室1厅 | 43.73平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/78f2786e-b1cc-4eed-b920-47601cf8214b_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁一村 2室1厅 西南,300万,2室1厅 | 60.89平米 | 西南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eaaa9cee-2e6b-48b6-8c4f-f4165e6b45dc_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁二村 1室1厅 南,220万,1室1厅 | 41.8平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/35bce7a7-034c-4bc0-ba1e-05f07a376c58_1000.jpg.296x216.jpg
20201223,杨浦,中原,地铁8号线+欧尚+方正户型+诚意出售+看房提前约,210万,1室0厅 | 35.27平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pLTc1P5Wd_1.jpg.296x216.jpg
20201223,杨浦,中原,工农三村 1室1厅 南房主自荐,240万,1室1厅 | 44.55平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/91bef395-2e14-4b4b-8115-c9922847ea8b_1000.jpg.296x216.jpg
20201223,杨浦,中原,六一、中楼层、长海医院，五角场杨浦图书馆，采光好房主自荐,197万,1室1厅 | 36.57平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EiSHlU3AT_1.jpg.296x216.jpg
20201223,杨浦,中原,殷行二村  精装修 阁楼已做好 房东诚意出售房主自荐,183万,2室1厅 | 32.36平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/22e6fac9-fbc7-4334-9ade-10c1016d4fa1_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，高楼层，采光和通风好，近地铁,163万,1室1厅 | 37.73平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e036b2c3-bde8-45f7-bc9c-ccf33a079cfc_1000.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼双南两房，房东诚意出售，看房方便房主自荐,318万,2室1厅 | 57.4平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KjQ0pa7s1_1.jpg.296x216.jpg
20201223,杨浦,中原,全明户型  看房方便  产权清晰满五唯一,247万,2室1厅 | 53.68平米 | 东 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uzRzb9vA3.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 1室1厅 西南,225万,1室1厅 | 43.89平米 | 西南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f125a5a5-cd0f-4124-8e4d-62290153260c_1000.jpg.296x216.jpg
20201223,杨浦,中原,户型正气，南北通，满五唯一，产权清晰，诚意出售！,230万,1室1厅 | 44.27平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WnpaXeVRK_1.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，产权清晰，楼层好，视野宽阔,290万,2室1厅 | 57.4平米 | 东南 南 东 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ac56eaf2-be96-4954-9654-6f593db5ec47_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型，精装修可拎包即住，业主诚意出售，,350万,3室1厅 | 80.21平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1ToaWIunk_1.jpg.296x216.jpg
20201223,杨浦,中原,小区环境好，南北板式户型，带地下储藏室，配套成熟,698万,2室2厅 | 101.88平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ec2a91dc-725f-4a00-bafa-b652f3303b46_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，高楼层，户型正气，产权清晰,455万,2室2厅 | 87.91平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5ygpk20ie_1.jpg.296x216.jpg
20201223,杨浦,中原,厨卫朝东、一室户正朝南、小区东门口是嫩江路地铁站,190万,1室1厅 | 40.52平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lvTcFo0XK_1.jpg.296x216.jpg
20201223,杨浦,中原,边套全明，拎包入住，诚意出售，改善生活好选择,205万,1室1厅 | 39.69平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G7d3wB9VC_1.jpg.296x216.jpg
20201223,杨浦,中原,房型正气，业主诚意售卖，近商场，近地铁，配套成熟,215万,1室1厅 | 40.72平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qm3trhltL_1.jpg.296x216.jpg
20201223,杨浦,中原,电梯房高区+采光好视野开阔+南北通风全明+近8号线地铁,450万,2室1厅 | 84.74平米 | 南 | 简装 | 高楼层(共16层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-1aeddd0b-d8b7-49d3-9d71-6a2258a209b0.jpg.296x216.jpg
20201223,杨浦,中原,单纯置换 诚意出售房子没任何问题房主自荐,179万,1室1厅 | 40.55平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-599803b5-c69a-4055-8651-b020b3d91809.jpg.296x216.jpg
20201223,杨浦,中原,出行方便，采光良好，绿化宜人，总价低房主自荐,199万,1室1厅 | 39.76平米 | 东南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cf38b4de-4fa5-43e3-ac93-4be10d9feba9_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁+厅房同宽+满五不唯一+南北通风+中楼层,200万,1室1厅 | 42.08平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fe27e615-b3c3-4aa8-8d17-b86c4b808d0a_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户 厅房同宽 全明 近地铁 近公园 诚心出售,260万,1室1厅 | 50.37平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a2b1365e-5460-426b-89b7-ce4ce29d6a11_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，户型正气，产权清晰，采光好,255万,1室1厅 | 48.52平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/faaed8fc-7271-40fa-9a9e-6911a4459182_1000.jpg.296x216.jpg
