20201223,宝山,高境,三开间朝南两房,电梯商品房,小区花园位置,采光无遮挡必看好房,565万,2室2厅 | 105.03平米 | 南 | 简装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vX4FBOF9_1.jpg.296x216.jpg
20201223,宝山,高境,美岸栖庭一楼带花园，垫高三个台阶，业主诚意出售,550万,2室2厅 | 92.53平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hfDmSp7Nb_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，产权清晰，厨卫朝北带有明窗，看房方便。房主自荐,240万,2室1厅 | 50.19平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_srbd2uffQ_1.jpg.296x216.jpg
20201223,宝山,高境,高区南北通三房，满两年，视野很好，无遮挡，诚心出售,900万,3室2厅 | 129.68平米 | 南 北 | 毛坯 | 高楼层(共24层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lXT6YzMd2_1.jpg.296x216.jpg
20201223,宝山,高境,高境二村 楼层好 满五唯一  配套齐全 交通便利,233万,1室1厅 | 46.05平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GjFIR8mY8_1.jpg.296x216.jpg
20201223,宝山,高境,3号线18号线，房子产权清晰，满五唯一，户型正气。新上,275万,1室1厅 | 46.83平米 | 南 | 精装 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fS9upn9sr_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 买入价高，税费低 南北通户型 精装修保养房主自荐,548万,2室2厅 | 94.21平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3sqpauiLq_1.jpg.296x216.jpg
20201223,宝山,高境,3号线温馨一房 中间楼层 看房方便房主自荐,265万,1室1厅 | 50.25平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VAWzFP4ja_1.jpg.296x216.jpg
20201223,宝山,高境,高境一村 精装两房 楼层好 视野开阔 配套设施齐全房主自荐,340万,2室1厅 | 66.38平米 | 南 北 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j2e1cvw4P_1.jpg.296x216.jpg
20201223,宝山,高境,双南精装修两居室  3/18双规交接 业主诚意出售,430万,2室2厅 | 81.64平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dKybas0K8_1.jpg.296x216.jpg
20201223,宝山,高境,户型正气，近地铁。生活配套齐全房主自荐,488万,3室2厅 | 89.58平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TA4cxrK4g_1.jpg.296x216.jpg
20201223,宝山,高境,高境两房 精装修双南户型 位置好 出行方便采光好,380万,2室1厅 | 73.24平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3IRQImC8l_1.jpg.296x216.jpg
20201223,宝山,高境,商品房小区，一梯两户环境好，采光充足房主自荐,698万,3室2厅 | 131.99平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_yUalSeoLx_1.jpg.296x216.jpg
20201223,宝山,高境,嘉骏花苑大三房，错层一梯两户，诚意出售房主自荐,520万,3室2厅 | 103.84平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zp0HjKYlZ_1.jpg.296x216.jpg
20201223,宝山,高境,正气三房 户型通透 看房方便 视野无碍房主自荐,740万,3室2厅 | 117.37平米 | 南 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZDBqCaRIp_1.jpg.296x216.jpg
20201223,宝山,高境,13年小区，一梯两户边套，前排无遮挡，精装修房主自荐,580万,3室2厅 | 89.46平米 | 南 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jmK8cWxSB_1.jpg.296x216.jpg
20201223,宝山,高境,国权北路351弄 3室2厅 南,675万,3室2厅 | 107.02平米 | 南 | 精装 | 高楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BF2BmYzvE_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，诚意出售，房型正气，楼层好，采光佳房主自荐,595万,3室2厅 | 123.13平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_am6L89k8z_1.jpg.296x216.jpg
20201223,宝山,高境,嘉骏花苑 3室2厅 南,615万,3室2厅 | 123.13平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4m11rgF9z_1.jpg.296x216.jpg
20201223,宝山,高境,精装修：南北通户型，采光不挡，三条地铁出行方便、房主自荐,815万,3室2厅 | 129.86平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A6P7cli8E_1.jpg.296x216.jpg
20201223,宝山,高境,环线内双拼别墅产品，超大花园，尽享奢华，轨交咫尺，,1980万,4室3厅 | 313平米 | 南 北 | 精装 | 1层 | 2009年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_j1bTRoPbS_1.jpg.296x216.jpg
20201223,宝山,高境,三开间朝南，采光好，小区中间位置，附带地下室空间大房主自荐,610万,3室2厅 | 113.5平米 | 南 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hXvLfUrpL_1.jpg.296x216.jpg
20201223,宝山,高境,美岸栖庭大三房带车位，精装修直视东方明珠，满五唯一,930万,3室2厅 | 132.07平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K6ydu4kN7_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，一梯两户，精装修拎包入住！房主自荐,640万,3室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9wHxReocq_1.jpg.296x216.jpg
20201223,宝山,高境,南北通透两房 精装修可拎包入住 诚意出售价格可谈房主自荐,339万,2室1厅 | 68.56平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qFG9yy4yd_1.jpg.296x216.jpg
20201223,宝山,高境,品质小区，一梯两户，房型正气，近花园环境优美。,460万,2室2厅 | 91.3平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_wzxzyxZUy_1.jpg.296x216.jpg
20201223,宝山,高境,一室一厅 满五唯一 视野好格局方正 近18号线房主自荐,207万,1室1厅 | 44.16平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ISGrh8BnU_1.jpg.296x216.jpg
20201223,宝山,高境,总价低的1房，小区安静位置，楼间距大，通风效果好。房主自荐,186万,1室1厅 | 44.16平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eLtyAjR4A_1.jpg.296x216.jpg
20201223,宝山,高境,18号明珠双地铁，房龄新高区电梯房，精装修，近新江湾,360万,1室1厅 | 57.39平米 | 南 北 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nEfM80U2c_1.jpg.296x216.jpg
20201223,宝山,高境,户型好，房子通风效果好 ， 采光足，看房方便房主自荐,480万,2室1厅 | 94.19平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F48rHBJwy_1.jpg.296x216.jpg
20201223,宝山,高境,双轨交通   精装一房两厅 全明户型  配套齐全房主自荐,413万,1室2厅 | 71.19平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IAp6Oe5hY_1.jpg.296x216.jpg
20201223,宝山,高境,采光好，户型好，视野好，业主诚意出售。,250万,1室1厅 | 52.88平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6M9POdwoA_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，生活配套成熟，出行便利，楼层好位置安静,218万,1室1厅 | 46.95平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eHM1ZFon3_1.jpg.296x216.jpg
20201223,宝山,高境,通透户型采光充足，洋房社区管理严格，人车分流小区,643万,2室2厅 | 88.79平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c35e492c-16e3-463e-a6f6-6c7d976182bc.jpg.296x216.jpg
20201223,宝山,高境,一梯两户 ，配套齐全，采光充足，视野宽房主自荐,310万,2室1厅 | 57.3平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o9yfvVuYu_1.jpg.296x216.jpg
20201223,宝山,高境,厅房同宽，领包入住，采光好，业主诚意出售,205万,1室1厅 | 40.09平米 | 南 | 精装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oQMx4DO9e_1.jpg.296x216.jpg
20201223,宝山,高境,美丽家园小区 满五年唯一 拎包入住房主自荐,215万,1室1厅 | 46.57平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rVzPC42VW_1.jpg.296x216.jpg
20201223,宝山,高境,高境二村地铁一房，满五唯一，精装修领包入住房主自荐,209万,1室1厅 | 42.62平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ocFonfmEq_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 近地铁 出行方便 看房随时自住 诚心出售房主自荐,228万,1室1厅 | 50.25平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6d256ff4-a0e1-4f87-a743-8c9a65ff0400.jpg.296x216.jpg
20201223,宝山,高境,一室一厅 满五唯一 视野好格局方正 近18号线房主自荐,190万,1室1厅 | 46.55平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nz3ULZ7NI_1.jpg.296x216.jpg
20201223,宝山,高境,业主信任我们。钥匙在我们链家，看房随时，诚意出售房主自荐,195万,1室1厅 | 41.19平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oE7Xje6dk_1.jpg.296x216.jpg
20201223,宝山,高境,三花精品一居室，楼层采光俱佳，满足您的品质生活！房主自荐,466万,1室1厅 | 61.47平米 | 南 | 毛坯 | 中楼层(共24层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zYkEBlzqc.jpg.296x216.jpg
20201223,宝山,高境,房子满五唯一，中间楼层，户型方正，看房方便,328万,2室1厅 | 66.5平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ifIJhsXb3_1.jpg.296x216.jpg
20201223,宝山,高境,一梯两户，满五好房，户型方正，交通便利房主自荐,278万,1室1厅 | 57.77平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qRL7MEBVQ_1.jpg.296x216.jpg
20201223,宝山,高境,成熟商圈，全明一房，诚意出售，价格可谈房主自荐,195万,1室1厅 | 43.93平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Or9wu2TWU_1.jpg.296x216.jpg
20201223,宝山,高境,交通双规交接 精装修拎包入住 业主诚意出售,230万,2室1厅 | 48.3平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FTq55TTU0_1.jpg.296x216.jpg
20201223,宝山,高境,满五年唯一，产权清晰，生活配套成熟，交通便利，诚售,255万,2室1厅 | 55.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y2et1l685_1.jpg.296x216.jpg
20201223,宝山,高境,小区安静位置，南北格局理想，房子精装修，近18号线房主自荐,310万,2室1厅 | 60.18平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JeMExhJ3i_1.jpg.296x216.jpg
20201223,宝山,高境,房子满五年，小区中间位置，老装修,215万,1室1厅 | 42.54平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CJOowJpkY_1.jpg.296x216.jpg
20201223,宝山,高境,18号线，南北通，视野宽阔，采光充足，配套齐全。房主自荐,358万,2室1厅 | 67.42平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Bu3Z5uMH0_1.jpg.296x216.jpg
20201223,宝山,高境,中间楼层，东边套，配套成熟，南北通风，无抵押贷款房主自荐,248万,1室1厅 | 52.7平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_muM2k0RsM_1.jpg.296x216.jpg
20201223,宝山,高境,商品房小区，一梯两户低楼层，采光充足，诚意出售,435万,2室2厅 | 81.75平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MD5qXk4Cc_1.jpg.296x216.jpg
20201223,宝山,高境,南北两房通风采光好，地 铁 近，业主诚意出售,340万,2室1厅 | 68.43平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hv15xftgh_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一税费低  诚意出售价格可议,248万,2室1厅 | 54.3平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8nNpbVjhY_1.jpg.296x216.jpg
20201223,宝山,高境,满五年中间楼层，厨卫全明，业主诚心出售。,190万,1室1厅 | 39.59平米 | 南 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5fV6cJlDi_1.jpg.296x216.jpg
20201223,宝山,高境,南北格局 户型通透! 楼层位置佳 居住舒适度高!,365万,2室1厅 | 68.64平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VxaPDqC0d_1.jpg.296x216.jpg
20201223,宝山,高境,轨交3号线18号地铁线皆在咫尺，比邻五角场，新江湾房主自荐,404万,1室2厅 | 68.07平米 | 南 | 精装 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wa237gylz_1.jpg.296x216.jpg
20201223,宝山,高境,三花大三房 高楼层 采光佳  户型方正 适合一家人居住房主自荐,930万,3室2厅 | 129.76平米 | 南 北 | 精装 | 高楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sptsmzmx7_1.jpg.296x216.jpg
20201223,宝山,高境,小区中间位置，中间楼层，前面采光无遮挡，配套完善,235万,1室1厅 | 45.6平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h8Bf3e82b_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 正规客厅 诚心出售 精装修 视野开阔房主自荐,259万,1室1厅 | 52.58平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fj0XnySDo_1.jpg.296x216.jpg
20201223,宝山,高境,2006年小区，一梯三户，中间楼层，双南户型，近地铁站房主自荐,370万,1室2厅 | 58.27平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3tRA7N94N_1.jpg.296x216.jpg
20201223,宝山,高境,美丽家园小区 产权清晰没有户口 诚意出售,205万,1室1厅 | 46.57平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vQiAoUDyZ_1.jpg.296x216.jpg
20201223,宝山,高境,南北通透，大四房，无遮挡，房型方正，价格低,695万,4室1厅 | 129.77平米 | 南 北 | 精装 | 低楼层(共10层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3esj7uSm5_1.jpg.296x216.jpg
20201223,宝山,高境,95年板楼，一梯两户，采光充足，南北户型，通风良好！,370万,2室1厅 | 64.82平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fUMty51vQ_1.jpg.296x216.jpg
20201223,宝山,高境,厅房同宽，视野好，精装拎包入住，业主诚意出售房主自荐,188万,1室1厅 | 46.5平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l9oWAhmW8_1.jpg.296x216.jpg
20201223,宝山,高境,美岸栖庭房源卖点及包含配套设施介绍,560万,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Iu8dJBWDU_1.jpg.296x216.jpg
20201223,宝山,高境,采光好，户型好，视野好，业主诚意出售。房主自荐,205万,1室1厅 | 43.93平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2DH3CG71R_1.jpg.296x216.jpg
20201223,宝山,高境,一梯两户，边套带窗，大面积一房房主自荐,260万,1室1厅 | 54.56平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V72CN52Fs_1.jpg.296x216.jpg
20201223,宝山,高境,售后公房，南北通采光充足，配套设施齐全，交通便利房主自荐,510万,4室2厅 | 110.08平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CZldO8Wq6_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一精装修 看房方便 业主诚心卖房主自荐,220万,1室2厅 | 50.01平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZksCdq54I_1.jpg.296x216.jpg
20201223,宝山,高境,双南两房，采光充足，小区中间位置，出入方便！！,350万,2室1厅 | 67.28平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MEGkGDO1c_1.jpg.296x216.jpg
20201223,宝山,高境,满二  南北俩房全明户型，业主置换。房主自荐,290万,2室1厅 | 59.87平米 | 南 | 毛坯 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6287af4d-2a25-4122-accc-6dd4f4374369.jpg.296x216.jpg
20201223,宝山,高境,中间层+小区中间位置+精装修+采光好+诚心出售房主自荐,200万,1室1厅 | 42.54平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XmYhjmes8_1.jpg.296x216.jpg
20201223,宝山,高境,满五年唯一，厨卫朝北带有明窗，老少皆宜的好楼层。,238万,1室1厅 | 50.19平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qraYzp2wt_1.jpg.296x216.jpg
20201223,宝山,高境,精装修一居室，户型方正，业主诚意出售,445万,1室1厅 | 61.47平米 | 南 | 精装 | 高楼层(共24层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IIflQYv46_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一  无增值税 一梯两户 诚心出售 看房方便,370万,3室1厅 | 78.54平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b080ee8d-b3c2-431b-9f36-9ce4ddb09ed8.jpg.296x216.jpg
20201223,宝山,高境,厨卫朝北 大面积舒适房型 采光通风好 视野开阔房主自荐,230万,2室1厅 | 55.52平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dXYJqQo52_1.jpg.296x216.jpg
20201223,宝山,高境,500米地铁站，交通便利，产权明晰，满五唯一，无抵押,248万,1室1厅 | 51.76平米 | 南 | 毛坯 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_33ld7SU1K_1.jpg.296x216.jpg
20201223,宝山,高境,交通便利，南北两房，采光充足开阔，生活配套成熟。房主自荐,258万,2室1厅 | 56.25平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_slIjteGwR_1.jpg.296x216.jpg
20201223,宝山,高境,高境二村 厨卫朝外的一房 近地铁 位置佳 采光好,225万,1室1厅 | 46.05平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nq1plKPKr_1.jpg.296x216.jpg
20201223,宝山,高境,高境三居室，户型方正，南北户型，好位置！好楼层！,540万,3室2厅 | 111.91平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zJ8wzOpsH_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，楼层好，在小区位置居中，小区环境好,375万,2室1厅 | 68.43平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y1k1S6AlH_1.jpg.296x216.jpg
20201223,宝山,高境,业主诚心出售，位置号，户型方正，有车位房主自荐,900万,3室2厅 | 172.06平米 | 南 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_AKRhCq79K_1.jpg.296x216.jpg
20201223,宝山,高境,免增值税，有动迁协议，一梯两户，电梯房，近花园位置房主自荐,468万,2室2厅 | 90.3平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R9UmzTNXs_1.jpg.296x216.jpg
20201223,宝山,高境,全明户型 采光好 楼层适中 视野好 出入方便,208万,1室1厅 | 43.37平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2oAD1ypf6_1.jpg.296x216.jpg
20201223,宝山,高境,售后公房 边套全明 业主诚意出售房主自荐,328万,2室1厅 | 62.27平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aI5aA3lLx_1.jpg.296x216.jpg
20201223,宝山,高境,满五年唯一住房，一梯两户，距离地铁近，小区绿化好。房主自荐,590万,2室2厅 | 97.72平米 | 南 | 简装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/2e23a4aa-0d8d-4e40-8808-3ed66533fae0.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，中间楼层，业主急售，配套设施齐全,352万,1室1厅 | 58.72平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbf934e87-4576-4f66-adfe-3d3e04d0ae4b.jpg.296x216.jpg
20201223,宝山,高境,逸仙路1321弄 1室1厅 南新上,187万,1室1厅 | 43.93平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20171124/9cf92027-5075-49a6-8ea1-cff52cf0afbb.jpg.296x216.jpg
20201223,宝山,高境,一梯两户的边套户型，采光通风好，业主诚心出售房主自荐,190万,1室1厅 | 44.38平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d35de09ea3fb3eec3cfe1e9a204e7f6e-003.jpg.296x216.jpg
20201223,宝山,高境,商品房。小区当中位置价格实在房东诚意出售房主自荐,515万,4室2厅 | 110.08平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170601/988acef1-d027-49c9-8994-ad6654ea5106.jpg.296x216.jpg
20201223,宝山,高境,高境二村 1室1厅 南新上,288万,1室1厅 | 57.77平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5e6ea794-2b87-42d8-995e-71d97fa6144e.png.296x216.jpg
20201223,宝山,高境,满五唯一！眺望东方明珠三件套！高区景观房，看房预约房主自荐,765万,3室2厅 | 183.6平米 | 南 北 | 简装 | 高楼层(共18层) | 2001年建 | 板楼,
20201223,宝山,高境,动迁房，一梯两户，精装修，诚心出售,535万,2室2厅 | 96.24平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,
20201223,宝山,高境,交通便利，满五唯一， 近地铁，配套成熟,202万,1室1厅 | 42.54平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/833bb9b6-1070-41e3-81ae-cdcad7c7684b.png.296x216.jpg
20201223,宝山,高境,本房满五唯一，全明户型，采光好，南北通风,245万,1室1厅 | 50.25平米 | 东南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/0efeeaf9-366f-4320-b31d-1b68bee3a6c3.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，电梯房，一梯两户，采光充足，诚意出售.,570万,2室2厅 | 101.77平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,
20201223,宝山,高境,两室朝阳 采光无影响 总价低 单价低 产权清晰 诚售,675万,3室2厅 | 123.06平米 | 南 | 简装 | 低楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fc6ecfe3-f370-4b33-bc94-822cc8a46e6c.png.296x216.jpg
20201223,宝山,高境,高境苑大两房，三开间朝南，全明户型，高楼层视野好,628万,2室2厅 | 135.01平米 | 南 | 简装 | 高楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a8659368-2141-42ee-9e4c-d532d16969c8.png.296x216.jpg
20201223,宝山,高境,此房满五唯一 税费少精装修 可拎包入住,445万,1室1厅 | 71.19平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_48bRwVWsY_1.jpg.296x216.jpg
20201223,宝山,高境,美岸栖庭(公寓) 4室2厅 南,975万,4室2厅 | 150.01平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OsyvLGBG2_1.jpg.296x216.jpg
20201223,宝山,高境,景瑞遇道 1室0厅 南,128万,1室0厅 | 25.44平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,
